DHSID,GPS Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All Population Count 2005,All Population Count 2010,All Population Count 2015,Annual Precipitation 2000,Annual Precipitation 2005,Annual Precipitation 2010,Annual Precipitation 2015,Aridity 2000,Aridity 2005,Aridity 2010,Aridity 2015,BUILT Population 1990,BUILT Population 2000,BUILT Population 2014,Day Land Surface Temp 2000,Day Land Surface Temp 2005,Day Land Surface Temp 2010,Day Land Surface Temp 2015,Diurnal Temperature Range 2000,Diurnal Temperature Range 2005,Diurnal Temperature Range 2010,Diurnal Temperature Range 2015,Drought Episodes,Enhanced Vegetation Index 1985,Enhanced Vegetation Index 1990,Enhanced Vegetation Index 1995,Enhanced Vegetation Index 2000,Enhanced Vegetation Index 2005,Enhanced Vegetation Index 2010,Enhanced Vegetation Index 2015,Frost Days 2000,Frost Days 2005,Frost Days 2010,Frost Days 2015,Global Human Footprint,Gross Cell Production,Growing Season Length,Irrigation,ITN Coverage 2005,ITN Coverage 2010,ITN Coverage 2015,Land Surface Temperature 2000,Land Surface Temperature 2005,Land Surface Temperature 2010,Land Surface Temperature 2015,Livestock Cattle,Livestock Chickens,Livestock Goats,Livestock Pigs,Livestock Sheep,Malaria Incidence 2000,Malaria Incidence 2005,Malaria Incidence 2010,Malaria Incidence 2015,Malaria Prevalence 2000,Malaria Prevalence 2005,Malaria Prevalence 2010,Malaria Prevalence 2015,Maximum Temperature 2000,Maximum Temperature 2005,Maximum Temperature 2010,Maximum Temperature 2015,Mean Temperature 2000,Mean Temperature 2005,Mean Temperature 2010,Mean Temperature 2015,Minimum Temperature 2000,Minimum Temperature 2005,Minimum Temperature 2010,Minimum Temperature 2015,Nightlights Composite,Night Land Surface Temp2010,Night Land Surface Temp2015,Night Land Surface Temp 2000,Night Land Surface Temp 2005,Night Land Surface Temp 2010,Night Land Surface Temp 2015,PET 2000,PET 2005,PET 2010,PET 2015,Proximity to National Borders,Proximity to Protected Areas,Proximity to Water,Rainfall 1985,Rainfall 1990,Rainfall 1995,Rainfall 2000,Rainfall 2005,Rainfall 2010,Rainfall 2015,Slope,SMOD Population 1990,SMOD Population 2000,SMOD Population 2015,Temperature April,Temperature August,Temperature December,Temperature February,Temperature January,Temperature July,Temperature June,Temperature March,Temperature May,Temperature November,Temperature October,Temperature September,Travel Times 2000,Travel Times 2015,U5 Population 2000,U5 Population 2005,U5 Population 2010,U5 Population 2015,UN Population Count 2000,UN Population Count 2005,UN Population Count 2010,UN Population Count 2015,UN Population Density 2000,UN Population Density 2005,UN Population Density 2010,UN Population Density 2015,Wet Days 2000,Wet Days 2005,Wet Days 2010,Wet Days 2015
AO201500000001,AOGE71FL,AO,2015,1,AO2015DHS,4613.272461,5464.955078,6444.12207,70.91666412353516,70.91666412353516,68.57499694824219,49.57500076293945,26.84542465209961,25.866260528564453,24.936363220214844,16.75774574279785,3.733968564929082e-06,3.733968564929082e-06,4.81983729012381e-05,31.82072754,30.11149902,31.006500244140625,30.78483276367188,10.18333339691162,10.18333339691162,10.18333339691162,10.18333339691162,10,2955,2865.7,2888.3,2959.7,2994.4,3017.3,2873,0,0,0,0,24.053050397877985,3441.2302083333334,9,0,0.052857307,0.22192634,0.435567581,23.814727783203125,23.22856903076172,23.844749450683597,23.727780151367188,2.4611102440629145,0.2088300871912301,1.2291612701011274,0.008229024,0.6944584935033985,0.2604535222053528,0.2236330956220626,0.072592214,0.095528804,0.1968680620193481,0.1559320986270904,0.038290232,0.056066196,25.13333320617676,25.64166641235352,25.725000381469727,25.50833320617676,20.01666641235352,20.524999618530277,20.608333587646484,20.39166641235352,14.950000762939451,15.458333969116213,15.541666984558104,15.324999809265137,0,16.68300018310547,16.67072754,15.80872802734375,16.345635986328126,16.68300018310547,16.67072754,2.6416666507720947,2.741666793823242,2.75,2.9583334922790527,44356.36276,70430.62656,44243.80825,735.5833333333334,970.5,1118.3333333333333,836.1666666666666,1185.75,1178.5,1043.5833333333333,4.212252103365385,1,1,0,21.805333455403645,19.064666748046875,21.12866719563802,21.62733459472656,21.250999450683597,18.09966786702474,18.36566670735677,21.837000528971355,20.578332265218098,21.426666259765625,21.73199971516927,20.74099985758464,258.44031830238725,307.7851458885942,1.702275513341187,2.02493496,2.398769802517361,2.828562257151124,13457.19922,16099.53027,17427.79102,16496.07031,42.418981577420425,50.74797952586207,54.93484748,51.99792771883289,6.524999618530273,6.524999618530273,5.300000190734863,4.387499809265137
AO201500000002,AOGE71FL,AO,2015,2,AO2015DHS,39284.19922,46536.68359,54874.75391,67.40000153,57.275001525878906,46.10833358764648,106.66666412353516,19.631067276000977,16.13380241394043,13.20525074005127,31.067960739135746,0.4656115940638951,0.5147033078329903,0.70297718,33.64454650878906,32.69666672,32.92833328,31.86833381652832,14.783333778381348,15.5,15.108333587646484,15.283333778381348,4,2990,2913,3005,2930,2896,2774,2770,0,0,0,0,21.714285714285715,3403.230469,9,0,0.067688968,0.3285161636999387,0.4620975280337381,25.442272186279297,25.431514739990234,25.575834274291992,25.06916618347168,0.1665501253945487,0.1616271734237671,2.189293861,0.122216455,1.197570801,0.1974529922008514,0.1885118782520294,0.089188308,0.1055335029959678,0.1463100165128708,0.1377106457948684,0.052527044,0.067585252,30.01666641235352,31.166667938232425,30.69166755676269,30.50833320617676,22.608333587646484,23.375,23.125,22.858333587646484,15.233333587646484,15.666666984558104,15.583333969116213,15.225000381469728,13.974251039566532,18.22333335876465,18.270000457763672,17.239999771118164,18.16636276245117,18.22333335876465,18.270000457763672,3.433333396911621,3.549999952316284,3.491666793823242,3.433333396911621,157733.8219,215179.6066,615724.6826,1304,1320,1145,1116,1278,1196,1208,1.3981598445347376,3,3,3,23.19300079345703,22.39299964904785,22.663000106811523,23.08500099182129,22.777999877929688,20.881000518798828,20.854999542236328,22.976999282836918,22.700000762939453,22.825000762939453,23.559999465942383,23.582000732421875,655.6428571428571,0.1428571428571428,339.2241536458333,403.52272135416666,478.0193684895833,563.6670572916667,163.02073669433594,197.6038818359375,216.72933959960935,207.84963989257807,13.725705827985491,16.63747297014509,18.24776131766183,17.500126429966517,6.8433332443237305,6.425833225250244,4.836666584014893,8.274999618530273
AO201500000003,AOGE71FL,AO,2015,3,AO2015DHS,40178.39844,47595.96875,56123.82813,,,,,,,,,0.012127554,0.041540016,0.4650658694180575,36.99909210205078,33.82090759277344,33.98500061035156,33.99800109863281,,,,,9,1363,1225,1314,1484,1284,1288,1238,,,,,40.9375,3288.281005859375,4,0,0.029007594,0.1286875082614022,0.3208514020429808,28.11554527282715,26.907121658325195,27.38999938964844,27.519832611083984,4.067975997924805,354.98370361328125,3.779632806777954,33.72466278076172,1.035664677619934,0.1374452263116836,0.071962431,0.055361617,0.072491467,0.091867812,0.038040746,0.02854426,0.041671079,,,,,,,,,,,,,31.665010724748885,20.795000076293945,21.04166603088379,19.23200035095215,19.99333381652832,20.795000076293945,21.04166603088379,,,,,14233.87089,27079.27812,13221.39017,360,394,531,457,422,388,454,1.309816598892212,1,1,3,27.871000289916992,21.958999633789062,26.218000411987305,27.94700050354004,27.155000686645508,21.465999603271484,23.29400062561035,27.933000564575195,26.399999618530277,26.246000289916992,25.29599952697754,23.36599922180176,18.9375,0,265.1572570800781,315.416748,373.6476745605469,440.5948486328125,1048.265380859375,2849.539063,7008.878906,15074.0625,77.06581115722656,209.49087524414065,515.2750244140625,1108.2069091796875,,,,
AO201500000004,AOGE71FL,AO,2015,4,AO2015DHS,2115.435791015625,2505.979004,2954.97998,88.25,88.25,88.25,88.25,26.34328269958496,24.68531418,25.95588111877441,26.475000381469727,0,0,2.6806663626279587e-05,28.47091064453125,28.17866516113281,27.77066650390625,30.23499755859375,14.591667175292969,14.983333587646484,14.591667175292969,14.766667366027832,2,3117.2,3195.8,3253.5,3308.3,3409.5,3245.2,3272,0.2558333277702331,0.099166669,0.164166659,0.3983333110809326,10.398416886543536,3269.933035714286,9,0,0,0.1351765635794204,0.3231042329908147,20.87372589111328,21.07883301,20.704905700683597,22.35535583496094,0.8938810649671053,0.4618913349352385,0.739474889,0.05876108,0.038764055,0.2966809272766113,0.2851676940917969,0.075049218,0.099672842,0.228242556,0.2084349314371744,0.040330879,0.057922467,27.58333396911621,28.916667938232425,28.233333587646484,27.725000381469727,20.25833320617676,21.39166641235352,20.908334732055664,20.308334350585938,12.991666793823242,13.93333339691162,13.641666412353516,12.958333969116213,0,13.639144897460938,14.475711059570312,13.27654571533203,13.97899932861328,13.639144897460938,14.475711059570312,3.3500001430511475,3.575000047683716,3.400000095367432,3.3333334922790527,343279.6073,209774.0506,485911.1872,995.7,1146.3,795.4,895.3,971.7,1157.5,828.1,1.2521528545178866,0,0,0,19.982250213623047,16.73200035095215,21.07299805,20.756500244140625,20.779998779296875,13.897500038146973,14.230250358581545,20.620750427246094,16.99325180053711,21.49475098,21.898500442504883,20.81525039672852,445.5394736842105,59.72368421052632,0.7327015387318122,0.871582031,1.032489917896412,1.2174831168361442,4882.568848,5064.41748,4753.150879,3900.696289,15.407181589226974,15.981016138980262,14.99879728618421,12.30883789,7.1583333015441895,7.1583333015441895,7.1583333015441895,7.1583333015441895
AO201500000005,AOGE71FL,AO,2015,5,AO2015DHS,2425.212402,2872.944824,3387.696044921875,53.16666793823242,53.16666793823242,53.16666793823242,53.16666793823242,17.47945213317871,16.878307342529297,16.833772659301758,15.989974975585938,0.000118266,0.000131056,0.000198953,33.79909057617188,33.11933288574219,32.48833312988281,32.81849975585938,11.425000190734863,11.425000190734863,11.425000190734863,11.425000190734863,10,2822.8,2723.8,2837.8,2907.6,2967.7,3015.2,2854.1,0,0,0,0,13.958115183246074,3465.8473958333334,7,0,0.02476511,0.150870673,0.344467471,25.70527344,25.879666137695317,25.575498962402342,25.570248413085935,19.304715547486943,1.7291199208550914,7.2434368880548305,0.039464119,1.2816185216679583,0.2485148906707763,0.1695904890696207,0.07026178,0.096029592,0.1802449862162272,0.1044397672017415,0.036584997,0.054049591,26.850000381469727,27.325000762939453,27.350000381469727,27.06666755676269,21.108333587646484,21.58333396911621,21.608333587646484,21.325000762939453,15.425000190734863,15.90000057220459,15.925000190734863,15.641667366027832,0,18.66266784667969,18.322000122070317,17.611453247070312,18.63999938964844,18.66266784667969,18.322000122070317,3.0416667461395264,3.150000095367432,3.158333301544189,3.325000047683716,116994.1305,134161.653,116869.9175,636.1818181818181,627.3636363636364,722.3636363636364,651.0909090909091,800.3636363636364,881.1818181818181,770.3636363636364,1.6170051913348564,0,0,0,23.95549964904785,20.749000549316406,23.94999885559082,23.644248962402344,23.62049865722656,20.39725112915039,20.83850098,23.96999931335449,22.959999084472656,24.48324966430664,24.583250045776367,22.64900016784668,219.95300261096605,377.99477806788514,0.8967546735491071,1.066730882755663,1.2636662235966436,1.490079849485367,895.9655762,1414.95752,2021.954345703125,2526.415039,2.804165115555646,4.428489744818864,6.328249301362598,7.907095249265666,5.066666603088379,5.066666603088379,5.066666603088379,5.066666603088379
AO201500000006,AOGE71FL,AO,2015,6,AO2015DHS,1448.489013671875,1715.9029541015625,2023.3446044921875,72.24166870117188,61.00833511352539,76.91666412353516,67.76667022705078,27.347003936767575,22.66563606262207,27.801204681396484,25.333332061767575,0.2224880456924438,0.3385274410247803,0.3542162577311198,27.549999237060547,27.94833374023437,28.87000084,28.04400062561035,6.816666603088379,6.816666603088379,6.816666603088379,6.816666603088379,9,715,709,723,770,932,844,982,0,0,0,0,55.083333333333336,2900.402099609375,,,0.1616244807652446,0.3195105375566571,0.5935982355755715,23.145000457763672,23.745832443237305,24.50666618347168,24.18245506286621,0.3580446243286133,3.2932408650716147,0.9996212323506674,1.2436377207438152,1.425454298655192,0.3578849136829376,0.1377983093261718,0.1021998226642608,0.1617827415466308,0.2613101601600647,0.074140489,0.052267339,0.091916353,28.94166755676269,29.24166679382324,29.51666831970215,29.24166679382324,25.5,25.80000114440918,26.075000762939453,25.799999237060547,22.125,22.42500114440918,22.700000762939453,22.42500114440918,14.028975830078124,20.143333435058597,20.32090950012207,18.739999771118164,19.543333053588867,20.143333435058597,20.32090950012207,2.6416666507720947,2.691666603088379,2.7666666507720947,2.674999952316284,1092.190804,116076.2957,1101.930253,809,876,1099,905,788,930,917,0.085045598,1,3,3,,,,,,,,,,,,,20.375,0.083333333,24.248629056490383,28.84485802283654,34.170074462890625,40.29239126352164,251.5177764892578,559.1804199,1124.871094,1978.622802734375,33.85887284712358,75.27587335759944,151.4281338778409,266.3586869673296,4.792500019073486,4.4083333015441895,4.737499713897705,4.070833206176758
AO201500000007,AOGE71FL,AO,2015,7,AO2015DHS,1804.391113,2137.510254,2520.491943359375,72.24166870117188,61.00833511352539,76.91666412353516,67.76667022705078,27.347003936767575,22.66563606262207,27.801204681396484,25.333332061767575,0.3602183415339543,0.5856580000657302,0.5767441529494065,28.538000106811523,28.64666748046875,29.462726593017575,29.56999969482422,6.816666603088379,6.816666603088379,6.816666603088379,6.816666603088379,9,0,0,0,12,64,0,39,0,0,0,0,54.35714285714285,2900.402099609375,9,9.191508293151855,0.1135317739004161,0.241898307,0.47185078,24.12999916,24.663333892822266,25.35053062438965,25.33909034729004,0.5053939138139997,2.7929066249302457,1.292416981288365,0.8413801874433245,1.2537736892700195,0.3093114793300628,0.1188369244337081,0.087882675,0.1418650448322296,0.2159565836191177,0.061915722,0.043891206,0.078018077,28.94166755676269,29.24166679382324,29.51666831970215,29.24166679382324,25.5,25.80000114440918,26.075000762939453,25.799999237060547,22.125,22.42500114440918,22.700000762939453,22.42500114440918,23.55358676252694,21.23833274841309,21.10818099975586,19.722000122070312,20.68000030517578,21.23833274841309,21.10818099975586,2.6416666507720947,2.691666603088379,2.7666666507720947,2.674999952316284,2835.231076,117173.4167,2663.691146,807,765,980,846,712,854,859,0.087332044,2,3,3,26.73500061035156,22.23699951171875,25.947999954223636,26.52400016784668,26.222000122070312,21.934999465942383,23.308000564575195,26.726999282836918,25.88800048828125,25.69700050354004,25.27600098,23.589000701904297,27.5,0,23.47262191772461,27.92175865,33.07655715942383,39.00294876098633,405.9943848,902.6165771484376,1815.741699,3193.848633,33.858873639787944,75.27587891,151.42813546316964,266.3586774553572,4.792500019073486,4.4083333015441895,4.737499713897705,4.070833206176758
AO201500000008,AOGE71FL,AO,2015,8,AO2015DHS,3063.09668,3628.592529296875,4278.734375,86.5,86.5,83.27500153,60.75,31.359516143798828,30.17441749572754,29.134111404418945,20.193906784057617,0.03716661,0.050596893,0.099978864,31.986364364624023,30.59666633605957,30.350000381469727,30.513334274291992,11.258333206176758,11.258333206176758,11.258333206176758,11.258333206176758,10,3047,2955,2968,3030,3020,3024,2983,0,0,0,0.000833333,42.1875,3441.230224609375,9,0,0.018752006,0.17245741,0.3708452102858726,23.47272682189941,23.34000015258789,23.05666732788086,23.43833351135254,4.241641521453857,1.0896662473678589,2.686320781707764,0.027247861,0.6409854888916016,0.4247160851955414,0.5022547841072083,0.077017024,0.1305879354476928,0.3891624510288238,0.4760584831237793,0.040872362,0.084908076,25.11666679382324,25.649999618530277,25.69166755676269,25.46666717529297,19.450000762939453,19.983333587646484,20.024999618530277,19.80000114440918,13.858333587646484,14.391666412353516,14.43333339691162,14.208333969116213,0.07026931,15.763333320617676,16.363332748413086,14.959091186523438,16.08333396911621,15.763333320617676,16.363332748413086,2.758333444595337,2.866666793823242,2.8583333492279053,3.008333444595337,119161.7144,102726.4551,119049.6208,1020,1307,1287,1006,1387,1360,1206,1.3768705129623413,0,3,3,21.47900009155273,20.237998962402344,20.93200111,21.145000457763672,20.937000274658203,18.59499931335449,18.26300048828125,21.45199966430664,20.118000030517575,21.32999992370605,21.780000686645508,21.54400062561035,153.75,3.1875,26.050946403952207,30.98879825367647,36.70982091567095,43.28718836,394.0275268554688,471.3952637,510.2886657714844,483.0056457519531,29.29507827758789,35.04719543457031,37.93883514404297,35.91040039,7.491666793823242,7.491666793823242,6.054999828338623,5.070000171661377
AO201500000009,AOGE71FL,AO,2015,9,AO2015DHS,9688.007813,11476.56641,13532.84473,64.75,64.75,63.21666717529297,44.70833206176758,23.689023971557617,22.719297409057617,22.052326202392575,14.944289207458496,0,2.806764575158668e-05,0.000160266,29.888726806640623,28.121832275390624,29.086334228515625,28.39416504,9.583333015441896,9.583333015441896,9.583333015441896,9.583333015441896,10,3339.9,3186.1,3290,3347.4,3512.8,3514.5,3439.6,0,0,0,0,22.33155080213904,3374.557552083333,9,0,0.019609739,0.1888679363620444,0.4127517383667906,22.94618225097656,22.41333312988281,23.031832885742187,22.15317383,0.055324075,1.8260419712984624,1.016237228311957,0.2098666920381433,0.1302082245362633,0.4802657195499965,0.5649897030421666,0.1925766978945051,0.2369107007980346,0.4080572128295898,0.4914249692644392,0.1171398758888244,0.1634260245731898,26.01666641235352,26.50833320617676,26.625,26.33333396911621,21.19166755676269,21.683334350585938,21.80000114440918,21.50833320617676,16.433334350585938,16.92500114440918,17.041667938232422,16.75,0,16.977334594726564,15.91218262,16.0036377,16.70483398,16.977334594726564,15.91218262,2.7333333492279053,2.8500001430511475,2.866666793823242,2.991666793823242,73659.30572,134726.3378,73607.6498,870.4,1123.9,1248.1,855.7,1238.8,1244.8,1087.7,2.155207180084392,0,0,0,22.25159912109375,19.667999267578125,21.50339965820313,21.87860107421875,21.544400024414063,18.522799682617187,18.612399291992187,22.211199951171874,20.96100006103516,21.699800109863283,22.16840057373047,21.459999084472656,447.88235294117646,162.52941176470588,4.5291409505208335,5.387621094,6.382261067708333,7.525783203,9002.655273,11531.91211,13365.93457,13545.86914,28.574983810995988,36.60300123245321,42.424308572860966,42.99543052,5.849999904632568,5.849999904632568,4.796666622161865,3.9175000190734863
AO201500000010,AOGE71FL,AO,2015,10,AO2015DHS,112528.4844,133303.0313,157187.1875,,,,,,,,,0.5540835516793388,0.606001445,0.8374153545924595,35.27363586425781,33.69666672,33.621665954589844,31.50090980529785,,,,,9,938,783,902,928,936,951,936,,,,,87.14285714285714,3288.281005859375,4,0,0.026606814,0.1219102228176289,0.3128082073672801,27.912818908691406,27.245832443237305,27.543333053588867,26.491287231445312,0,0,0,0,0,0.1397728621959686,0.083244048,0.057632532,0.071854793,0.09238416,0.044738747,0.029749213,0.041186906,,,,,,,,,,,,,19.29020792643229,21.46500015258789,21.481666564941406,20.552000045776367,20.795000076293945,21.46500015258789,21.481666564941406,,,,,6290.771064,38191.47071,6299.494706,417,421,564,480,451,428,479,0.2267217295510428,2,3,3,28.040000915527344,22.28400039672852,26.576000213623047,28.17200088500977,27.336000442504883,22.073999404907227,23.84000015258789,28.222000122070312,26.708999633789062,26.572999954223636,25.51499938964844,23.83099937438965,13.642857142857142,0,1125.915387834821,1339.328125,1586.5892857142858,1870.861607142857,3225.436523,8767.801758,21565.72656,46381.63281,270.92696707589283,736.4689592633929,1811.456055,3895.917410714286,,,,
