DHSID,GPS Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All Population Count 2005,All Population Count 2010,All Population Count 2015,Annual Precipitation 2000,Annual Precipitation 2005,Annual Precipitation 2010,Annual Precipitation 2015,Aridity 2000,Aridity 2005,Aridity 2010,Aridity 2015,BUILT Population 1990,BUILT Population 2000,BUILT Population 2014,Day Land Surface Temp 2000,Day Land Surface Temp 2005,Day Land Surface Temp 2010,Day Land Surface Temp 2015,Diurnal Temperature Range 2000,Diurnal Temperature Range 2005,Diurnal Temperature Range 2010,Diurnal Temperature Range 2015,Drought Episodes,Enhanced Vegetation Index 1985,Enhanced Vegetation Index 1990,Enhanced Vegetation Index 1995,Enhanced Vegetation Index 2000,Enhanced Vegetation Index 2005,Enhanced Vegetation Index 2010,Enhanced Vegetation Index 2015,Frost Days 2000,Frost Days 2005,Frost Days 2010,Frost Days 2015,Global Human Footprint,Gross Cell Production,Growing Season Length,Irrigation,ITN Coverage 2005,ITN Coverage 2010,ITN Coverage 2015,Land Surface Temperature 2000,Land Surface Temperature 2005,Land Surface Temperature 2010,Land Surface Temperature 2015,Livestock Cattle,Livestock Chickens,Livestock Goats,Livestock Pigs,Livestock Sheep,Malaria Incidence 2000,Malaria Incidence 2005,Malaria Incidence 2010,Malaria Incidence 2015,Malaria Prevalence 2000,Malaria Prevalence 2005,Malaria Prevalence 2010,Malaria Prevalence 2015,Maximum Temperature 2000,Maximum Temperature 2005,Maximum Temperature 2010,Maximum Temperature 2015,Mean Temperature 2000,Mean Temperature 2005,Mean Temperature 2010,Mean Temperature 2015,Minimum Temperature 2000,Minimum Temperature 2005,Minimum Temperature 2010,Minimum Temperature 2015,Nightlights Composite,Night Land Surface Temp2010,Night Land Surface Temp2015,Night Land Surface Temp 2000,Night Land Surface Temp 2005,Night Land Surface Temp 2010,Night Land Surface Temp 2015,PET 2000,PET 2005,PET 2010,PET 2015,Proximity to National Borders,Proximity to Protected Areas,Proximity to Water,Rainfall 1985,Rainfall 1990,Rainfall 1995,Rainfall 2000,Rainfall 2005,Rainfall 2010,Rainfall 2015,Slope,SMOD Population 1990,SMOD Population 2000,SMOD Population 2015,Temperature April,Temperature August,Temperature December,Temperature February,Temperature January,Temperature July,Temperature June,Temperature March,Temperature May,Temperature November,Temperature October,Temperature September,Travel Times 2000,Travel Times 2015,U5 Population 2000,U5 Population 2005,U5 Population 2010,U5 Population 2015,UN Population Count 2000,UN Population Count 2005,UN Population Count 2010,UN Population Count 2015,UN Population Density 2000,UN Population Density 2005,UN Population Density 2010,UN Population Density 2015,Wet Days 2000,Wet Days 2005,Wet Days 2010,Wet Days 2015
ET201600000001,ETGE71FL,ET,2016,1,ET2016DHS,56905.46094,65041.73047,73828.375,66.94166564941406,58.400001525878906,68.43333435058594,59.14166641235352,14.47387409210205,12.403539657592772,14.849909782409668,12.194157600402832,0.001898026,0.002173154,0.00404222,30.824712579900567,30.368030894886363,28.766362970525567,32.33863969,16.28333282470703,15.69166660308838,14.541666984558104,15.666666984558104,10,2338.3636363636365,2334.3636363636365,2443.454545454545,2567.909090909091,2758.7272727272725,2621.6363636363635,2725.818181818182,0.4741666316986084,0.203333318,0.005833333,0.1008333265781402,29.19302949061662,621.5008544921875,5,0,0,0.2761681663469814,0.356867398,21.778676813299004,21.71787886,20.89083307439631,23.142879139293324,273.8370475871314,67.52770505,152.09032548592492,0.2607725005367166,73.19759550938338,0.032133933,0.050217485,0.005171826,0.003762802,0.016427863,0.025384571,0.00250088,0.001842829,28.61666679382324,28.524999618530277,28.25,29.31666755676269,20.44166755676269,20.650001525878903,20.95833396911621,21.450000762939453,12.333333969116213,12.833333969116213,13.708333969116213,13.65000057220459,0,13.015303178267043,13.947121360085228,12.73264520818537,13.067726828835228,13.015303178267043,13.947121360085228,4.625,4.708333492279053,4.608333587646484,4.849999904632568,84310.54679,179960.5175,188745.6297,766.7272727272727,538.4545454545455,712,651.8181818181819,719.0909090909091,972.6363636363636,455.3636363636364,6.276100138237266,0,0,0,18.59724998474121,16.890499114990234,15.56024932861328,15.959749221801758,15.17300033569336,17.397249221801758,18.495500564575195,17.122249603271484,19.02375030517578,16.54775047302246,17.66874885559082,17.742250442504883,304.4691689008043,111.5201072386059,27.14916596283784,31.30256281672297,35.77816722972973,40.611526076858105,39760.4375,46651.07813,54235.92969,62590.26563,125.59065013404826,147.35600284852546,171.31414418565683,197.70287365951745,6.192499638,5.328333377838135,6.143333435058594,4.875
ET201600000002,ETGE71FL,ET,2016,2,ET2016DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET201600000003,ETGE71FL,ET,2016,3,ET2016DHS,57056.73438,65214.63672,74024.64063,153.76666259765625,131.34165954589844,128.90834045410156,115.31666564941406,46.59595871,39.60050201416016,40.07513046264648,34.16790008544922,1.4685885831951714e-05,0.00029682,0.000463652,29.27890930175781,30.034002685546877,29.335333251953124,29.38183594,14.508333206176758,14.141666412353516,13.450000762939451,13.80833339691162,7,2768.5,2838.2,2859.6,2903.3,2918.7,2776.2,2913.3,0.546666682,0.332500011,0.094166666,0.1649999916553497,38.08602150537634,615.7490234,9,0,0,0.2360342026601738,0.2961093607926057,18.829000854492183,20.550749206542967,19.80933380126953,19.363499450683594,99.97870463709675,75.57782573084677,3.927709107757897,0.041417376,51.71705939180107,0.081430833,0.041393068,0.005048389,0.003992438,0.047408336,0.020977063,0.002481723,0.001988851,24.39166641235352,24.59166717529297,24.5,24.858333587646484,17.108333587646484,17.491666793823242,17.75,17.933334350585938,9.883333206176758,10.449999809265137,11.050000190734863,11.050000190734863,0.009188752,10.283332824707031,9.345166016,8.379090881347656,11.06750030517578,10.283332824707031,9.345166016,3.299999952316284,3.316666841506958,3.2166666984558105,3.375,233781.5847,235789.1028,96260.20296,1484.111111111111,1256.4444444444443,1286.111111111111,1533,1285.3333333333333,1367.6666666666667,1277.7777777777778,1.8135960076444888,0,0,0,19.07250022888184,15.664250373840332,16.396251678466797,17.524250030517578,16.773500442504883,15.452250480651855,16.608251571655273,18.362499237060547,18.51499938964844,16.982250213623047,16.930749893188477,16.332500457763672,285.8709677419355,43.60752688172043,22.740065104166668,26.21893489583333,29.9676875,34.01609635416666,57508.26953,64291.78125,71219.125,78312.55469,182.8718077956989,204.44283434139783,226.47127016129036,249.0278268,8.265832901000977,8.364166259765625,8.335000038146973,8.873332977294922
ET201600000004,ETGE71FL,ET,2016,4,ET2016DHS,1646.4117431640625,1845.3621826171875,2060.509277,30.70833396911621,20.99166679382324,25.700000762939453,17.883333206176758,6.172529220581055,4.129508018493652,5.148581027984619,3.374213933944702,0,0.000179857,0.000179521,43.61582031,41.17866821289063,40.91166381835937,42.45766602,12.31666660308838,12.033333778381348,11.091667175292969,12.008333206176758,7,549.8,508.4,587.6,670.4,642.1,611.5,611.1,0,0,0,0,16.674603174603174,757.5374755859375,1,0,0,0.3089205155378227,0.3912058698033711,34.62345581054687,33.28883361816406,33.08608398,34.40816650390625,2.1789713864604003,0.3626111953977554,20.97128957919973,0.004029267,5.805447048611111,0.07025702,0.090585083,0.0058035,0.011497779,0.041255283,0.0547243,0.002948728,0.005932934,33.958335876464844,34,33.983333587646484,34.79166793823242,27.774999618530277,27.96666717529297,28.40833282470703,28.75833320617676,21.64166641235352,21.96666717529297,22.89166641235352,22.78333282470703,0,25.26050109863281,26.35866699,25.63109130859375,25.399000549316405,25.26050109863281,26.35866699,4.974999904632568,5.083333492279053,4.991666793823242,5.300000190734863,4681.521061,30336.24177,38593.14177,99.9,153.7,182.3,217.8,125.2,204.7,129.8,3.2075489185474537,0,0,0,28.75024986,32.46324920654297,24.63999938964844,25.22100067138672,24.48674964904785,33.453250885009766,33.96424865722656,26.699249267578125,31.279998779296875,26.03300094604492,28.53974914550781,31.961997985839844,523.0555555555555,282.3121693121693,0.534010113,0.601766376,0.6727962853773585,0.7496249874968413,1957.95166,2135.572266,2307.466309,2482.907715,6.149819025917659,6.707746879133598,7.247695519179894,7.798786789021164,3.5874998569488525,2.882499933242798,3.111666679382324,2.8558332920074463
ET201600000005,ETGE71FL,ET,2016,5,ET2016DHS,173854.375,198711.875,225556.3281,43.47500228881836,37.32500076293945,52.54999923706055,33.88333511352539,8.373996735,7.020376205444336,10.041400909423828,6.179331302642822,0.3476981321970622,0.3593436082204183,0.4598903656005859,35.45181655883789,34.64666748046875,32.84166717529297,35.45666504,14.341667175292969,13.758333206176758,12.600000381469728,13.716667175292969,10,1677,1570,1749,1908,1929,1803,1955,0,0,0,0,66.26666666666667,623.9039306640625,3,0.1405957043170929,0,0.1907599713400815,0.2388336701612655,27.203636169433597,26.93000030517578,25.93916702270508,27.668333053588867,18.438541666666666,42.10565185546875,35.76068115234375,0.088251114,19.97493489583333,0.04494293,0.069863535,0.007665406,0.006226091,0.024003634,0.038709361,0.00384932,0.003167329,33.50833511352539,33.41666793823242,33.25,34.241668701171875,26.33333396911621,26.51666641235352,26.924999237060547,27.358333587646484,19.16666603088379,19.658334732055664,20.649999618530277,20.524999618530277,7.438033807473104,19.036666870117188,19.87999916,18.955453872680664,19.21333312988281,19.036666870117188,19.87999916,5.191666603088379,5.316666603088379,5.233333587646484,5.483333587646484,128849.5917,118606.1465,158958.7294,636,636,653,546,649,965,343,2.366634623209636,3,3,3,23.05900001525879,22.67099952697754,19.766000747680664,20.51799964904785,19.350000381469727,23.10099983215332,24.88500022888184,22.26499938964844,24.42099952697754,20.451000213623047,22.378999710083008,22.77899932861328,1.7333333333333334,0,1493.9790736607142,1722.534319196429,1968.820313,2234.792969,3735.015137,4275.422852,4849.32959,5459.814453,293.45152994791664,335.9101236979167,381.0006510416667,428.9650391,4.939166546,4.2183332443237305,4.788333415985107,3.9375
ET201600000006,ETGE71FL,ET,2016,6,ET2016DHS,19044.96875,21767.99414,24708.6875,120.0500030517578,108.41666412353516,128.83334350585938,113.6500015258789,31.52297592163086,28.03879165649414,33.903507232666016,29.392240524291992,0,0,1.8768313140431537e-05,29.657677544487846,30.560740152994796,30.182037353515625,30.776109483506943,13.366666793823242,12.800000190734863,12.575000762939451,12.908333778381348,7,3086.1111111111118,3045,3104.333333333333,3221.8888888888887,3198.1111111111118,3043.222222222222,3158.8888888888887,0,0,0,0,25.303523035230352,650.4805385044643,9,0.3660897811253865,0,0.2144356391841861,0.2620899967642842,22.31919182671441,23.171573215060764,23.08888753255208,23.26036919487847,23.78268440887534,36.18815104166666,3.6402419175558944,0.006022695,1.3841776033727131,0.127407169,0.074056339,0.01493141,0.009672696,0.079478876,0.038883913,0.007194347,0.00470141,29.19166755676269,29.45833396911621,29.63333511352539,29.700000762939453,22.483333587646484,23.03333282470703,23.31666755676269,23.225000381469727,15.825000762939451,16.65833282470703,17.058334350585938,16.791667938232422,0.001779692,15.995739407009548,15.744630601671007,14.98070780436198,15.782407972547745,15.995739407009548,15.744630601671007,3.808333396911621,3.866666793823242,3.799999952316284,3.866666793823242,37820.10303,189793.1828,156992.8484,1184.6,1064.3,1224.2,1357.4,1262.3,1308.4,1204.2,2.3474518070376016,0,0,0,23.03233337402344,19.949666341145832,20.257667541503903,22.961334228515625,21.50333404541016,19.73633321126302,20.432666778564453,23.655667622884117,22.088999430338543,18.58866628011068,20.307334899902344,20.148333231608078,412.8130081300813,53.91869918699187,8.896880028370596,10.257963351117889,11.724634516852982,13.308543466294038,9766.833008,11419.08594,13228.89063,15212.84961,31.22660484417344,36.50919927168022,42.29551998644986,48.63865070291328,7.000833034515381,7.298333168029785,7.820833206176758,8.749166488647461
ET201600000007,ETGE71FL,ET,2016,7,ET2016DHS,7217.440918,8249.380859,9363.810547,22.94166755676269,46.18333435058594,35.09166717529297,49.36666488647461,4.987318992614746,9.722806930541992,7.656363487243652,10.196212768554688,1.2557324805077474e-05,3.801581633698409e-05,5.046240866753706e-05,33.99889119466146,34.937038845486114,34.125,35.24092610677084,12.175000190734863,11.40000057220459,10.44166660308838,11.40000057220459,2,1639.888888888889,1670.3333333333333,1650.888888888889,1816.3333333333333,1905.3333333333333,1879.4444444444443,2084.777777777778,0,0,0,0,16.2972973,578.4233398,5,0,0.010957127,0.2831725303925813,0.3793245202534493,26.301111857096355,27.428054809570312,27.293426513671875,27.94138929578993,3.943305783155488,1.9113217072112128,2.386831722931487,0.002118866,0.5924509766948255,0.096674629,0.056920599,0.013566189,0.019079708,0.055148356,0.029057082,0.006629461,0.009558053,30.658334732055664,30.649999618530277,30.40833282470703,31.21666717529297,24.55000114440918,24.916667938232425,25.149999618530277,25.5,18.483333587646484,19.25,19.96666717529297,19.81666755676269,0,20.461851331922745,20.64185248480903,18.60333251953125,19.91907416449653,20.461851331922745,20.64185248480903,4.599999904632568,4.75,4.583333492279053,4.8416666984558105,7666.425959,63380.36651,315288.6281,447,508.1111111111111,424.44444444444446,297.1111111111111,346.77777777777777,419,440.6666666666667,0.7712531361153455,0,0,0,24.18600082397461,21.759498596191406,23.975500106811523,25.67799949645996,25.11575126647949,21.54800033569336,22.222749710083008,25.6875,23.09699821472168,23.331750869750977,23.064498901367188,22.915000915527344,678.3523035230352,189.4308943089431,3.4707097056098384,4.001674107142857,4.5738285198365904,5.191718170906334,5664.950195,6542.407715,7486.754883,8504.393555,17.879575817242547,20.648984004488483,23.629509654471544,26.841354907689706,5.724166393280029,7.702499866485596,6.829166412353516,8.201666831970215
ET201600000008,ETGE71FL,ET,2016,8,ET2016DHS,18533.60938,21183.52344,24045.25781,66.16666412353516,53.90833282470703,66.05000305175781,55.00833511352539,14.153297424316406,11.270034790039062,14.17889118,11.15033721923828,0.000195832,0.000208004,0.000272928,35.094183349609374,33.25050048828125,31.501666259765624,34.66350098,16.933334350585938,16.34166717529297,15.19166660308838,16.308334350585938,7,1781.7,1680,1865.4,1956.7,2202.7,2108.5,2220.4,0.8633333444595337,0.4774999916553497,0.089166664,0.199999988,26.52830188679245,621.5008370535714,6,0,0,0.2716560119452387,0.3503197607137702,25.25163574,24.343833923339844,23.45366668701172,25.48891602,3.1442848061615565,0.055580232,1.616458532945165,0.00165319,1.3894776706746967,0.03908141,0.057248004,0.006619511,0.004732816,0.021552738,0.031390652,0.003340083,0.002410321,28.53333282470703,28.450000762939453,28.17500114440918,29.24166679382324,20.041667938232425,20.25,20.55000114440918,21.06666755676269,11.600000381469728,12.108333587646484,12.983333587646484,12.93333339691162,0.019362813,15.405667114257811,16.314332580566408,15.409091186523437,15.437165832519533,15.405667114257811,16.314332580566408,4.675000190734863,4.7833333015441895,4.6583333015441895,4.933333396911621,73537.93897,211115.1199,202735.1157,622.8,483.2,622,546.4,646.6,818.5,392.5,3.753174815216476,0,0,0,20.31475067138672,19.956249237060547,17.862749099731445,19.374500274658203,18.26675033569336,19.90024948120117,20.68925094604492,20.140748977661133,20.89350128173828,17.87700080871582,19.131000518798828,19.933000564575195,112.5822102425876,55.47439353,5.405481086206184,6.232434792493386,7.123540323247354,8.085877433655755,34843.57031,40240.61719,46049.07813,52308.48438,110.6081746967655,127.74066079851752,146.1791715801887,166.04915978773585,5.747499942779541,4.946666717529297,5.630000114440918,4.610000133514404
ET201600000009,ETGE71FL,ET,2016,9,ET2016DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET201600000010,ETGE71FL,ET,2016,10,ET2016DHS,37698.10156,43088.13281,48909.00781,132.4499969482422,114.65833282470705,100.70833587646484,89.84166717529297,38.76585388183594,32.99520492553711,30.137157440185547,25.42688751220703,1.1225233202257864e-05,0.000155194,0.001000709,33.42378743489584,33.66222381591797,33.02833557128906,35.17333475748698,15.31666660308838,14.975000381469728,14.050000190734863,14.591667175292969,7,1826.5833333333333,1813.3333333333333,1884.3333333333333,1980.75,1955.5,1916.1666666666667,2041.75,1.2024999856948853,0.8433333039283752,0.3191666603088379,0.3083333075046539,39.055851063829785,659.2530517578125,10,0,0,0.2558846029748146,0.3269073981350343,23.853182474772137,24.54750061035156,24.015416463216145,25.78062438964844,79.99200049867021,66.16909075797872,25.99138235538564,0.022912888,28.01782486286569,0.050770112,0.099347217,0.007294214,0.00566362,0.027469188,0.056526912,0.003587009,0.002809397,24.44166755676269,24.524999618530277,24.433334350585938,25,16.758333206176758,17.008333206176758,17.391666412353516,17.666667938232422,9.125,9.550000190734863,10.383333206176758,10.408333778381348,0.004577543,15.00249989827474,16.387916564941406,14.282574971516928,15.432777404785156,15.00249989827474,16.387916564941406,3.4166667461395264,3.4750001430511475,3.3416666984558105,3.533333301544189,339428.2802,190022.0008,134440.1036,904.1,891.3,872.1,1143.5,1004.9,1032.1,644.7,8.305242010887634,0,0,0,20.87900161743164,17.476999282836914,18.037250518798828,20.22775077819824,19.066749572753903,17.951749801635742,20.321250915527344,20.57525062561035,20.69274902,18.04599952697754,18.535249710083008,18.121000289916992,287.9281914893617,91.90159574468083,14.72886402027027,16.982147381756757,19.41023543074324,22.03241395692568,37912.36719,42384.53516,46951.44531,51627.77734,119.19456449468083,133.25482047872342,147.61293841422872,162.31511801861703,8.881666183,7.965833187103271,7.949999809265137,6.753333092
