DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
AO201500000001,AOGE71FL,AO,2015.0,1.0,AO2015DHS,4613.2724609375,5464.955078125,6444.1220703125,70.91666412353516,70.91666412353516,68.57499694824219,49.57500076293945,26.84542465209961,25.866260528564453,24.936363220214844,16.75774574279785,3.733968564929082e-06,3.733968564929082e-06,4.81983729012381e-05,31.8207275390625,30.1114990234375,31.006500244140625,30.784832763671876,10.183333396911621,10.183333396911621,10.183333396911621,10.183333396911621,10.0,2955.0,2865.7,2888.3,2959.7,2994.4,3017.3,2873.0,0.0,0.0,0.0,0.0,24.053050397877985,3441.2302083333334,9.0,0.0,0.052857306518797983,0.22192633990793706,0.435567580703881,23.814727783203125,23.22856903076172,23.844749450683594,23.727780151367188,2.4611102440629145,0.2088300871912301,1.2291612701011274,0.008229024214200695,0.6944584935033985,0.2604535222053528,0.22363309562206268,0.07259221374988556,0.09552880376577377,0.19686806201934814,0.15593209862709045,0.03829023241996765,0.05606619641184807,25.133333206176758,25.641666412353516,25.725000381469727,25.508333206176758,20.016666412353516,20.524999618530273,20.608333587646484,20.391666412353516,14.950000762939453,15.458333969116211,15.541666984558105,15.324999809265137,0.0,16.68300018310547,16.6707275390625,15.80872802734375,16.345635986328126,16.68300018310547,16.6707275390625,2.6416666507720947,2.741666793823242,2.75,2.9583334922790527,44356.36276,70430.62656,44243.80825,735.5833333333334,970.5,1118.3333333333333,836.1666666666666,1185.75,1178.5,1043.5833333333333,4.212252103365385,1.0,1.0,0.0,21.805333455403645,19.064666748046875,21.12866719563802,21.627334594726562,21.250999450683594,18.09966786702474,18.36566670735677,21.837000528971355,20.578332265218098,21.426666259765625,21.73199971516927,20.740999857584637,258.44031830238725,307.7851458885942,1.702275513341187,2.0249349604208002,2.398769802517361,2.828562257151124,13457.19921875,16099.5302734375,17427.791015625,16496.0703125,42.418981577420425,50.74797952586207,54.9348474801061,51.99792771883289,6.524999618530273,6.524999618530273,5.300000190734863,4.387499809265137
AO201500000002,AOGE71FL,AO,2015.0,2.0,AO2015DHS,39284.19921875,46536.68359375,54874.75390625,67.4000015258789,57.275001525878906,46.108333587646484,106.66666412353516,19.631067276000977,16.13380241394043,13.20525074005127,31.067960739135742,0.4656115940638951,0.5147033078329903,0.702977180480957,33.64454650878906,32.6966667175293,32.9283332824707,31.86833381652832,14.783333778381348,15.5,15.108333587646484,15.283333778381348,4,2990.0,2913.0,3005.0,2930.0,2896.0,2774.0,2770.0,0.0,0.0,0.0,0.0,21.714285714285715,3403.23046875,9,0.0,0.0676889679283057,0.32851616369993875,0.46209752803373816,25.442272186279297,25.431514739990234,25.575834274291992,25.06916618347168,0.1665501253945487,0.1616271734237671,2.18929386138916,0.12221645457404,1.19757080078125,0.19745299220085144,0.18851187825202942,0.08918830752372742,0.10553350299596786,0.1463100165128708,0.13771064579486847,0.0525270439684391,0.06758525222539902,30.016666412353516,31.166667938232422,30.691667556762695,30.508333206176758,22.608333587646484,23.375,23.125,22.858333587646484,15.233333587646484,15.666666984558105,15.583333969116211,15.225000381469727,13.974251039566532,18.22333335876465,18.270000457763672,17.239999771118164,18.166362762451172,18.22333335876465,18.270000457763672,3.433333396911621,3.549999952316284,3.491666793823242,3.433333396911621,157733.8219,215179.6066,615724.6826,1304.0,1320.0,1145.0,1116.0,1278.0,1196.0,1208.0,1.3981598445347376,3.0,3.0,3.0,23.19300079345703,22.39299964904785,22.663000106811523,23.08500099182129,22.777999877929688,20.881000518798828,20.854999542236328,22.976999282836914,22.700000762939453,22.825000762939453,23.559999465942383,23.582000732421875,655.6428571428571,0.14285714285714285,339.2241536458333,403.52272135416666,478.0193684895833,563.6670572916667,163.02073669433594,197.6038818359375,216.72933959960938,207.84963989257812,13.725705827985491,16.63747297014509,18.24776131766183,17.500126429966517,6.8433332443237305,6.425833225250244,4.836666584014893,8.274999618530273
AO201500000003,AOGE71FL,AO,2015.0,3.0,AO2015DHS,40178.3984375,47595.96875,56123.828125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.012127553874796087,0.04154001582752575,0.46506586941805755,36.99909210205078,33.82090759277344,33.98500061035156,33.99800109863281,-9999,-9999,-9999,-9999,9.0,1363,1225,1314,1484,1284,1288,1238,-9999,-9999,-9999,-9999,40.9375,3288.281005859375,4,0.0,0.0290075943212513,0.12868750826140227,0.3208514020429808,28.11554527282715,26.907121658325195,27.389999389648438,27.519832611083984,4.067975997924805,354.98370361328125,3.779632806777954,33.72466278076172,1.035664677619934,0.13744522631168365,0.07196243107318878,0.05536161735653877,0.07249146699905396,0.09186781197786331,0.03804074600338936,0.028544260188937187,0.04167107865214348,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.665010724748885,20.795000076293945,21.04166603088379,19.23200035095215,19.99333381652832,20.795000076293945,21.04166603088379,-9999,-9999,-9999,-9999,14233.87089,27079.27812,13221.39017,360,394,531,457,422,388,454,1.309816598892212,1.0,1.0,3.0,27.871000289916992,21.958999633789062,26.218000411987305,27.94700050354004,27.155000686645508,21.465999603271484,23.29400062561035,27.933000564575195,26.399999618530273,26.246000289916992,25.29599952697754,23.365999221801758,18.9375,0.0,265.1572570800781,315.416748046875,373.6476745605469,440.5948486328125,1048.265380859375,2849.5390625,7008.87890625,15074.0625,77.06581115722656,209.49087524414062,515.2750244140625,1108.2069091796875,-9999,-9999,-9999,-9999
AO201500000004,AOGE71FL,AO,2015.0,4.0,AO2015DHS,2115.435791015625,2505.97900390625,2954.97998046875,88.25,88.25,88.25,88.25,26.34328269958496,24.685314178466797,25.955881118774414,26.475000381469727,0.0,0.0,2.6806663626279587e-05,28.47091064453125,28.178665161132812,27.77066650390625,30.23499755859375,14.591667175292969,14.983333587646484,14.591667175292969,14.766667366027832,2.0,3117.2,3195.8,3253.5,3308.3,3409.5,3245.2,3272.0,0.25583332777023315,0.09916666895151138,0.164166659116745,0.3983333110809326,10.398416886543536,3269.933035714286,9.0,0.0,0.0,0.13517656357942048,0.32310423299081475,20.87372589111328,21.0788330078125,20.704905700683593,22.35535583496094,0.8938810649671053,0.4618913349352385,0.739474888851768,0.05876107968782124,0.038764055151688424,0.29668092727661133,0.2851676940917969,0.07504921754201253,0.09967284202575684,0.228242556254069,0.20843493143717448,0.040330878893534344,0.05792246659596761,27.58333396911621,28.916667938232422,28.233333587646484,27.725000381469727,20.258333206176758,21.391666412353516,20.908334732055664,20.308334350585938,12.991666793823242,13.933333396911621,13.641666412353516,12.958333969116211,0.0,13.639144897460938,14.475711059570312,13.27654571533203,13.97899932861328,13.639144897460938,14.475711059570312,3.3500001430511475,3.575000047683716,3.4000000953674316,3.3333334922790527,343279.6073,209774.0506,485911.1872,995.7,1146.3,795.4,895.3,971.7,1157.5,828.1,1.2521528545178866,0.0,0.0,0.0,19.982250213623047,16.73200035095215,21.072998046875,20.756500244140625,20.779998779296875,13.897500038146973,14.230250358581543,20.620750427246094,16.99325180053711,21.4947509765625,21.898500442504883,20.815250396728516,445.5394736842105,59.723684210526315,0.7327015387318122,0.87158203125,1.032489917896412,1.2174831168361442,4882.56884765625,5064.41748046875,4753.15087890625,3900.6962890625,15.407181589226974,15.981016138980262,14.99879728618421,12.308837890625,7.1583333015441895,7.1583333015441895,7.1583333015441895,7.1583333015441895
AO201500000005,AOGE71FL,AO,2015.0,5.0,AO2015DHS,2425.21240234375,2872.94482421875,3387.696044921875,53.16666793823242,53.16666793823242,53.16666793823242,53.16666793823242,17.47945213317871,16.878307342529297,16.833772659301758,15.989974975585938,0.00011826578491753703,0.00013105610798792822,0.0001989532010539935,33.79909057617188,33.11933288574219,32.48833312988281,32.81849975585938,11.425000190734863,11.425000190734863,11.425000190734863,11.425000190734863,10.0,2822.8,2723.8,2837.8,2907.6,2967.7,3015.2,2854.1,0.0,0.0,0.0,0.0,13.958115183246074,3465.8473958333334,7.0,0.0,0.02476510999354444,0.15087067321949507,0.344467470869119,25.7052734375,25.879666137695313,25.575498962402342,25.570248413085938,19.304715547486946,1.7291199208550914,7.2434368880548305,0.03946411889775926,1.2816185216679585,0.24851489067077637,0.16959048906962076,0.07026178042093913,0.09602959156036377,0.18024498621622723,0.10443976720174154,0.036584997177124025,0.05404959122339884,26.850000381469727,27.325000762939453,27.350000381469727,27.066667556762695,21.108333587646484,21.58333396911621,21.608333587646484,21.325000762939453,15.425000190734863,15.90000057220459,15.925000190734863,15.641667366027832,0.0,18.66266784667969,18.322000122070314,17.611453247070312,18.639999389648438,18.66266784667969,18.322000122070314,3.0416667461395264,3.1500000953674316,3.1583333015441895,3.325000047683716,116994.1305,134161.653,116869.9175,636.1818181818181,627.3636363636364,722.3636363636364,651.0909090909091,800.3636363636364,881.1818181818181,770.3636363636364,1.6170051913348564,0.0,0.0,0.0,23.95549964904785,20.749000549316406,23.94999885559082,23.644248962402344,23.620498657226562,20.39725112915039,20.8385009765625,23.969999313354492,22.959999084472656,24.48324966430664,24.583250045776367,22.64900016784668,219.95300261096605,377.99477806788514,0.8967546735491071,1.066730882755663,1.2636662235966436,1.490079849485367,895.965576171875,1414.95751953125,2021.954345703125,2526.4150390625,2.804165115555646,4.428489744818864,6.328249301362598,7.907095249265666,5.066666603088379,5.066666603088379,5.066666603088379,5.066666603088379
AO201500000006,AOGE71FL,AO,2015.0,6.0,AO2015DHS,1448.489013671875,1715.9029541015625,2023.3446044921875,72.24166870117188,61.00833511352539,76.91666412353516,67.76667022705078,27.347003936767578,22.66563606262207,27.801204681396484,25.333332061767578,0.22248804569244385,0.3385274410247803,0.3542162577311198,27.549999237060547,27.948333740234375,28.8700008392334,28.04400062561035,6.816666603088379,6.816666603088379,6.816666603088379,6.816666603088379,9.0,715.0,709.0,723.0,770.0,932.0,844.0,982.0,0.0,0.0,0.0,0.0,55.083333333333336,2900.402099609375,-9999,-9999,0.1616244807652446,0.31951053755665715,0.5935982355755715,23.145000457763672,23.745832443237305,24.50666618347168,24.18245506286621,0.3580446243286133,3.2932408650716147,0.9996212323506674,1.2436377207438152,1.4254542986551921,0.3578849136829376,0.13779830932617188,0.10219982266426086,0.16178274154663086,0.2613101601600647,0.07414048910140991,0.05226733908057213,0.09191635251045227,28.941667556762695,29.241666793823242,29.51666831970215,29.241666793823242,25.5,25.80000114440918,26.075000762939453,25.799999237060547,22.125,22.42500114440918,22.700000762939453,22.42500114440918,14.028975830078124,20.143333435058594,20.32090950012207,18.739999771118164,19.543333053588867,20.143333435058594,20.32090950012207,2.6416666507720947,2.691666603088379,2.7666666507720947,2.674999952316284,1092.190804,116076.2957,1101.930253,809,876,1099,905,788,930,917,0.08504559776999733,1.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.375,0.08333333333333333,24.248629056490383,28.84485802283654,34.170074462890625,40.29239126352164,251.5177764892578,559.180419921875,1124.87109375,1978.622802734375,33.85887284712358,75.27587335759944,151.4281338778409,266.35868696732956,4.792500019073486,4.4083333015441895,4.737499713897705,4.070833206176758
AO201500000007,AOGE71FL,AO,2015.0,7.0,AO2015DHS,1804.39111328125,2137.51025390625,2520.491943359375,72.24166870117188,61.00833511352539,76.91666412353516,67.76667022705078,27.347003936767578,22.66563606262207,27.801204681396484,25.333332061767578,0.3602183415339543,0.5856580000657302,0.5767441529494065,28.538000106811523,28.64666748046875,29.462726593017578,29.56999969482422,6.816666603088379,6.816666603088379,6.816666603088379,6.816666603088379,9.0,0,0,0,12,64,0,39,0.0,0.0,0.0,0.0,54.357142857142854,2900.402099609375,9,9.191508293151855,0.11353177390041619,0.24189830730479,0.471850779701943,24.1299991607666,24.663333892822266,25.35053062438965,25.33909034729004,0.5053939138139997,2.7929066249302457,1.292416981288365,0.8413801874433245,1.2537736892700195,0.30931147933006287,0.11883692443370819,0.08788267523050308,0.14186504483222961,0.21595658361911774,0.061915721744298935,0.04389120638370514,0.07801807671785355,28.941667556762695,29.241666793823242,29.51666831970215,29.241666793823242,25.5,25.80000114440918,26.075000762939453,25.799999237060547,22.125,22.42500114440918,22.700000762939453,22.42500114440918,23.55358676252694,21.238332748413086,21.10818099975586,19.722000122070312,20.68000030517578,21.238332748413086,21.10818099975586,2.6416666507720947,2.691666603088379,2.7666666507720947,2.674999952316284,2835.231076,117173.4167,2663.691146,807.0,765.0,980.0,846.0,712.0,854.0,859.0,0.08733204432896205,2.0,3.0,3.0,26.735000610351562,22.23699951171875,25.947999954223633,26.52400016784668,26.222000122070312,21.934999465942383,23.308000564575195,26.726999282836914,25.88800048828125,25.69700050354004,25.2760009765625,23.589000701904297,27.5,0.0,23.47262191772461,27.9217586517334,33.07655715942383,39.00294876098633,405.994384765625,902.6165771484375,1815.74169921875,3193.8486328125,33.858873639787944,75.27587890625,151.42813546316964,266.35867745535717,4.792500019073486,4.4083333015441895,4.737499713897705,4.070833206176758
AO201500000008,AOGE71FL,AO,2015.0,8.0,AO2015DHS,3063.0966796875,3628.592529296875,4278.734375,86.5,86.5,83.2750015258789,60.75,31.359516143798828,30.17441749572754,29.134111404418945,20.193906784057617,0.03716661036014557,0.05059689283370972,0.09997886419296265,31.986364364624023,30.59666633605957,30.350000381469727,30.513334274291992,11.258333206176758,11.258333206176758,11.258333206176758,11.258333206176758,10.0,3047.0,2955.0,2968.0,3030.0,3020.0,3024.0,2983.0,0.0,0.0,0.0,0.0008333332953043282,42.1875,3441.230224609375,9.0,0.0,0.0187520063038731,0.17245740971250306,0.3708452102858726,23.472726821899414,23.34000015258789,23.05666732788086,23.43833351135254,4.241641521453857,1.0896662473678589,2.6863207817077637,0.02724786102771759,0.6409854888916016,0.4247160851955414,0.5022547841072083,0.07701702415943146,0.13058793544769287,0.38916245102882385,0.4760584831237793,0.04087236151099205,0.08490807563066483,25.116666793823242,25.649999618530273,25.691667556762695,25.46666717529297,19.450000762939453,19.983333587646484,20.024999618530273,19.80000114440918,13.858333587646484,14.391666412353516,14.433333396911621,14.208333969116211,0.07026930986824682,15.763333320617676,16.363332748413086,14.959091186523438,16.08333396911621,15.763333320617676,16.363332748413086,2.758333444595337,2.866666793823242,2.8583333492279053,3.008333444595337,119161.7144,102726.4551,119049.6208,1020,1307,1287,1006,1387,1360,1206,1.3768705129623413,0.0,3.0,3.0,21.479000091552734,20.237998962402344,20.9320011138916,21.145000457763672,20.937000274658203,18.594999313354492,18.26300048828125,21.45199966430664,20.118000030517578,21.329999923706055,21.780000686645508,21.54400062561035,153.75,3.1875,26.050946403952207,30.98879825367647,36.70982091567095,43.2871883616728,394.02752685546875,471.395263671875,510.2886657714844,483.0056457519531,29.29507827758789,35.04719543457031,37.93883514404297,35.910400390625,7.491666793823242,7.491666793823242,6.054999828338623,5.070000171661377
AO201500000009,AOGE71FL,AO,2015.0,9.0,AO2015DHS,9688.0078125,11476.56640625,13532.8447265625,64.75,64.75,63.21666717529297,44.70833206176758,23.689023971557617,22.719297409057617,22.052326202392578,14.944289207458496,0.0,2.806764575158668e-05,0.00016026563008115222,29.888726806640626,28.121832275390624,29.086334228515625,28.3941650390625,9.583333015441895,9.583333015441895,9.583333015441895,9.583333015441895,10.0,3339.9,3186.1,3290.0,3347.4,3512.8,3514.5,3439.6,0.0,0.0,0.0,0.0,22.331550802139038,3374.557552083333,9.0,0.0,0.019609739207364096,0.18886793636204444,0.4127517383667906,22.946182250976562,22.413333129882812,23.031832885742187,22.153173828125,0.05532407505626984,1.8260419712984626,1.016237228311957,0.20986669203814337,0.13020822453626338,0.48026571954999653,0.5649897030421666,0.1925766978945051,0.23691070079803467,0.40805721282958984,0.4914249692644392,0.11713987588882446,0.16342602457318986,26.016666412353516,26.508333206176758,26.625,26.33333396911621,21.191667556762695,21.683334350585938,21.80000114440918,21.508333206176758,16.433334350585938,16.92500114440918,17.041667938232422,16.75,0.0,16.977334594726564,15.9121826171875,16.0036376953125,16.704833984375,16.977334594726564,15.9121826171875,2.7333333492279053,2.8500001430511475,2.866666793823242,2.991666793823242,73659.30572,134726.3378,73607.6498,870.4,1123.9,1248.1,855.7,1238.8,1244.8,1087.7,2.1552071800843917,0.0,0.0,0.0,22.25159912109375,19.667999267578125,21.503399658203126,21.87860107421875,21.544400024414063,18.522799682617187,18.612399291992187,22.211199951171874,20.961000061035158,21.699800109863283,22.16840057373047,21.459999084472656,447.88235294117646,162.52941176470588,4.5291409505208335,5.38762109375,6.382261067708333,7.525783203125,9002.6552734375,11531.912109375,13365.9345703125,13545.869140625,28.574983810995988,36.60300123245321,42.424308572860966,42.9954305230615,5.849999904632568,5.849999904632568,4.796666622161865,3.9175000190734863
AO201500000010,AOGE71FL,AO,2015.0,10.0,AO2015DHS,112528.484375,133303.03125,157187.1875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5540835516793388,0.606001445225307,0.8374153545924595,35.27363586425781,33.6966667175293,33.621665954589844,31.50090980529785,-9999,-9999,-9999,-9999,9,938,783,902,928,936,951,936,-9999,-9999,-9999,-9999,87.14285714285714,3288.281005859375,4,0.0,0.02660681416431647,0.12191022281762895,0.3128082073672801,27.912818908691406,27.245832443237305,27.543333053588867,26.491287231445312,0.0,0.0,0.0,0.0,0.0,0.13977286219596863,0.08324404805898666,0.057632531970739365,0.07185479253530502,0.09238415956497192,0.04473874717950821,0.02974921278655529,0.04118690639734268,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.29020792643229,21.46500015258789,21.481666564941406,20.552000045776367,20.795000076293945,21.46500015258789,21.481666564941406,-9999,-9999,-9999,-9999,6290.771064,38191.47071,6299.494706,417.0,421.0,564.0,480.0,451.0,428.0,479.0,0.22672172955104283,2.0,3.0,3.0,28.040000915527344,22.284000396728516,26.576000213623047,28.172000885009766,27.336000442504883,22.073999404907227,23.84000015258789,28.222000122070312,26.708999633789062,26.572999954223633,25.514999389648438,23.83099937438965,13.642857142857142,0.0,1125.9153878348213,1339.328125,1586.5892857142858,1870.861607142857,3225.4365234375,8767.8017578125,21565.7265625,46381.6328125,270.92696707589283,736.4689592633929,1811.4560546875,3895.917410714286,-9999,-9999,-9999,-9999
