DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
CI202100000001,CIGE81FL,CI,2021,1,CI2021DHS,220790.3438,201525.0469,289903.8125,217490.2344,263676.4688,37.67662048,37.93156433,48.37236404,33.7653389,39.09987259,31.2104702,29.11619186,29.08448982,29.84224129,31.63836479,7.531090736,6.934621334,7.10704565,7.469141006,7.359838009,NA,95.16503906,0.326561987,0.314969927,0.318930864,0.327260345,0.283691376,0,0,0,0,0,82.20864105,12,0,0.067861505,0.031304676,0.08280465,0.687680662,0.572688639,25.74186897,25.10001183,25.09328651,25.71580315,27.01936722,0.002278248,153.5583038,0.00732061,0.036240626,0.013866846,0.464781255,0.529859781,0.312806696,0.159311667,0.200458616,0.504621744,0.651902735,0.279552937,0.107991114,0.171150133,30.79405403,30.74217415,31.28930855,31.08023834,31.1213398,27.00419617,27.2483654,27.71002579,27.32190514,27.41565514,23.26296234,23.80755234,24.18226242,23.61109734,23.76150131,16.27775192,20.27326965,21.08383179,21.10208321,21.5893631,22.40036774,3.179658651,3.190480471,3.260488987,3.268069983,3.202155828,119.7987976,121.0199203,157.7175751,110.347496,125.2038803,1619.7854,1664.837891,1946.996704,1488.857056,1901.42395,26.78171921,27.56789398,27.81599808,27.95345497,27.36885643,26.17267227,24.9150753,24.26334763,25.11672974,26.1143322,27.16727638,27.01813126,0.260742188,27422.88477,28282.94727,29440.66211,27502.18359,32112.23438,215364.5313,237914.7344,264919.1875,298516.875,334580.5625,10055.02148,11107.85352,12368.64746,13937.26953,15621.02441,10.95925903,11.2133112,13.96284866,10.7771101,11.48427677
CI202100000002,CIGE81FL,CI,2021,2,CI2021DHS,220790.3438,201525.0469,289903.8125,217490.2344,263676.4688,37.67662048,37.93156433,48.37236404,33.7653389,39.09987259,31.2104702,29.11619186,29.08448982,29.84224129,31.63836479,7.531090736,6.934621334,7.10704565,7.469141006,7.359838009,NA,95.16503906,0.326561987,0.314969927,0.318930864,0.327260345,0.283691376,0,0,0,0,0,82.20864105,12,0,0.067861505,0.031304676,0.08280465,0.687680662,0.572688639,25.74186897,25.10001183,25.09328651,25.71580315,27.01936722,0.002278248,153.5583038,0.00732061,0.036240626,0.013866846,0.464781255,0.529859781,0.312806696,0.159311667,0.200458616,0.504621744,0.651902735,0.279552937,0.107991114,0.171150133,30.79405403,30.74217415,31.28930855,31.08023834,31.1213398,27.00419617,27.2483654,27.71002579,27.32190514,27.41565514,23.26296234,23.80755234,24.18226242,23.61109734,23.76150131,16.27775192,20.27326965,21.08383179,21.10208321,21.5893631,22.40036774,3.179658651,3.190480471,3.260488987,3.268069983,3.202155828,119.7987976,121.0199203,157.7175751,110.347496,125.2038803,1619.7854,1664.837891,1946.996704,1488.857056,1901.42395,26.78171921,27.56789398,27.81599808,27.95345497,27.36885643,26.17267227,24.9150753,24.26334763,25.11672974,26.1143322,27.16727638,27.01813126,0.260742188,27422.88477,28282.94727,29440.66211,27502.18359,32112.23438,215364.5313,237914.7344,264919.1875,298516.875,334580.5625,10055.02148,11107.85352,12368.64746,13937.26953,15621.02441,10.95925903,11.2133112,13.96284866,10.7771101,11.48427677
CI202100000003,CIGE81FL,CI,2021,3,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000004,CIGE81FL,CI,2021,4,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000005,CIGE81FL,CI,2021,5,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000006,CIGE81FL,CI,2021,6,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000007,CIGE81FL,CI,2021,7,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000008,CIGE81FL,CI,2021,8,CI2021DHS,301517.8125,457648.0313,398827,588346.25,669544.625,37.4175415,37.6325264,48.15475845,33.46918869,38.88150787,29.92831802,28.5884037,28.77810669,28.78203583,30.05923462,7.61844635,7.022786617,7.195963383,7.556554317,7.448264122,NA,103.0595627,0.352725565,0.322199106,0.346594602,0.340582311,0.295153141,0,0,0,0,0,72.69603729,12,0,0.071407653,0.031636354,0.076333344,0.674012303,0.560770452,24.88739777,24.61298752,24.86308098,24.88790894,25.94766998,0.017632319,2516.561768,0.054116037,0.350892633,0.141834661,0.452711523,0.522194982,0.301999629,0.148299932,0.191500857,0.480394423,0.613931715,0.265611768,0.097269073,0.158935934,30.83719635,30.78676224,31.33476639,31.12508774,31.17078972,27.00460052,27.24908829,27.7108078,27.32369804,27.42022514,23.21875,23.76397514,24.13880157,23.56853294,23.72252655,12.51796436,19.84647751,20.63756943,20.94805527,20.99378586,21.83610535,3.178211927,3.189843893,3.259418488,3.268967152,3.201085091,118.9208755,120.0418854,156.9565125,109.4096832,124.4630203,1618.354248,1648.1698,1924.000732,1475.04248,1896.623413,26.72146988,27.51639366,27.76112366,27.87745476,27.31585693,26.13829613,24.8919487,24.25209808,25.1074791,26.08733368,27.07727623,26.93913078,0.041015625,54922.87891,64228.42188,66239.5625,74397.85156,81541.5,287343.3438,317430.25,353460.0625,398286.75,446403.5625,13416.52148,14821.32715,16503.61719,18596.64648,20843.29688,10.95111084,11.1893959,13.94293785,10.7512455,11.47199631
CI202100000009,CIGE81FL,CI,2021,9,CI2021DHS,200414.0313,201566.2656,255403.3281,308845.5313,329120.9688,37.42278671,37.45883179,48.00151825,33.4307518,38.77329254,29.83023834,27.99500084,27.8953495,28.40194321,29.55196381,7.612630367,7.019401073,7.19101572,7.551953316,7.442708492,NA,107.5449219,0.410521001,0.404685438,0.41549325,0.421391636,0.357990891,0,0,0,0,0,52.78070068,12,0.024057347,0.066572562,0.030312715,0.077444084,0.680867136,0.566025734,24.90131187,24.32307243,24.40022659,24.65539932,25.63665771,0.080614381,6768.754395,0.259492308,1.345742106,0.501026213,0.475447297,0.529613316,0.347687453,0.170573488,0.209614292,0.522007585,0.647708118,0.324690223,0.118053138,0.180302158,30.83763123,30.79049492,31.33658981,31.12734413,31.17382813,27.00755119,27.25455856,27.71471405,27.32734489,27.42526054,23.22500038,23.77109337,24.14557266,23.57539177,23.73112106,7.438090324,19.97238541,20.65114594,20.90510368,20.90885353,21.72135353,3.180468798,3.200781345,3.262630224,3.272526026,3.204296827,119.0220032,119.897522,156.6112061,109.4029999,124.2411423,1593.122925,1672.688477,1926.937012,1493.687622,1905.289185,26.63562965,27.45205307,27.68869209,27.78604126,27.2257309,26.0547123,24.83062744,24.17756653,25.05190086,26.01210022,27.00894737,26.88059998,1.048828125,30779.84375,28288.73047,34318.55859,39054.28906,40082.49219,235159.4063,259782.2656,289268.8125,325954.5625,365332.9688,10979.96973,12129.65039,13506.42383,15219.34082,17057.98242,10.90833282,11.1249609,13.8674612,10.6957159,11.40786457
CI202100000010,CIGE81FL,CI,2021,10,CI2021DHS,241122.4219,278553.9375,329918.125,369528.1563,426231.6563,37.93546677,38.23048782,48.58982849,34.06165314,39.31808853,31.91182899,30.14935112,30.48038292,30.43395424,32.91493607,7.4437356,6.846455574,7.018127918,7.381727695,7.271411896,NA,41.30371475,0.275129229,0.263011873,0.276033849,0.259167761,0.248153314,0,0,0,0,0,86.71356964,12,0,0.065475315,0.030619832,0.075387359,0.664156556,0.552388132,26.3160038,25.77819443,25.92557907,26.16649055,27.78091621,0,0,0,0,0,0.453757018,0.525581121,0.28950873,0.14999263,0.193064377,0.486921728,0.636924386,0.249654099,0.099934436,0.163616553,30.75091171,30.69758415,31.24385071,31.03538895,31.07188988,27.0037899,27.24764252,27.70924377,27.32011032,27.41108322,23.30717659,23.85112762,24.22572327,23.65366173,23.80047798,27.02060318,20.7201767,21.40703773,21.37077522,21.89902687,22.64689636,3.181105375,3.191117048,3.261559725,3.267173052,3.203226328,120.6767197,121.997963,158.4786224,111.2853165,125.9447327,1655.722046,1691.086792,1997.204956,1495.280396,1910.709961,26.79084015,27.53708458,27.76059151,27.871315,27.34523773,26.11904716,24.85542679,24.18660927,25.05381012,26.08486748,27.19299316,27.07531357,0.043945313,34213.49219,39093.53906,41778.27344,46727.75781,51909.26563,185834.5938,205292.7969,228594.5156,257585.4219,288704.1875,9116.405273,10070.95703,11214.05957,12636.25293,14162.83301,10.96740723,11.23722649,13.98275852,10.80297565,11.49655628
