DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
ET201600000001,ETGE71FL,ET,2016.0,1.0,ET2016DHS,56905.4609375,65041.73046875,73828.375,66.94166564941406,58.400001525878906,68.43333435058594,59.141666412353516,14.47387409210205,12.403539657592773,14.849909782409668,12.194157600402832,0.0018980256766550924,0.0021731539479565545,0.004042219664396171,30.824712579900567,30.368030894886363,28.766362970525567,32.3386396928267,16.28333282470703,15.691666603088379,14.541666984558105,15.666666984558105,10.0,2338.3636363636365,2334.3636363636365,2443.4545454545455,2567.909090909091,2758.7272727272725,2621.6363636363635,2725.818181818182,0.4741666316986084,0.20333331823349,0.005833333358168602,0.10083332657814026,29.19302949061662,621.5008544921875,5.0,0.0,0.0,0.2761681663469814,0.35686739812695206,21.778676813299004,21.717878861860797,20.89083307439631,23.142879139293324,273.8370475871314,67.5277050519437,152.09032548592492,0.26077250053671663,73.19759550938338,0.03213393290837606,0.050217485427856444,0.005171826481819153,0.0037628022332986196,0.016427862644195556,0.025384571154912314,0.002500879764556885,0.0018428285916646321,28.616666793823242,28.524999618530273,28.25,29.316667556762695,20.441667556762695,20.650001525878906,20.95833396911621,21.450000762939453,12.333333969116211,12.833333969116211,13.708333969116211,13.65000057220459,0.0,13.015303178267045,13.947121360085227,12.73264520818537,13.067726828835227,13.015303178267045,13.947121360085227,4.625,4.708333492279053,4.608333587646484,4.849999904632568,84310.54679,179960.5175,188745.6297,766.7272727272727,538.4545454545455,712.0,651.8181818181819,719.0909090909091,972.6363636363636,455.3636363636364,6.276100138237266,0.0,0.0,0.0,18.59724998474121,16.890499114990234,15.560249328613281,15.959749221801758,15.17300033569336,17.397249221801758,18.495500564575195,17.122249603271484,19.02375030517578,16.54775047302246,17.66874885559082,17.742250442504883,304.4691689008043,111.5201072386059,27.149165962837838,31.302562816722972,35.77816722972973,40.611526076858105,39760.4375,46651.078125,54235.9296875,62590.265625,125.59065013404826,147.35600284852546,171.31414418565683,197.70287365951742,6.19249963760376,5.328333377838135,6.143333435058594,4.875
ET201600000002,ETGE71FL,ET,2016.0,2.0,ET2016DHS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ET201600000003,ETGE71FL,ET,2016.0,3.0,ET2016DHS,57056.734375,65214.63671875,74024.640625,153.76666259765625,131.34165954589844,128.90834045410156,115.31666564941406,46.5959587097168,39.600502014160156,40.075130462646484,34.16790008544922,1.4685885831951714e-05,0.0002968200384237515,0.0004636515824558636,29.278909301757814,30.034002685546874,29.335333251953124,29.3818359375,14.508333206176758,14.141666412353516,13.450000762939453,13.808333396911621,7.0,2768.5,2838.2,2859.6,2903.3,2918.7,2776.2,2913.3,0.54666668176651,0.33250001072883606,0.09416666626930237,0.16499999165534973,38.086021505376344,615.7490234375,9.0,0.0,0.0,0.2360342026601738,0.29610936079260575,18.829000854492186,20.550749206542967,19.80933380126953,19.363499450683594,99.97870463709677,75.57782573084677,3.9277091077578965,0.041417375687629945,51.71705939180107,0.08143083254496257,0.04139306810167101,0.005048389236132304,0.003992437902424071,0.047408335738711886,0.02097706331147088,0.002481723204255104,0.0019888505339622498,24.391666412353516,24.59166717529297,24.5,24.858333587646484,17.108333587646484,17.491666793823242,17.75,17.933334350585938,9.883333206176758,10.449999809265137,11.050000190734863,11.050000190734863,0.009188752391702687,10.283332824707031,9.345166015625,8.379090881347656,11.06750030517578,10.283332824707031,9.345166015625,3.299999952316284,3.316666841506958,3.2166666984558105,3.375,233781.5847,235789.1028,96260.20296,1484.111111111111,1256.4444444444443,1286.111111111111,1533.0,1285.3333333333333,1367.6666666666667,1277.7777777777778,1.8135960076444892,0.0,0.0,0.0,19.072500228881836,15.664250373840332,16.396251678466797,17.524250030517578,16.773500442504883,15.452250480651855,16.608251571655273,18.362499237060547,18.514999389648438,16.982250213623047,16.930749893188477,16.332500457763672,285.8709677419355,43.60752688172043,22.740065104166668,26.218934895833332,29.9676875,34.01609635416666,57508.26953125,64291.78125,71219.125,78312.5546875,182.8718077956989,204.44283434139786,226.47127016129033,249.02782678091398,8.265832901000977,8.364166259765625,8.335000038146973,8.873332977294922
ET201600000004,ETGE71FL,ET,2016.0,4.0,ET2016DHS,1646.4117431640625,1845.3621826171875,2060.50927734375,30.70833396911621,20.991666793823242,25.700000762939453,17.883333206176758,6.172529220581055,4.129508018493652,5.148581027984619,3.374213933944702,0.0,0.00017985746788140683,0.00017952062070560152,43.6158203125,41.17866821289063,40.91166381835937,42.457666015625,12.316666603088379,12.033333778381348,11.091667175292969,12.008333206176758,7.0,549.8,508.4,587.6,670.4,642.1,611.5,611.1,0.0,0.0,0.0,0.0,16.674603174603174,757.5374755859375,1.0,0.0,0.0,0.30892051553782274,0.39120586980337113,34.62345581054687,33.28883361816406,33.086083984375,34.40816650390625,2.1789713864604003,0.36261119539775544,20.971289579199734,0.004029267048709607,5.805447048611111,0.07025701999664306,0.09058508276939392,0.005803500115871429,0.011497779190540314,0.04125528335571289,0.05472429990768433,0.0029487282037734984,0.0059329338371753694,33.958335876464844,34.0,33.983333587646484,34.79166793823242,27.774999618530273,27.96666717529297,28.40833282470703,28.758333206176758,21.641666412353516,21.96666717529297,22.891666412353516,22.78333282470703,0.0,25.260501098632812,26.3586669921875,25.63109130859375,25.399000549316405,25.260501098632812,26.3586669921875,4.974999904632568,5.083333492279053,4.991666793823242,5.300000190734863,4681.521061,30336.24177,38593.14177,99.9,153.7,182.3,217.8,125.2,204.7,129.8,3.2075489185474537,0.0,0.0,0.0,28.7502498626709,32.46324920654297,24.639999389648438,25.22100067138672,24.48674964904785,33.453250885009766,33.96424865722656,26.699249267578125,31.279998779296875,26.033000946044922,28.539749145507812,31.961997985839844,523.0555555555555,282.3121693121693,0.53401011341023,0.601766375518552,0.6727962853773585,0.7496249874968413,1957.95166015625,2135.572265625,2307.46630859375,2482.90771484375,6.149819025917659,6.707746879133598,7.247695519179894,7.798786789021164,3.5874998569488525,2.882499933242798,3.111666679382324,2.8558332920074463
ET201600000005,ETGE71FL,ET,2016.0,5.0,ET2016DHS,173854.375,198711.875,225556.328125,43.47500228881836,37.32500076293945,52.54999923706055,33.88333511352539,8.37399673461914,7.020376205444336,10.041400909423828,6.179331302642822,0.3476981321970622,0.3593436082204183,0.45989036560058594,35.45181655883789,34.64666748046875,32.84166717529297,35.4566650390625,14.341667175292969,13.758333206176758,12.600000381469727,13.716667175292969,10,1677.0,1570.0,1749.0,1908.0,1929.0,1803.0,1955.0,0.0,0.0,0.0,0.0,66.26666666666667,623.9039306640625,3,0.1405957043170929,0.0,0.19075997134008157,0.23883367016126558,27.203636169433594,26.93000030517578,25.939167022705078,27.668333053588867,18.438541666666666,42.10565185546875,35.76068115234375,0.08825111389160156,19.974934895833332,0.04494293034076691,0.06986353546380997,0.007665405981242657,0.006226091179996729,0.024003634229302406,0.0387093611061573,0.0038493196479976177,0.003167329356074333,33.50833511352539,33.41666793823242,33.25,34.241668701171875,26.33333396911621,26.516666412353516,26.924999237060547,27.358333587646484,19.16666603088379,19.658334732055664,20.649999618530273,20.524999618530273,7.438033807473104,19.036666870117188,19.8799991607666,18.955453872680664,19.213333129882812,19.036666870117188,19.8799991607666,5.191666603088379,5.316666603088379,5.233333587646484,5.483333587646484,128849.5917,118606.1465,158958.7294,636.0,636.0,653.0,546.0,649.0,965.0,343.0,2.3666346232096354,3.0,3.0,3.0,23.05900001525879,22.67099952697754,19.766000747680664,20.51799964904785,19.350000381469727,23.10099983215332,24.885000228881836,22.264999389648438,24.42099952697754,20.451000213623047,22.378999710083008,22.77899932861328,1.7333333333333334,0.0,1493.9790736607142,1722.5343191964287,1968.8203125,2234.79296875,3735.01513671875,4275.4228515625,4849.32958984375,5459.814453125,293.45152994791664,335.9101236979167,381.0006510416667,428.9650390625,4.93916654586792,4.2183332443237305,4.788333415985107,3.9375
ET201600000006,ETGE71FL,ET,2016.0,6.0,ET2016DHS,19044.96875,21767.994140625,24708.6875,120.05000305175781,108.41666412353516,128.83334350585938,113.6500015258789,31.52297592163086,28.03879165649414,33.903507232666016,29.392240524291992,0.0,0.0,1.8768313140431537e-05,29.657677544487846,30.560740152994793,30.182037353515625,30.776109483506943,13.366666793823242,12.800000190734863,12.575000762939453,12.908333778381348,7.0,3086.1111111111113,3045.0,3104.3333333333335,3221.8888888888887,3198.1111111111113,3043.222222222222,3158.8888888888887,0.0,0.0,0.0,0.0,25.303523035230352,650.4805385044643,9.0,0.36608978112538654,0.0,0.21443563918418612,0.26208999676428424,22.31919182671441,23.171573215060764,23.088887532552082,23.26036919487847,23.78268440887534,36.188151041666664,3.6402419175558944,0.006022694957288623,1.3841776033727133,0.12740716934204102,0.07405633926391601,0.014931409557660421,0.009672696391741434,0.07947887579600016,0.03888391256332398,0.007194346686204275,0.004701409737269084,29.191667556762695,29.45833396911621,29.63333511352539,29.700000762939453,22.483333587646484,23.03333282470703,23.316667556762695,23.225000381469727,15.825000762939453,16.65833282470703,17.058334350585938,16.791667938232422,0.0017796921026930412,15.995739407009548,15.744630601671007,14.980707804361979,15.782407972547743,15.995739407009548,15.744630601671007,3.808333396911621,3.866666793823242,3.799999952316284,3.866666793823242,37820.10303,189793.1828,156992.8484,1184.6,1064.3,1224.2,1357.4,1262.3,1308.4,1204.2,2.3474518070376016,0.0,0.0,0.0,23.032333374023438,19.949666341145832,20.257667541503906,22.961334228515625,21.503334045410156,19.73633321126302,20.432666778564453,23.655667622884113,22.088999430338543,18.588666280110676,20.307334899902344,20.148333231608074,412.8130081300813,53.91869918699187,8.896880028370596,10.257963351117887,11.724634516852982,13.308543466294038,9766.8330078125,11419.0859375,13228.890625,15212.849609375,31.22660484417344,36.50919927168022,42.29551998644986,48.63865070291328,7.000833034515381,7.298333168029785,7.820833206176758,8.749166488647461
ET201600000007,ETGE71FL,ET,2016.0,7.0,ET2016DHS,7217.44091796875,8249.380859375,9363.810546875,22.941667556762695,46.18333435058594,35.09166717529297,49.36666488647461,4.987318992614746,9.722806930541992,7.656363487243652,10.196212768554688,1.2557324805077474e-05,3.801581633698409e-05,5.046240866753706e-05,33.99889119466146,34.937038845486114,34.125,35.240926106770836,12.175000190734863,11.40000057220459,10.441666603088379,11.40000057220459,2.0,1639.888888888889,1670.3333333333333,1650.888888888889,1816.3333333333333,1905.3333333333333,1879.4444444444443,2084.777777777778,0.0,0.0,0.0,0.0,16.2972972972973,578.42333984375,5.0,0.0,0.010957127042985107,0.2831725303925813,0.3793245202534493,26.301111857096355,27.428054809570312,27.293426513671875,27.941389295789932,3.9433057831554876,1.9113217072112128,2.386831722931487,0.002118866295026247,0.5924509766948255,0.09667462855577469,0.056920599192380905,0.01356618944555521,0.01907970756292343,0.05514835566282272,0.029057081788778305,0.006629461422562599,0.009558052755892277,30.658334732055664,30.649999618530273,30.40833282470703,31.21666717529297,24.55000114440918,24.916667938232422,25.149999618530273,25.5,18.483333587646484,19.25,19.96666717529297,19.816667556762695,0.0,20.461851331922745,20.64185248480903,18.60333251953125,19.91907416449653,20.461851331922745,20.64185248480903,4.599999904632568,4.75,4.583333492279053,4.8416666984558105,7666.425959,63380.36651,315288.6281,447.0,508.1111111111111,424.44444444444446,297.1111111111111,346.77777777777777,419.0,440.6666666666667,0.7712531361153455,0.0,0.0,0.0,24.18600082397461,21.759498596191406,23.975500106811523,25.67799949645996,25.115751266479492,21.54800033569336,22.222749710083008,25.6875,23.09699821472168,23.331750869750977,23.064498901367188,22.915000915527344,678.3523035230352,189.4308943089431,3.4707097056098384,4.001674107142857,4.5738285198365904,5.191718170906334,5664.9501953125,6542.40771484375,7486.7548828125,8504.3935546875,17.879575817242547,20.648984004488483,23.629509654471544,26.841354907689702,5.724166393280029,7.702499866485596,6.829166412353516,8.201666831970215
ET201600000008,ETGE71FL,ET,2016.0,8.0,ET2016DHS,18533.609375,21183.5234375,24045.2578125,66.16666412353516,53.90833282470703,66.05000305175781,55.00833511352539,14.153297424316406,11.270034790039062,14.1788911819458,11.150337219238281,0.00019583191461623853,0.00020800417016266258,0.0002729277701894189,35.094183349609374,33.25050048828125,31.501666259765624,34.6635009765625,16.933334350585938,16.34166717529297,15.191666603088379,16.308334350585938,7.0,1781.7,1680.0,1865.4,1956.7,2202.7,2108.5,2220.4,0.8633333444595337,0.47749999165534973,0.08916666358709335,0.19999998807907104,26.528301886792452,621.5008370535714,6.0,0.0,0.0,0.2716560119452387,0.35031976071377025,25.2516357421875,24.343833923339844,23.45366668701172,25.488916015625,3.1442848061615565,0.0555802316999821,1.616458532945165,0.001653189768367058,1.3894776706746967,0.03908140957355499,0.05724800378084183,0.006619511172175407,0.004732816014438868,0.021552737802267075,0.03139065206050873,0.003340083407238126,0.002410321030765772,28.53333282470703,28.450000762939453,28.17500114440918,29.241666793823242,20.041667938232422,20.25,20.55000114440918,21.066667556762695,11.600000381469727,12.108333587646484,12.983333587646484,12.933333396911621,0.019362813471781894,15.405667114257813,16.314332580566408,15.409091186523437,15.437165832519531,15.405667114257813,16.314332580566408,4.675000190734863,4.7833333015441895,4.6583333015441895,4.933333396911621,73537.93897,211115.1199,202735.1157,622.8,483.2,622.0,546.4,646.6,818.5,392.5,3.7531748152164757,0.0,0.0,0.0,20.31475067138672,19.956249237060547,17.862749099731445,19.374500274658203,18.26675033569336,19.900249481201172,20.689250946044922,20.140748977661133,20.89350128173828,17.87700080871582,19.131000518798828,19.933000564575195,112.5822102425876,55.474393530997304,5.4054810862061835,6.232434792493386,7.123540323247354,8.085877433655755,34843.5703125,40240.6171875,46049.078125,52308.484375,110.6081746967655,127.74066079851752,146.17917158018867,166.04915978773585,5.747499942779541,4.946666717529297,5.630000114440918,4.610000133514404
ET201600000009,ETGE71FL,ET,2016.0,9.0,ET2016DHS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ET201600000010,ETGE71FL,ET,2016.0,10.0,ET2016DHS,37698.1015625,43088.1328125,48909.0078125,132.4499969482422,114.65833282470703,100.70833587646484,89.84166717529297,38.76585388183594,32.99520492553711,30.137157440185547,25.42688751220703,1.1225233202257865e-05,0.0001551937783443475,0.0010007092658477494,33.423787434895836,33.66222381591797,33.02833557128906,35.17333475748698,15.316666603088379,14.975000381469727,14.050000190734863,14.591667175292969,7.0,1826.5833333333333,1813.3333333333333,1884.3333333333333,1980.75,1955.5,1916.1666666666667,2041.75,1.2024999856948853,0.8433333039283752,0.3191666603088379,0.30833330750465393,39.055851063829785,659.2530517578125,10.0,0.0,0.0,0.25588460297481463,0.3269073981350343,23.853182474772137,24.547500610351562,24.015416463216145,25.780624389648438,79.99200049867021,66.16909075797872,25.99138235538564,0.022912887816733504,28.01782486286569,0.050770112446376255,0.09934721674237933,0.007294214197567531,0.00566361950976508,0.02746918797492981,0.05652691211019244,0.0035870085869516644,0.0028093973440783365,24.441667556762695,24.524999618530273,24.433334350585938,25.0,16.758333206176758,17.008333206176758,17.391666412353516,17.666667938232422,9.125,9.550000190734863,10.383333206176758,10.408333778381348,0.004577543008773722,15.00249989827474,16.387916564941406,14.282574971516928,15.432777404785156,15.00249989827474,16.387916564941406,3.4166667461395264,3.4750001430511475,3.3416666984558105,3.5333333015441895,339428.2802,190022.0008,134440.1036,904.1,891.3,872.1,1143.5,1004.9,1032.1,644.7,8.305242010887634,0.0,0.0,0.0,20.87900161743164,17.476999282836914,18.037250518798828,20.227750778198242,19.066749572753906,17.951749801635742,20.321250915527344,20.57525062561035,20.6927490234375,18.04599952697754,18.535249710083008,18.121000289916992,287.9281914893617,91.90159574468085,14.72886402027027,16.982147381756757,19.410235430743242,22.032413956925677,37912.3671875,42384.53515625,46951.4453125,51627.77734375,119.19456449468085,133.25482047872342,147.61293841422872,162.31511801861703,8.88166618347168,7.9658331871032715,7.949999809265137,6.75333309173584
