DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
MW201700000001,MWGE7IFL,MW,2017.0,1.0,MW2017MIS,27192.14453125,31648.126953125,36985.640625,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,0.00021799646672748384,0.0003751052987007868,0.0006900475611762395,30.294698079427082,31.248611450195312,31.611249287923176,31.01569366455078,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7.0,2617.8333333333335,2659.5833333333335,2776.9166666666665,2795.3333333333335,2978.1666666666665,2826.0833333333335,2883.6666666666665,0.02749999798834324,0.0,0.0,0.0,36.256,733.80029296875,8.0,0.4007903039455414,0.15869553976159345,0.28624627817243203,0.5988686731939438,23.20775095621745,24.195790608723957,24.2117182413737,24.02868143717448,6.115677083333333,31.657833333333333,-1.0,1.3179029947916667,4.078415690104166,0.51817041015625,0.34227194104875835,0.18924520696912492,0.09284919500350952,0.11943251746041435,0.2952252115522112,0.1281244925090245,0.0514647194317409,0.07166397571563721,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.003676193124047819,16.12080256144206,17.14296595255534,16.812183380126953,17.041666666666668,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,817.0541711,91665.88873,74762.14616,1348.8333333333333,953.3333333333334,1053.0833333333333,1141.3333333333333,849.75,949.25,1260.75,1.7650309244791667,0.0,0.0,1.0,20.316999435424805,18.572500228881836,21.251750946044922,21.014751434326172,20.732749938964844,17.62350082397461,17.92300033569336,20.890499114990234,19.061500549316406,22.60125160217285,22.798749923706055,20.95800018310547,247.65333333333334,120.13333333333334,10.1063232421875,11.560054677055481,13.448482411430481,15.712569456049465,21778.779296875,24642.6796875,28279.5625,32426.638671875,68.42477083333333,77.42296875,88.84983333333334,101.87976041666667,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201700000002,MWGE7IFL,MW,2017.0,2.0,MW2017MIS,18927.48828125,21926.68359375,25556.23046875,80.55000305175781,64.25,65.2750015258789,58.53333282470703,24.28643226623535,17.171491622924805,18.69451141357422,16.884614944458008,6.0478977572459444e-05,0.0002592664259748581,0.0004559456346890865,29.291061401367188,30.924723307291668,30.32263692220052,30.362223307291668,11.691666603088379,11.908333778381348,11.666666984558105,11.475000381469727,7.0,2648.8333333333335,2709.1666666666665,2852.3333333333335,2863.5833333333335,3022.0833333333335,2914.4166666666665,2933.1666666666665,0.02749999798834324,0.0,0.0,0.0,37.67204301075269,733.80029296875,8.0,0.05328207711378733,0.19857454459738993,0.2621537844902198,0.7263983609123513,22.836893717447918,24.26104227701823,23.82659657796224,23.893836975097656,0.36568796602714476,50.76225284852547,-1.0,0.41058374154344,4.163475711607742,0.007089223043528703,0.43131993611653646,0.26909732818603516,0.1262700875600179,0.14851045608520508,0.39447034200032555,0.20231808026631673,0.0727698802947998,0.09299108982086182,25.150001525878906,26.066667556762695,25.67500114440918,25.46666717529297,19.275001525878906,20.100000381469727,19.816667556762695,19.700000762939453,13.458333969116211,14.158333778381348,14.008333206176758,13.991666793823242,0.002504747343478551,16.382726033528645,17.597361246744793,17.330556233723957,17.42545445760091,3.316666841506958,3.741666793823242,3.491666793823242,3.4666666984558105,3601.769036,61639.08135,60820.23193,1035.1,731.6,869.4,1012.6,734.6,868.0,983.8,1.476757714320124,1.0,1.0,1.0,20.062666575113933,18.283667246500652,21.170332590738933,20.632667541503906,20.65966796875,17.117332458496094,17.435999552408855,20.78700002034505,18.752999623616535,22.724334716796875,22.805333455403645,20.78566614786784,321.5951742627346,188.4959785522788,7.53874368870512,8.585236245013299,9.945250815533576,11.591395601313165,16636.0546875,19698.888671875,23616.49609375,28207.3515625,52.58902689343164,62.27110212801609,74.6552551105898,89.16764410187668,9.023332595825195,7.7808332443237305,8.260000228881836,7.976666450500488
MW201700000003,MWGE7IFL,MW,2017.0,3.0,MW2017MIS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MW201700000004,MWGE7IFL,MW,2017.0,4.0,MW2017MIS,11829.1923828125,13705.4609375,15974.6435546875,79.16666412353516,67.74166870117188,73.0250015258789,60.741668701171875,22.727272033691406,17.113683700561523,19.692134857177734,16.490949630737305,0.00011808474701416643,0.00015076641229134572,0.00021582575444179246,28.615950150923297,28.65985107421875,28.738786177201703,28.57484852183949,11.083333969116211,11.300000190734863,11.083333969116211,11.02500057220459,7.0,2810.6363636363635,2832.3636363636365,2969.818181818182,3049.5454545454545,3340.4545454545455,3258.6363636363635,3319.5454545454545,0.0,0.0,0.0,0.0,19.775067750677508,794.2575334821429,8.0,0.016907282173633575,0.21000592730403925,0.21502563958017787,0.7070701504230429,22.124461780894887,22.586667147549715,22.5860595703125,22.617727106267754,0.3441128108812415,35.24576469089674,-1.0,0.8817634582519531,3.2919683041779892,0.0050150123627289486,0.26451406478881834,0.20705397923787436,0.16180768013000488,0.16502898534138996,0.2959259033203125,0.20603295962015789,0.14429260889689127,0.15340013504028321,26.875,27.83333396911621,27.483333587646484,27.316667556762695,21.316667556762695,22.15833282470703,21.916667938232422,21.78333282470703,15.791666984558105,16.53333282470703,16.399999618530273,16.291667938232422,0.0009943334612661258,15.63297479802912,16.513485995205965,16.433332963423297,16.660605690696023,3.4833333492279053,3.9583334922790527,3.7083334922790527,3.683333396911621,9333.229082,5199.988998,46857.85443,1178.6,812.9,1043.2,997.9,835.0,1000.1,998.8,2.813806285028872,1.0,1.0,0.0,18.993499755859375,16.30875015258789,20.091249465942383,19.92449951171875,19.81624984741211,15.262749671936035,15.650250434875488,19.763248443603516,17.31224822998047,21.10649871826172,20.762001037597656,18.492250442504883,394.0652173913044,243.70652173913044,4.938932029149866,5.624885805191532,6.517037340389785,7.596041771673387,8828.55859375,10818.1787109375,13422.009765625,16599.68359375,28.3402099609375,34.72701362941576,43.08547044836956,53.28600543478261,7.354166507720947,6.527500152587891,7.464166641235352,6.56749963760376
MW201700000005,MWGE7IFL,MW,2017.0,5.0,MW2017MIS,63178.96484375,73220.828125,85358.0703125,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.03148692759071908,0.05498800975520436,0.06663220103194074,30.262725830078125,29.914998372395832,30.15972391764323,30.20916748046875,10.308333396911621,10.541666984558105,10.333333969116211,10.241666793823242,7.0,3122.1666666666665,3838.1666666666665,3529.5,3429.5,3608.8333333333335,3460.8333333333335,3466.5,0.0,0.0,0.0,0.0,34.38135593220339,733.80029296875,8.0,1.9198150634765625,0.24757049296580114,0.2934565526224681,0.7581002537105578,24.889394124348957,25.624305725097656,25.459444681803387,25.917917887369793,2.505419921875,168.740140625,-1.0,7.84124951171875,16.8202265625,0.3051457824707031,0.3638484875361125,0.2885463039080302,0.19126063585281372,0.22262656688690186,0.31771788994471234,0.22778673966725668,0.125693678855896,0.16003133853276572,29.733333587646484,30.641666412353516,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.0039149035803759955,19.51605987548828,21.33361053466797,20.759165445963543,21.626668294270832,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,7032.106594,45559.45674,2416.824248,1319.8333333333333,878.3333333333334,1170.0,1134.8333333333333,829.3333333333334,1067.3333333333333,1371.1666666666667,0.7698782348632812,1.0,1.0,2.0,24.53466542561849,22.415664672851562,25.857332865397137,25.108665466308594,25.218332926432293,21.403666178385418,21.807998657226562,24.91766611735026,23.242335001627605,26.84666697184245,26.277999877929688,24.358668009440105,270.008,92.748,38.834034356545274,44.23696635088583,51.26374108021653,59.75833538385827,56520.7578125,64186.6953125,73814.515625,84599.7421875,276.9742093373494,314.5416666666667,361.73010793172693,414.5867218875502,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201700000006,MWGE7IFL,MW,2017.0,6.0,MW2017MIS,93340.0546875,108815.203125,127289.0625,72.57500457763672,62.64167022705078,66.35833740234375,57.46666717529297,18.76939582824707,14.624513626098633,16.38477325439453,14.247934341430664,0.00839579181306681,0.01210544443434211,0.02086349049950861,29.88109130859375,30.321832275390626,30.270999145507812,30.47066650390625,10.308333396911621,10.541666984558105,10.333333969116211,10.241666793823242,7.0,3169.8,3645.7,3552.0,3525.4,3742.5,3564.5,3546.8,0.0,0.0,0.0,0.0,31.391304347826086,733.80029296875,8.0,9.07922077178955,0.20341473794210665,0.31885065192939194,0.6770639279959401,24.004454040527342,24.94676513671875,24.940667724609376,25.31287078857422,7.094111328125,224.76895833333333,-1.0,48.442859375,14.299587239583333,0.0003327624003092448,0.336960506439209,0.269744873046875,0.1720259666442871,0.19951375325520834,0.30697387059529624,0.21896928151448566,0.11548841794331868,0.14490804672241211,29.733333587646484,30.641666412353516,30.26666831970215,30.09166717529297,24.55000114440918,25.34166717529297,25.075000762939453,24.95833396911621,19.42500114440918,20.100000381469727,19.933334350585938,19.850000381469727,0.04350537475668251,18.127818298339843,19.571696472167968,19.610333251953126,20.155076599121095,3.866666793823242,4.2833333015441895,4.050000190734863,4.0333333015441895,214.9872311,57045.81982,10210.61594,1530.5833333333333,983.3333333333334,1315.9166666666667,1289.8333333333333,943.5833333333334,1229.1666666666667,1544.8333333333333,0.537515380859375,1.0,1.0,1.0,24.373001098632812,22.201499938964844,25.899250030517578,25.0939998626709,25.197751998901367,21.196250915527344,21.63249969482422,24.814998626708984,23.126251220703125,26.72800064086914,26.166000366210938,24.29024887084961,258.72,56.57333333333333,30.92040754512032,35.42736881684492,41.279338653074866,48.27276905080214,90994.734375,104582.8515625,121636.171875,141051.625,286.00083333333333,328.708625,382.30758333333335,443.3306666666667,7.057499885559082,6.396666526794434,6.945833206176758,6.175833225250244
MW201700000007,MWGE7IFL,MW,2017.0,7.0,MW2017MIS,3197.177734375,3704.29248046875,4317.6044921875,79.16666412353516,67.74166870117188,73.0250015258789,60.741668701171875,22.727272033691406,17.113683700561523,19.692134857177734,16.490949630737305,1.3075933992108212e-05,0.00010723683134287219,0.001836970259871664,27.013818359375,28.495501708984374,28.10050048828125,28.56533203125,11.083333969116211,11.300000190734863,11.083333969116211,11.02500057220459,7.0,2965.5,3069.7,3207.8,3164.1,3495.3,3525.6,3490.6,0.0,0.0,0.0,0.0,14.206989247311828,766.0442057291667,8.0,0.0,0.23405066603333846,0.25671223827306433,0.739668151721191,22.169818115234374,23.394000244140624,23.194667053222656,23.528924560546876,0.5943114082768278,24.053287146226417,-1.0,0.21231967483890668,17.981616408355794,0.0011453130495837436,0.3951786756515503,0.3143576383590698,0.20682859420776367,0.22996941208839417,0.3509538173675537,0.25429567694664,0.13938786089420319,0.16730986535549164,26.875,27.83333396911621,27.483333587646484,27.316667556762695,21.316667556762695,22.15833282470703,21.916667938232422,21.78333282470703,15.791666984558105,16.53333282470703,16.399999618530273,16.291667938232422,0.10038913903341927,17.32581787109375,18.292501831054686,18.288833618164062,18.492515563964844,3.4833333492279053,3.9583334922790527,3.7083334922790527,3.683333396911621,27830.81288,19636.57944,28805.84848,1137.2,806.1,1120.8,1103.7,780.8,1046.1,1190.6,3.64717731321597,1.0,1.0,0.0,21.14725112915039,18.706750869750977,22.48725128173828,21.927501678466797,21.89025115966797,17.570249557495117,17.98149871826172,21.775001525878906,19.631750106811523,23.635997772216797,23.284000396728516,20.903499603271484,346.8409703504043,200.75471698113208,1.2962802714947363,1.476319168859831,1.7104832171128979,1.9936840755553713,2850.64892578125,3412.11181640625,4133.9375,4999.931640625,9.066199618851078,10.85188034345519,13.147579388477089,15.901796243261456,7.354166507720947,6.527500152587891,7.464166641235352,6.56749963760376
MW201700000008,MWGE7IFL,MW,2017.0,8.0,MW2017MIS,26412.9765625,30602.42578125,35669.203125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.027304429938827736,0.03032626621965049,0.03751996634663015,30.05036315917969,30.616998291015626,30.437335205078124,30.848001098632814,-9999,-9999,-9999,-9999,7.0,2664.8,3412.8,3187.4,3068.2,3296.8,3072.4,3133.2,-9999,-9999,-9999,-9999,40.268115942028984,989.2578125,8.0,0.02900535613298416,0.2732463962676315,0.2672653337036335,0.7437890507609847,25.650363159179687,26.15333251953125,26.078167724609376,26.520834350585936,5.203815660978618,234.4636872944079,-1.0,12.876032779091283,11.71240234375,1.0019534261603105,0.3237413962682088,0.28421926498413086,0.23249419530232748,0.23093461990356445,0.2663833101590474,0.21678034464518228,0.1620832880338033,0.1670661966005961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.048875984682086274,21.250363159179688,21.689666748046875,21.71899871826172,22.193666076660158,-9999,-9999,-9999,-9999,33890.07684,17386.74073,0,1170.0,721.0,867.5,906.75,690.0,924.0,881.5,1.3826851091886823,1.0,1.0,1.0,24.54050064086914,22.148998260498047,25.59950065612793,25.12200164794922,25.11349868774414,21.285499572753906,21.60300064086914,24.80699920654297,23.263999938964844,26.84000015258789,26.160999298095703,23.99650001525879,145.875,97.63815789473684,28.104149756493506,32.00750494622565,37.08432046469156,43.224292309253244,21038.609375,25081.154296875,30282.29296875,36431.33984375,188.04635761589404,224.1693398178808,270.66457988410593,325.6307170943709,-9999,-9999,-9999,-9999
MW201700000009,MWGE7IFL,MW,2017.0,9.0,MW2017MIS,26364.28125,30546.0078125,35603.4453125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0006531140702293518,0.001188308478676699,0.0022502165427182447,33.558484395345054,34.14833323160807,33.94861094156901,34.049163818359375,-9999,-9999,-9999,-9999,7.0,2676.8333333333335,3041.8333333333335,3070.6666666666665,2909.5,3161.0,2994.6666666666665,3027.0,-9999,-9999,-9999,-9999,39.06912442396313,989.2578125,8.0,0.07077880203723907,0.269881715857364,0.2689779471068562,0.7540043032189292,26.95697021484375,27.6129150390625,27.496251424153645,27.633875528971355,3.840471972216357,187.3916279560811,-1.0,8.909745499894425,12.684976113809121,0.6853358638179194,0.3269169807434082,0.28291473388671873,0.23535194396972656,0.2476069688796997,0.2660735845565796,0.21412830352783202,0.16244912147521973,0.18211207389831544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.004350976180600206,20.355453491210938,21.07750066121419,21.04388936360677,21.218585968017578,-9999,-9999,-9999,-9999,47201.85808,10988.8717,768.116251,910.3333333333334,635.1666666666666,856.1666666666666,769.8333333333334,617.0,812.6666666666666,818.3333333333334,0.6985167769698409,1.0,1.0,1.0,24.554000854492188,22.18899917602539,25.668498992919922,25.078500747680664,25.040000915527344,21.355998992919922,21.737499237060547,24.80099868774414,23.36949920654297,27.067001342773438,26.375499725341797,24.0989990234375,206.44594594594594,109.36036036036036,19.916517283818493,22.682701912100455,26.280483019406393,30.631684325057076,21479.09765625,25367.548828125,30341.40625,36173.8203125,125.28773970170455,147.9625,176.96225142045455,210.96953125,-9999,-9999,-9999,-9999
MW201700000010,MWGE7IFL,MW,2017.0,10.0,MW2017MIS,15710.36328125,18202.236328125,21215.94140625,132.35000610351562,107.0666732788086,133.1666717529297,94.32499694824219,39.11822509765625,27.27813148498535,35.82959747314453,25.608596801757812,2.3653025563342122e-05,0.0001715374069091992,0.00017119850070712665,25.881602894176137,27.519697709517047,26.59212147105824,27.595908425071023,9.941666603088379,10.216667175292969,10.033333778381348,10.316666603088379,7.0,3587.2727272727275,3558.2727272727275,3624.4545454545455,3710.818181818182,4125.909090909091,4024.0,4024.909090909091,0.0,0.0,0.0,0.0,16.256,782.832421875,8.0,3.960237741470337,0.272548589184356,0.28726735006313786,0.8340167946955713,21.348033558238637,22.498485218394887,22.170604359019887,22.505609685724433,0.013259278615315756,25.641765625,-1.0,0.18815763346354167,0.6461090494791667,0.0021067816416422526,0.3168594042460124,0.231951109568278,0.2923227310180664,0.1877528190612793,0.25338710149129234,0.16791575749715168,0.22097291946411132,0.12555017471313476,28.741666793823242,29.825000762939453,29.55000114440918,29.55000114440918,23.75,24.691667556762695,24.516666412353516,24.358333587646484,18.80000114440918,19.608333587646484,19.516666412353516,19.233333587646484,0.002544441962624616,16.814462835138496,17.477272727272727,17.749090021306817,17.41530817205256,3.383333444595337,3.9250001907348633,3.7166666984558105,3.683333396911621,60573.82481,72032.221,24797.38154,1574.7,1101.0,1122.8,1299.4,840.6,1291.1,1162.4,2.5575257161458333,1.0,1.0,1.0,21.207500457763672,17.751998901367188,22.42449951171875,22.173999786376953,22.28274917602539,16.75374984741211,17.113998413085938,21.92999839782715,19.138750076293945,23.707000732421875,22.85824966430664,19.922250747680664,365.992,55.744,6.614231840093085,7.532875872672872,8.727689702460106,10.172715207363696,14188.39453125,15726.8623046875,17657.091796875,19751.09375,44.89597916666666,49.76410416666667,55.871885416666665,62.49788541666667,9.326666831970215,7.896666526794434,10.598333358764648,7.610833168029785
