DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
NG202100000001,NGGE81FL,NG,2021,1,NG2021MIS,4383.732422,10511.25098,15821.37695,12767.42383,17068.99219,31.70476532,27.99147224,29.04541588,26.01114273,31.53978729,30.63859367,30.3644352,31.60090828,31.52199745,33.14466476,11.17165852,10.3088541,10.53342056,10.73502636,10.66137218,2,177.7929688,0.327676505,0.33382535,0.33703801,0.317944795,0.314935535,0,0,0,0,0,25.46342468,9,0,0.083488956,0.028439585,0.052017465,0.325313836,0.653229475,25.67291451,25.91094971,26.44081116,26.51014519,27.56417465,1.611853004,235.9054565,5.232599735,12.07797527,1.349844694,0.473828971,0.516745329,0.453743666,0.297228575,0.309521854,0.443742067,0.502806425,0.398572624,0.22951746,0.257954568,32.86193466,33.01623154,33.47890472,33.1329422,33.01280594,27.2576828,27.83693504,28.18862915,27.74262238,27.65950584,21.69027901,22.70737839,22.94548607,22.39791679,22.3514328,0.13269937,20.70723534,21.45746613,21.28071404,21.49829292,21.98368645,3.938889027,3.842708349,4.058940887,4.054644108,3.900390625,124.8815613,107.5630646,117.8936234,105.4659271,123.0174942,1416.583618,1140.103882,1297.106934,1158.834351,1183.953491,26.75778389,28.69438362,29.8540535,29.41933823,27.65197182,26.32220078,25.70664215,25.49532509,25.69260406,26.21188736,26.36875343,25.73866081,15.7265625,684.8133545,1960.725586,2477.673584,2193.243896,2805.607178,2609.124268,2942.082031,3331.265625,3770.677734,4232.873047,122.340126,137.952301,156.2008667,176.8046112,198.4766388,7.45495224,7.298984051,7.6941576,7.095559597,7.626614571
NG202100000002,NGGE81FL,NG,2021,2,NG2021MIS,10095.7207,13841.38965,15144.125,17101.57617,20233.40234,29.57318687,26.03556252,27.14944267,24.46333885,29.42814064,30.57234383,29.80843735,30.83022118,30.74842072,32.40991211,11.23951149,10.42633152,10.64655685,10.79234695,10.71814251,2,75.55859375,0.309441417,0.277980357,0.286491036,0.269970864,0.25765729,0,0,0,0,0,42.41391754,9,1.715994954,0.082347713,0.031502347,0.064922161,0.360785425,0.636272967,26.00680351,25.96886444,26.70273209,26.47479439,27.84455109,1.241185308,194.5580444,4.355510235,30.49436188,0.965904951,0.432225466,0.465562969,0.369821161,0.238898233,0.253107041,0.387313306,0.425335735,0.301492184,0.168330833,0.195598289,33.03256607,33.21883774,33.70593262,33.29998779,33.18193054,27.39712143,27.98326111,28.35523796,27.87855911,27.7974968,21.79305649,22.79250526,23.05937386,22.50763893,22.46378899,1.137442708,21.44126129,22.12929344,22.575243,22.20116997,23.27919006,4.037268639,3.93344903,4.141406536,4.133608341,3.986819983,119.3948975,102.4095688,112.436882,101.1218643,117.3246994,1390.734985,1109.318115,1300.583862,1164.236694,1238.713379,26.95433617,29.13861275,30.50847054,29.93428421,28.24980164,26.888937,26.24965858,26.05844688,26.26919365,26.73623848,26.77368546,25.86104584,4.219726563,1641.160278,2298.553955,2677.557617,2618.915527,2982.141846,5978.462402,6741.390625,7633.15332,8640.007813,9699.066406,328.9202271,370.8946533,419.9572449,475.3518677,533.6186523,7.029486179,6.815494537,7.203260899,6.596216679,7.12803793
NG202100000003,NGGE81FL,NG,2021,3,NG2021MIS,34067.72266,44976.21484,55211.96875,55673.69141,66248.6875,36.60194778,32.17216492,33.86014557,29.75795174,35.84780121,30.58959007,30.64971542,31.49087524,31.21448517,31.71892738,10.77452278,9.800607681,10.07686615,10.3227005,10.22248268,NA,173.78125,0.346960783,0.340241671,0.35262084,0.345234215,0.326296687,0,0,0,0,0,56.86565781,9,0,0.069343343,0.026840322,0.033523597,0.270723939,0.449724913,25.75364113,26.29327774,26.3298645,26.57528496,27.10651779,1.003357768,171.3393097,4.127369404,9.800508499,0.9280985,0.355953932,0.419925779,0.43475768,0.271250337,0.27599296,0.297440112,0.364202172,0.378665,0.20468685,0.223645419,32.38342285,32.3781662,32.80789948,32.60833359,32.53763199,26.97065926,27.45468712,27.74639893,27.42066002,27.39509583,21.60889816,22.57756042,22.73103333,22.28563499,22.3151474,3.307264328,20.91769028,21.93684006,21.16885376,21.93608284,22.49410629,3.752864599,3.652430534,3.865668535,3.873003483,3.726866245,137.3621521,117.5065994,130.8921051,115.2526474,133.5999603,1400.874634,1241.707275,1428.72876,1291.520996,1170.159424,26.85332298,28.40238571,29.34932327,29.02603912,27.40692139,26.08502197,25.34440041,25.25433731,25.52937317,26.03700638,26.61147881,26.1959343,2.84375,6143.011719,8715.795898,9801.013672,9965.746094,11425.74121,3744.887695,4222.783203,4781.380371,5412.070313,6075.461426,175.4466248,197.8358612,224.0059357,253.5535278,284.6331482,8.311914444,8.184244156,8.568883896,8.013810158,8.531879425
NG202100000004,NGGE81FL,NG,2021,4,NG2021MIS,4087.095947,5683.123535,6247.22168,9392.799805,9842.410156,41.26464844,36.26529694,38.16825485,33.03498077,40.11928177,29.87529182,29.46423912,30.0423336,28.99618912,29.91113663,10.53797722,9.503559113,9.723134041,10.03563404,9.885850906,NA,96.01171875,0.389702827,0.374128282,0.399481773,0.409309715,0.400224298,0,0,0,0,0,36.61515427,10,0.006429482,0.071941845,0.029593777,0.044857502,0.340545028,0.318970233,25.38016701,25.73517418,25.39442444,25.07140923,26.18575859,0.640904546,305.7070313,3.065320969,4.273467541,0.682094336,0.504899442,0.592708468,0.601644814,0.457713634,0.427885145,0.490390778,0.601788521,0.646987975,0.420882612,0.424077123,32.26449585,32.15307999,32.51501846,32.41875076,32.36028671,26.97309113,27.37656212,27.63068581,27.37309074,27.38823891,21.72651863,22.64952278,22.79188347,22.38311577,22.47443581,0.021028863,20.88504219,22.00611115,20.74651527,21.14662933,22.46038055,3.609635592,3.524652719,3.72183156,3.75824666,3.612717152,148.9503479,127.8225708,142.0558167,124.1536026,144.939621,1655.624023,1491.144653,1762.250122,1388.434937,1400.17627,26.99648476,28.58250809,29.31015587,28.93609428,27.50117302,26.24877357,25.54701042,25.41261101,25.76359558,26.24825478,27.07308578,26.645401,43.01367188,978.2556152,1238.164063,1584.187134,1893.519287,1916.219604,3315.234619,3738.301025,4232.810059,4791.140625,5378.42041,155.1927795,174.9973602,198.1463318,224.2828979,251.7746429,8.98746109,8.872630119,9.26944828,8.747022629,9.237495422
NG202100000005,NGGE81FL,NG,2021,5,NG2021MIS,543.3572388,545.6447144,962.3667603,1112.796753,1346.528076,28.05071831,25.72019386,25.12685204,23.09281731,27.94386673,30.79178047,30.44309044,33.17247009,32.35608292,32.88927078,11.39683151,10.60060787,10.805686,10.95933151,10.88172722,2,100.0361328,0.343723863,0.34452638,0.331056088,0.328460753,0.339118421,0,0,0,0,0,26.39403152,9,0,0.085716441,0.033396352,0.076954901,0.380663812,0.635666013,25.62873077,25.9402771,27.09720612,27.01410103,27.32963562,1.275740981,213.2463684,3.45981741,27.8126812,1.218142629,0.524948776,0.555035651,0.470714837,0.360562503,0.341789335,0.535894156,0.585983992,0.426802486,0.300469041,0.302239895,33.07074738,33.33359528,33.7942276,33.36193848,33.23155594,27.35894203,28.0078125,28.36914063,27.85933113,27.76714516,21.67391586,22.73298645,22.98854256,22.40260506,22.34982681,0,20.46568298,21.43746567,21.02194405,21.67211914,21.77000046,4.11367178,4.015668392,4.236935616,4.206120014,4.074045181,115.3914566,103.2837677,106.4608536,97.13116455,113.844574,1416.43811,1092.604004,1267.207764,1140.022705,1217.590698,26.79138565,28.95181084,30.33881378,29.86795235,28.19701195,26.74694061,26.11852074,25.87602615,26.09585762,26.7022438,26.72256279,25.82995415,45.42480469,115.9535217,122.0843277,244.9370728,230.5421753,269.4868469,1325.758545,1494.942261,1692.695801,1915.971558,2150.823975,62.21305847,70.15223694,79.43209839,89.90962219,100.930397,6.834843636,6.670360088,6.903940678,6.319200993,6.890533924
NG202100000006,NGGE81FL,NG,2021,6,NG2021MIS,654.6268311,773.5264893,993.4231567,1559.081787,1934.19873,34.96463776,30.70528984,32.45428085,28.60995674,34.33494186,30.72316551,30.33716011,30.79657745,30.774189,32.18197632,10.87300396,9.911372185,10.21328163,10.42760468,10.34552956,NA,133.1064453,0.361053228,0.367380381,0.381505042,0.378278822,0.355192631,0,0,0,0,0,24.18008995,9,0,0.077975698,0.029446913,0.039812572,0.303918064,0.524054289,25.50730896,26.01635742,25.89732742,26.10740662,27.11855316,1.166769624,257.7451477,3.15690136,0,0.964546561,0.498825699,0.569532871,0.578491569,0.401634634,0.390666276,0.493447214,0.587727249,0.588868618,0.352464646,0.365599304,32.52127075,32.54010391,32.99296951,32.75642395,32.6792984,27.05729103,27.56371498,27.86063385,27.51683998,27.47408867,21.64826393,22.62873268,22.77968788,22.32882118,22.33376884,0,20.2914505,21.69555473,20.99807739,21.44062424,22.05513,3.814583302,3.718793392,3.921224117,3.926953077,3.783680677,133.3755188,114.1866302,127.2605057,112.3499527,129.9124603,1411.771484,1187.541138,1351.208374,1245.685791,1151.507935,26.91493797,28.49803543,29.4842205,29.1000843,27.42146873,26.06226921,25.32134056,25.24764824,25.49194145,25.97868538,26.45573616,26.10105896,38.64746094,140.5608673,162.719574,211.1472473,303.2722778,363.0379028,1278.578125,1441.740967,1632.457031,1847.786865,2074.281494,59.91754913,67.56378937,76.50125122,86.59217834,97.20631409,8.020677567,7.882517338,8.263033867,7.700603008,8.221445084
NG202100000007,NGGE81FL,NG,2021,7,NG2021MIS,3207.04541,4157.518555,3872.656738,4706.796387,5236.391602,37.2292366,32.80987167,34.5116806,30.23882294,36.83046341,30.30723572,29.98309135,31.04314041,31.16439056,32.33937836,10.91341209,9.996354103,10.1910162,10.47005272,10.38372421,NA,124.7333984,0.343615353,0.342060924,0.343005747,0.332651556,0.321143508,0,0,0,0,0,24.6814518,9,0,0.078302592,0.028108854,0.044479676,0.320720077,0.569251955,25.00714111,25.87092018,25.79181862,26.24139977,27.18920898,1.075716734,329.8195496,4.101203442,7.788238049,0.861418784,0.520279825,0.577133,0.568812072,0.39458257,0.397475392,0.526395738,0.628598988,0.577319503,0.346053272,0.38108173,32.4138031,32.47213364,32.86758041,32.65390396,32.54609299,26.92877579,27.45013046,27.7498703,27.39635468,27.33086014,21.50039101,22.47578239,22.67656136,22.18385506,22.16237068,0.04743335,19.7070446,21.75875092,20.54050064,21.31840897,22.0390377,3.717057228,3.638541698,3.850911617,3.858463526,3.691927195,138.3832092,119.3800735,132.9014435,116.6753922,135.9753876,1500.936646,1278.436279,1416.498047,1272.250244,1203.795898,26.85292435,28.44990349,29.36110115,29.00887108,27.43115425,26.18011284,25.520298,25.41043854,25.64282799,26.19622612,26.61284065,26.20142746,19.46582031,638.6671753,840.3345337,852.8990479,878.2108765,942.6112061,2760.842529,3113.161377,3524.975586,3989.938965,4479.010742,129.3444672,145.8504791,165.1438293,186.9271851,209.8400269,8.481249809,8.413346291,8.813568115,8.270559311,8.771809578
NG202100000008,NGGE81FL,NG,2021,8,NG2021MIS,1963.675537,1757.663452,2017.018921,2369.423096,2707.187988,47.38944244,41.59817886,44.27227402,37.86157608,47.29491043,29.66731071,29.04355049,30.09916687,30.3820076,31.0033474,10.97369862,10.26289082,9.89453125,10.47122383,10.26289082,NA,231.6201172,0.357809097,0.35351786,0.365257293,0.359009713,0.343509108,0,0,0,0,0,21.41580963,10,0,0.069421463,0.020982595,0.151460961,0.372449934,0.365319341,25.01811409,24.86472511,25.49300385,25.78752899,26.51938248,0.688905358,187.9458923,2.459058762,24.96359444,0.524793804,0.479349226,0.587433457,0.484894961,0.279669285,0.34436354,0.444236696,0.661342323,0.443968117,0.217775315,0.313957572,31.12790871,31.34014893,31.37304688,31.31653595,31.15486145,25.60972214,26.17447853,26.39835167,26.05863762,25.98919296,20.15420914,21.07725716,21.47851563,20.84531212,20.89197159,0,20.36891747,20.68589783,20.88684082,21.19304848,22.03541756,3.32421875,3.361632109,3.465104103,3.520486116,3.345659733,157.5328522,139.8377686,153.4080353,133.291153,158.2326813,2404.095947,2096.325439,2286.827148,2012.056396,2059.050293,26.5139904,27.75411415,28.34044456,28.08945465,26.94919777,25.85230255,24.9024601,24.96702957,25.27567101,25.80610466,26.34943962,25.88703156,33.18261719,354.640686,352.1239624,469.0457458,438.237793,483.1009521,1525.18042,1719.812988,1947.312866,2204.173828,2474.353027,71.38442993,80.49399567,91.14188385,103.1639862,115.8094254,11.10590267,11.20622349,12.55158424,11.01235199,11.62074184
NG202100000009,NGGE81FL,NG,2021,9,NG2021MIS,6252.913086,17784.83789,16263.94824,27840.17188,36565.35938,32.57530212,29.1087265,30.15405846,26.24258804,32.85145569,30.00436974,31.29187012,32.22185898,32.56220627,32.9675293,11.31364346,10.51760674,10.60957813,10.83813667,10.84042263,2,174.2861328,0.320771128,0.323793918,0.317431599,0.314246356,0.304074794,0,0,0,0,0,33.81003952,9,0,0.061460178,0.026791198,0.067010142,0.279374123,0.477220684,25.26692009,26.55282784,26.94627571,26.97050095,27.9200058,1.426360011,211.6168518,9.055968285,277.7758179,1.493696332,0.494203657,0.530307949,0.407015979,0.263617516,0.315212339,0.46542871,0.532834589,0.344680905,0.195999756,0.271085709,32.67504501,32.92323303,33.23768997,32.91749191,32.83589554,26.99116135,27.63955498,27.91054726,27.47304726,27.38981438,21.3614006,22.4056282,22.62811089,22.07935524,21.99547195,0.179702431,20.52947235,21.81378555,21.67069244,21.37879562,22.8724823,3.861241341,3.81210947,3.999493599,4.007335186,3.859968185,125.781105,110.9656525,120.6009674,105.1628494,126.8055725,1489.047119,1260.074463,1381.436523,1154.311768,1287.237915,26.83471489,28.55966949,29.6867733,29.43620491,27.98122978,26.70174408,25.80449295,25.64633369,25.90582657,26.68690681,26.85475159,26.16964531,2.466796875,1593.465332,3745.397705,5207.308105,5423.048828,6874.358887,2247.100586,2533.859375,2869.042725,3247.484863,3645.549072,105.3549271,118.7995605,134.5145721,152.2577667,170.9209442,8.159565926,8.087622643,8.797421455,7.801696777,8.432452202
NG202100000010,NGGE81FL,NG,2021,10,NG2021MIS,3964.739746,4933.668945,4828.429688,4364.091309,4664.958496,40.35060501,35.49134445,37.35036087,32.4855957,39.55877304,29.2679081,30.37880325,30.74407196,29.21825027,30.93473816,10.72877693,9.918229103,9.906033516,10.25599003,10.08971405,NA,67.39257813,0.37742272,0.355836958,0.358077943,0.400248945,0.357315511,0,0,0,0,0,24.79119492,10,0,0.072437361,0.030611008,0.040002886,0.342212766,0.424659729,24.43571663,26.4030571,25.96429062,25.33249283,26.67644119,0.52668649,314.4251099,2.461287737,33.51921844,0.50684762,0.51726526,0.590267062,0.60141325,0.450527996,0.426245838,0.512290061,0.617914021,0.639490187,0.413101882,0.422344565,32.34001923,32.37473679,32.63224792,32.51796722,32.41953278,26.94917679,27.38962746,27.65690231,27.36753464,27.34431458,21.61124229,22.45651054,22.72621536,22.26198006,22.32981873,0,19.60352135,22.42731094,21.18450737,21.44673729,22.41814232,3.633463621,3.554513931,3.75308156,3.777126789,3.624392509,146.6124573,126.1544724,140.1789551,122.7022171,143.3765259,1618.104858,1455.894775,1625.58313,1340.646729,1245.813843,27.12199211,28.57464218,29.43411255,28.98622513,27.53033447,26.33867455,25.58204842,25.48217583,25.79038811,26.31834793,26.93927574,26.59396935,22.56152344,860.6817627,1045.058228,981.8043823,854.7208252,882.3734741,4431.486328,4997.000977,5658.012695,6404.335449,7189.354492,207.5013275,233.9811554,264.9325867,299.8786316,336.6366272,8.942500114,8.858545303,9.231397629,8.725950241,9.224005699
