lat,lon,GLDAS_NOAH10_M_2_1_AvgSurfT_inst
-54.5,-71.5,278.54202
-54.5,-70.5,278.04517
-54.5,-69.5,274.98807
-54.5,-68.5,276.36078
-54.5,-67.5,276.99194
-54.5,-66.5,277.3014
-53.5,-72.5,276.6075
-53.5,-71.5,278.39966
-53.5,-69.5,277.76608
-53.5,-68.5,279.1919
-52.5,-73.5,277.97617
-52.5,-72.5,277.23746
-52.5,-71.5,278.28186
-52.5,-70.5,279.25546
-52.5,-69.5,279.63284
-51.5,-73.5,276.46292
-51.5,-72.5,277.37332
-51.5,-71.5,279.4049
-51.5,-70.5,280.11404
-51.5,-69.5,281.0889
-51.5,-58.5,280.82886
-50.5,-74.5,278.7649
-50.5,-73.5,272.02933
-50.5,-72.5,277.16687
-50.5,-71.5,279.78912
-50.5,-70.5,280.95782
-50.5,-69.5,282.01367
-49.5,-74.5,277.46457
-49.5,-73.5,270.46063
-49.5,-72.5,275.3245
-49.5,-71.5,278.82358
-49.5,-70.5,280.84116
-49.5,-69.5,282.76257
-49.5,-68.5,283.22598
-48.5,-74.5,277.9466
-48.5,-73.5,272.9175
-48.5,-72.5,275.25723
-48.5,-71.5,278.88467
-48.5,-70.5,280.2779
-48.5,-69.5,281.88068
-48.5,-68.5,283.80725
-48.5,-67.5,284.65158
-47.5,-73.5,274.0223
-47.5,-72.5,275.08847
-47.5,-71.5,276.13004
-47.5,-70.5,280.96506
-47.5,-69.5,281.02463
-47.5,-68.5,283.8257
-47.5,-67.5,285.72018
-47.5,-66.5,285.7068
-46.5,-74.5,281.28067
-46.5,-73.5,273.93192
-46.5,-72.5,277.4438
-46.5,-71.5,275.78268
-46.5,-70.5,281.463
-46.5,-69.5,283.55875
-46.5,-68.5,284.7301
-46.5,-67.5,285.6403
-46.5,168.5,282.33032
-46.5,169.5,282.59607
-45.5,-73.5,279.2443
-45.5,-72.5,276.25635
-45.5,-71.5,278.82806
-45.5,-70.5,282.4695
-45.5,-69.5,284.82526
-45.5,-68.5,284.39032
-45.5,-67.5,286.49847
-45.5,167.5,280.1153
-45.5,168.5,280.23077
-45.5,169.5,281.62015
-45.5,170.5,282.43253
-44.5,-72.5,278.41544
-44.5,-71.5,277.2626
-44.5,-70.5,281.71555
-44.5,-69.5,283.76395
-44.5,-68.5,286.6496
-44.5,-67.5,286.5396
-44.5,-66.5,287.68298
-44.5,-65.5,287.27393
-44.5,168.5,282.12753
-44.5,169.5,280.43604
-44.5,170.5,282.7003
-43.5,-72.5,279.94495
-43.5,-71.5,276.49844
-43.5,-70.5,281.60303
-43.5,-69.5,284.62616
-43.5,-68.5,286.14236
-43.5,-67.5,288.10562
-43.5,-66.5,288.81833
-43.5,-65.5,288.83008
-43.5,146.5,284.34586
-43.5,170.5,282.82526
-43.5,171.5,281.9237
-43.5,172.5,282.29947
-42.5,-73.5,283.16037
-42.5,-72.5,279.90833
-42.5,-71.5,277.63977
-42.5,-70.5,282.10947
-42.5,-69.5,282.93134
-42.5,-68.5,281.6038
-42.5,-67.5,286.95837
-42.5,-66.5,289.56046
-42.5,-65.5,289.80942
-42.5,145.5,284.05472
-42.5,146.5,281.73618
-42.5,147.5,284.54584
-42.5,171.5,281.14944
-42.5,172.5,282.08722
-42.5,173.5,281.52966
-41.5,-73.5,283.2146
-41.5,-72.5,281.46466
-41.5,-71.5,278.55865
-41.5,-70.5,282.1446
-41.5,-69.5,283.0678
-41.5,-68.5,283.9392
-41.5,-67.5,285.5882
-41.5,-66.5,288.01135
-41.5,-65.5,289.79684
-41.5,145.5,284.35898
-41.5,146.5,282.03415
-41.5,147.5,285.66803
-41.5,172.5,283.6178
-41.5,173.5,282.83716
-40.5,-73.5,283.72443
-40.5,-72.5,281.43024
-40.5,-71.5,280.46176
-40.5,-70.5,283.52097
-40.5,-69.5,285.10956
-40.5,-68.5,286.09396
-40.5,-67.5,288.34613
-40.5,-66.5,289.91547
-40.5,-65.5,291.0707
-40.5,-64.5,291.26263
-40.5,-63.5,290.77002
-40.5,-62.5,289.90292
-40.5,175.5,284.33017
-40.5,176.5,285.10333
-39.5,-72.5,282.45135
-39.5,-71.5,280.17136
-39.5,-70.5,283.84198
-39.5,-69.5,287.12753
-39.5,-68.5,289.03003
-39.5,-67.5,290.352
-39.5,-66.5,291.67627
-39.5,-65.5,291.6148
-39.5,-64.5,291.7627
-39.5,-63.5,291.31415
-39.5,-62.5,290.49014
-39.5,174.5,285.41046
-39.5,175.5,283.81717
-39.5,176.5,283.18588
-38.5,-72.5,283.94995
-38.5,-71.5,281.10425
-38.5,-70.5,281.6907
-38.5,-69.5,288.55524
-38.5,-68.5,290.4485
-38.5,-67.5,291.6247
-38.5,-66.5,291.968
-38.5,-65.5,291.77713
-38.5,-64.5,291.44278
-38.5,-63.5,290.48618
-38.5,-62.5,289.55783
-38.5,-61.5,288.76202
-38.5,-60.5,288.32245
-38.5,-59.5,287.936
-38.5,-58.5,287.59662
-38.5,143.5,287.27588
-38.5,145.5,287.74615
-38.5,146.5,287.18808
-38.5,175.5,285.24503
-38.5,176.5,284.07095
-38.5,177.5,285.81635
-37.5,-73.5,285.16205
-37.5,-72.5,285.2792
