lat,lon,GLDAS_NOAH10_M_2_1_CanopInt_inst
-54.5,-71.5,0.257563
-54.5,-70.5,0.22809166
-54.5,-69.5,0.19035707
-54.5,-68.5,0.2606969
-54.5,-67.5,0.25196505
-54.5,-66.5,0.22645861
-53.5,-72.5,0.3503416
-53.5,-71.5,0.27585074
-53.5,-69.5,0.18398474
-53.5,-68.5,0.1481426
-52.5,-73.5,0.34691525
-52.5,-72.5,0.319902
-52.5,-71.5,0.22052662
-52.5,-70.5,0.17370479
-52.5,-69.5,0.15238287
-51.5,-73.5,0.26687887
-51.5,-72.5,0.29998052
-51.5,-71.5,0.18954621
-51.5,-70.5,0.13333331
-51.5,-69.5,0.12340366
-51.5,-58.5,0.13710438
-50.5,-74.5,0.28899
-50.5,-73.5,0.099245295
-50.5,-72.5,0.2857995
-50.5,-71.5,0.18864706
-50.5,-70.5,0.123121485
-50.5,-69.5,0.101071164
-49.5,-74.5,0.32589084
-49.5,-73.5,0.0
-49.5,-72.5,0.2882868
-49.5,-71.5,0.15458657
-49.5,-70.5,0.113358825
-49.5,-69.5,0.06877825
-49.5,-68.5,0.05348344
-48.5,-74.5,0.29811302
-48.5,-73.5,0.09248192
-48.5,-72.5,0.20918608
-48.5,-71.5,0.16597313
-48.5,-70.5,0.08896863
-48.5,-69.5,0.05118435
-48.5,-68.5,0.03860314
-48.5,-67.5,0.047551986
-47.5,-73.5,0.20471123
-47.5,-72.5,0.2502999
-47.5,-71.5,0.21331865
-47.5,-70.5,0.10973643
-47.5,-69.5,0.07928469
-47.5,-68.5,0.04678464
-47.5,-67.5,0.024658663
-47.5,-66.5,0.027408538
-46.5,-74.5,0.25491384
-46.5,-73.5,0.18809095
-46.5,-72.5,0.22159733
-46.5,-71.5,0.21617281
-46.5,-70.5,0.10912972
-46.5,-69.5,0.07257656
-46.5,-68.5,0.0408802
-46.5,-67.5,0.053834103
-46.5,168.5,0.16736846
-46.5,169.5,0.15654354
-45.5,-73.5,0.2843379
-45.5,-72.5,0.29631478
-45.5,-71.5,0.19732432
-45.5,-70.5,0.12581375
-45.5,-69.5,0.084873475
-45.5,-68.5,0.052521694
-45.5,-67.5,0.038419902
-45.5,167.5,0.20822793
-45.5,168.5,0.18575431
-45.5,169.5,0.16421673
-45.5,170.5,0.15262523
-44.5,-72.5,0.28322613
-44.5,-71.5,0.25183856
-44.5,-70.5,0.17111051
-44.5,-69.5,0.10218155
-44.5,-68.5,0.0447829
-44.5,-67.5,0.026215179
-44.5,-66.5,0.01849923
-44.5,-65.5,0.033008486
-44.5,168.5,0.18716979
-44.5,169.5,0.19580455
-44.5,170.5,0.16385165
-43.5,-72.5,0.26055413
-43.5,-71.5,0.2552989
-43.5,-70.5,0.19558728
-43.5,-69.5,0.12297862
-43.5,-68.5,0.055699438
-43.5,-67.5,0.046721205
-43.5,-66.5,0.028922753
-43.5,-65.5,0.033460964
-43.5,146.5,0.13024998
-43.5,170.5,0.17655651
-43.5,171.5,0.16192947
-43.5,172.5,0.15737443
-42.5,-73.5,0.21036434
-42.5,-72.5,0.23232494
-42.5,-71.5,0.24737272
-42.5,-70.5,0.19588928
-42.5,-69.5,0.13292092
-42.5,-68.5,0.06335842
-42.5,-67.5,0.039513726
-42.5,-66.5,0.03147869
-42.5,-65.5,0.025017198
-42.5,145.5,0.13016696
-42.5,146.5,0.13518365
-42.5,147.5,0.11725825
-42.5,171.5,0.17802009
-42.5,172.5,0.14875452
-42.5,173.5,0.15559119
-41.5,-73.5,0.20207673
-41.5,-72.5,0.21886332
-41.5,-71.5,0.22407529
-41.5,-70.5,0.17736237
-41.5,-69.5,0.14315361
-41.5,-68.5,0.08049929
-41.5,-67.5,0.05057586
-41.5,-66.5,0.031627655
-41.5,-65.5,0.037033383
-41.5,145.5,0.12648772
-41.5,146.5,0.11627028
-41.5,147.5,0.100865744
-41.5,172.5,0.15206762
-41.5,173.5,0.14059143
-40.5,-73.5,0.17811395
-40.5,-72.5,0.19682218
-40.5,-71.5,0.18373479
-40.5,-70.5,0.1532945
-40.5,-69.5,0.11190224
-40.5,-68.5,0.06051429
-40.5,-67.5,0.046745718
-40.5,-66.5,0.037773713
-40.5,-65.5,0.034719158
-40.5,-64.5,0.040169377
-40.5,-63.5,0.039484665
-40.5,-62.5,0.049719635
-40.5,175.5,0.15772252
-40.5,176.5,0.13837647
-39.5,-72.5,0.15461367
-39.5,-71.5,0.15408194
-39.5,-70.5,0.11579629
-39.5,-69.5,0.10043488
-39.5,-68.5,0.048513833
-39.5,-67.5,0.041533396
-39.5,-66.5,0.03210101
-39.5,-65.5,0.03503308
-39.5,-64.5,0.036525287
-39.5,-63.5,0.040074065
-39.5,-62.5,0.045736544
-39.5,174.5,0.1326338
-39.5,175.5,0.13075927
-39.5,176.5,0.1316874
-38.5,-72.5,0.12678318
-38.5,-71.5,0.12929466
-38.5,-70.5,0.12815776
-38.5,-69.5,0.101664
-38.5,-68.5,0.068164594
-38.5,-67.5,0.04937918
-38.5,-66.5,0.03767677
-38.5,-65.5,0.03644713
-38.5,-64.5,0.039807886
-38.5,-63.5,0.04493211
-38.5,-62.5,0.05603973
-38.5,-61.5,0.06450635
-38.5,-60.5,0.07348381
-38.5,-59.5,0.07689863
-38.5,-58.5,0.07958844
-38.5,143.5,0.07666871
-38.5,145.5,0.075039424
-38.5,146.5,0.08819317
-38.5,175.5,0.13105367
-38.5,176.5,0.1270629
-38.5,177.5,0.12367549
-37.5,-73.5,0.0985941
-37.5,-72.5,0.10578269
-37.5,-71.5,0.10356731
-37.5,-70.5,0.10051471
-37.5,-69.5,0.11003284
-37.5,-68.5,0.07926295
-37.5,-67.5,0.053725358
-37.5,-66.5,0.04540904
-37.5,-65.5,0.04586395
-37.5,-64.5,0.048353508
-37.5,-63.5,0.051604815
-37.5,-62.5,0.06264112
-37.5,-61.5,0.068738975
-37.5,-60.5,0.07282318
-37.5,-59.5,0.07896965
-37.5,-58.5,0.081798844
-37.5,-57.5,0.08588106
-37.5,140.5,0.068881415
-37.5,141.5,0.07344354
-37.5,142.5,0.06962947
-37.5,143.5,0.072040856
-37.5,144.5,0.073963635
-37.5,145.5,0.08637582
-37.5,146.5,0.08696015
-37.5,147.5,0.09126127
-37.5,148.5,0.090149246
-37.5,149.5,0.08720147
-37.5,175.5,0.12918691
-36.5,-72.5,0.0881798
-36.5,-71.5,0.089529015
-36.5,-70.5,0.11436297
-36.5,-69.5,0.09663135
-36.5,-68.5,0.08349567
-36.5,-67.5,0.053979352
-36.5,-66.5,0.046909224
-36.5,-65.5,0.04984574
-36.5,-64.5,0.05488923
-36.5,-63.5,0.059968956
-36.5,-62.5,0.062809266
-36.5,-61.5,0.066707075
-36.5,-60.5,0.07351596
-36.5,-59.5,0.07849524
-36.5,-58.5,0.07955857
-36.5,-57.5,0.08464006
-36.5,140.5,0.058600083
-36.5,141.5,0.049444046
-36.5,142.5,0.05080806
-36.5,143.5,0.051446714
-36.5,144.5,0.06327191
-36.5,145.5,0.07315784
-36.5,146.5,0.08418409
-36.5,147.5,0.086792774
-36.5,148.5,0.090939105
-36.5,149.5,0.09109664
-36.5,174.5,0.091777876
-35.5,-71.5,0.07960275
-35.5,-70.5,0.073181815
-35.5,-69.5,0.082786776
-35.5,-68.5,0.052801635
-35.5,-67.5,0.047636457
-35.5,-66.5,0.04381872
-35.5,-65.5,0.050276916
-35.5,-64.5,0.054691404
-35.5,-63.5,0.058208503
-35.5,-62.5,0.06106969
-35.5,-61.5,0.0671495
-35.5,-60.5,0.072841495
-35.5,-59.5,0.079478934
-35.5,-58.5,0.07876584
-35.5,-57.5,0.07867368
-35.5,139.5,0.044472504
-35.5,140.5,0.039557498
-35.5,141.5,0.036366276
-35.5,142.5,0.03721279
-35.5,143.5,0.039874114
-35.5,144.5,0.044897508
-35.5,145.5,0.051925838
-35.5,146.5,0.064738534
-35.5,147.5,0.07682421
-35.5,148.5,0.07653779
-35.5,149.5,0.08349634
