lat,lon,GLDAS_NOAH10_M_2_1_Evap_tavg
-54.5,-71.5,1.4884977E-5
-54.5,-70.5,9.90916E-6
-54.5,-69.5,7.3277033E-6
-54.5,-68.5,1.130241E-5
-54.5,-67.5,1.4661262E-5
-54.5,-66.5,1.7014572E-5
-53.5,-72.5,1.0560531E-5
-53.5,-71.5,1.4689191E-5
-53.5,-69.5,1.7328417E-5
-53.5,-68.5,1.6045451E-5
-52.5,-73.5,1.2318236E-5
-52.5,-72.5,1.2932746E-5
-52.5,-71.5,1.795103E-5
-52.5,-70.5,1.7175002E-5
-52.5,-69.5,1.665851E-5
-51.5,-73.5,9.340806E-6
-51.5,-72.5,1.4454428E-5
-51.5,-71.5,1.683297E-5
-51.5,-70.5,1.5038811E-5
-51.5,-69.5,1.5755306E-5
-51.5,-58.5,1.8787214E-5
-50.5,-74.5,1.52504135E-5
-50.5,-73.5,2.6741436E-6
-50.5,-72.5,1.2836453E-5
-50.5,-71.5,1.5732847E-5
-50.5,-70.5,1.4679684E-5
-50.5,-69.5,1.5259151E-5
-49.5,-74.5,1.0672682E-5
-49.5,-73.5,2.7769853E-10
-49.5,-72.5,1.116091E-5
-49.5,-71.5,1.4359437E-5
-49.5,-70.5,1.4527261E-5
-49.5,-69.5,1.2807997E-5
-49.5,-68.5,1.1978571E-5
-48.5,-74.5,1.1122071E-5
-48.5,-73.5,2.7057881E-6
-48.5,-72.5,9.367026E-6
-48.5,-71.5,1.50439E-5
-48.5,-70.5,1.4842216E-5
-48.5,-69.5,1.2663382E-5
-48.5,-68.5,1.1292162E-5
-48.5,-67.5,1.2543767E-5
-47.5,-73.5,6.9329626E-6
-47.5,-72.5,9.515054E-6
-47.5,-71.5,1.2977853E-5
-47.5,-70.5,1.3218956E-5
-47.5,-69.5,1.1424668E-5
-47.5,-68.5,1.11848985E-5
-47.5,-67.5,9.928718E-6
-47.5,-66.5,9.8487035E-6
-46.5,-74.5,1.7150656E-5
-46.5,-73.5,6.503469E-6
-46.5,-72.5,1.1229331E-5
-46.5,-71.5,1.18216585E-5
-46.5,-70.5,1.4431042E-5
-46.5,-69.5,1.289145E-5
-46.5,-68.5,1.1318691E-5
-46.5,-67.5,1.3708143E-5
-46.5,168.5,2.3724639E-5
-46.5,169.5,2.306815E-5
-45.5,-73.5,1.4264325E-5
-45.5,-72.5,1.2386518E-5
-45.5,-71.5,1.5153962E-5
-45.5,-70.5,1.7022798E-5
-45.5,-69.5,1.6166481E-5
-45.5,-68.5,1.2045495E-5
-45.5,-67.5,1.1862452E-5
-45.5,167.5,2.0854144E-5
-45.5,168.5,1.9198258E-5
-45.5,169.5,2.0297795E-5
-45.5,170.5,2.3428205E-5
-44.5,-72.5,1.379405E-5
-44.5,-71.5,1.2472095E-5
-44.5,-70.5,1.603309E-5
-44.5,-69.5,1.44096275E-5
-44.5,-68.5,1.0925504E-5
-44.5,-67.5,9.384914E-6
-44.5,-66.5,7.827547E-6
-44.5,-65.5,1.1967433E-5
-44.5,168.5,1.8952052E-5
-44.5,169.5,1.9166237E-5
-44.5,170.5,2.2164486E-5
-43.5,-72.5,1.7653358E-5
-43.5,-71.5,1.646658E-5
-43.5,-70.5,1.6854516E-5
-43.5,-69.5,1.701335E-5
-43.5,-68.5,1.1742577E-5
-43.5,-67.5,1.125218E-5
-43.5,-66.5,9.457843E-6
-43.5,-65.5,1.1765434E-5
-43.5,146.5,2.5967665E-5
-43.5,170.5,1.7563569E-5
-43.5,171.5,2.0594987E-5
-43.5,172.5,2.5309164E-5
-42.5,-73.5,2.4765948E-5
-42.5,-72.5,2.0379613E-5
-42.5,-71.5,1.6273032E-5
-42.5,-70.5,1.459522E-5
-42.5,-69.5,1.6642338E-5
-42.5,-68.5,1.1207666E-5
-42.5,-67.5,1.17638665E-5
-42.5,-66.5,1.1087947E-5
-42.5,-65.5,1.0835071E-5
-42.5,145.5,2.4482237E-5
-42.5,146.5,2.1255028E-5
-42.5,147.5,2.0219539E-5
-42.5,171.5,2.0391795E-5
-42.5,172.5,2.01006E-5
-42.5,173.5,1.8783045E-5
-41.5,-73.5,2.525065E-5
-41.5,-72.5,2.1778784E-5
-41.5,-71.5,1.7227223E-5
-41.5,-70.5,1.7434211E-5
-41.5,-69.5,1.592377E-5
-41.5,-68.5,1.10576575E-5
-41.5,-67.5,1.0659354E-5
-41.5,-66.5,1.0359858E-5
-41.5,-65.5,1.3485427E-5
-41.5,145.5,2.346748E-5
-41.5,146.5,2.1784705E-5
-41.5,147.5,2.0106698E-5
-41.5,172.5,2.3289218E-5
-41.5,173.5,2.3145967E-5
-40.5,-73.5,2.5803305E-5
-40.5,-72.5,2.1637776E-5
-40.5,-71.5,1.9152843E-5
-40.5,-70.5,1.407144E-5
-40.5,-69.5,1.6743474E-5
-40.5,-68.5,1.2594838E-5
-40.5,-67.5,1.3145024E-5
-40.5,-66.5,1.2194586E-5
-40.5,-65.5,1.2688692E-5
-40.5,-64.5,1.4519942E-5
-40.5,-63.5,1.4402485E-5
-40.5,-62.5,1.7862701E-5
-40.5,175.5,2.6870122E-5
-40.5,176.5,2.802175E-5
-39.5,-72.5,2.2173843E-5
-39.5,-71.5,1.7493432E-5
-39.5,-70.5,1.3956482E-5
-39.5,-69.5,1.3793262E-5
-39.5,-68.5,1.3578376E-5
-39.5,-67.5,1.3163357E-5
-39.5,-66.5,1.1330794E-5
-39.5,-65.5,1.2331443E-5
-39.5,-64.5,1.4093194E-5
-39.5,-63.5,1.648092E-5
-39.5,-62.5,1.9299341E-5
-39.5,174.5,2.8535624E-5
-39.5,175.5,2.5708125E-5
-39.5,176.5,2.8759538E-5
-38.5,-72.5,2.0128107E-5
-38.5,-71.5,1.6284928E-5
-38.5,-70.5,1.289356E-5
-38.5,-69.5,1.3658739E-5
-38.5,-68.5,1.47338305E-5
-38.5,-67.5,1.4614057E-5
-38.5,-66.5,1.3373234E-5
-38.5,-65.5,1.4435681E-5
-38.5,-64.5,1.7451297E-5
-38.5,-63.5,2.0117219E-5
-38.5,-62.5,2.3160803E-5
-38.5,-61.5,2.5418412E-5
-38.5,-60.5,2.7663718E-5
-38.5,-59.5,2.9824954E-5
-38.5,-58.5,3.1317366E-5
-38.5,143.5,2.164443E-5
-38.5,145.5,2.6253918E-5
-38.5,146.5,2.680164E-5
-38.5,175.5,2.6434629E-5
-38.5,176.5,2.7325346E-5
-38.5,177.5,2.9096014E-5
-37.5,-73.5,2.3025157E-5
-37.5,-72.5,2.281302E-5
-37.5,-71.5,1.7173139E-5
-37.5,-70.5,1.1155403E-5
-37.5,-69.5,1.3212143E-5
-37.5,-68.5,1.5017371E-5
-37.5,-67.5,1.4663954E-5
-37.5,-66.5,1.6351067E-5
-37.5,-65.5,1.7832555E-5
-37.5,-64.5,2.0919015E-5
-37.5,-63.5,2.324252E-5
-37.5,-62.5,2.5523994E-5
-37.5,-61.5,2.7394282E-5
-37.5,-60.5,2.9374009E-5
-37.5,-59.5,3.1410647E-5
-37.5,-58.5,3.201048E-5
-37.5,-57.5,3.4339588E-5
-37.5,140.5,1.8265124E-5
-37.5,141.5,1.7377659E-5
-37.5,142.5,1.7986293E-5
-37.5,143.5,1.826354E-5
-37.5,144.5,1.9976816E-5
-37.5,145.5,2.3811393E-5
-37.5,146.5,2.571322E-5
-37.5,147.5,2.7025097E-5
-37.5,148.5,2.8843437E-5
-37.5,149.5,2.9457835E-5
-37.5,175.5,2.7082795E-5
-36.5,-72.5,1.8900017E-5
-36.5,-71.5,1.7650902E-5
-36.5,-70.5,1.019269E-5
-36.5,-69.5,1.4940995E-5
-36.5,-68.5,1.7263876E-5
-36.5,-67.5,1.7152099E-5
-36.5,-66.5,1.7162729E-5
-36.5,-65.5,2.012588E-5
-36.5,-64.5,2.3444933E-5
-36.5,-63.5,2.6343618E-5
-36.5,-62.5,2.7762819E-5
-36.5,-61.5,2.921467E-5
-36.5,-60.5,3.0845826E-5
-36.5,-59.5,3.18448E-5
-36.5,-58.5,3.2425392E-5
-36.5,-57.5,3.3020584E-5
-36.5,140.5,1.5824822E-5
-36.5,141.5,1.5069974E-5
-36.5,142.5,1.587488E-5
-36.5,143.5,1.46354305E-5
-36.5,144.5,1.6781274E-5
-36.5,145.5,1.8907083E-5
-36.5,146.5,2.1577027E-5
-36.5,147.5,2.3219889E-5
-36.5,148.5,2.5364225E-5
-36.5,149.5,2.6426613E-5
-36.5,174.5,2.8021777E-5
-35.5,-71.5,1.5956326E-5
-35.5,-70.5,1.0736194E-5
-35.5,-69.5,1.3319612E-5
-35.5,-68.5,1.4494052E-5
-35.5,-67.5,1.6193035E-5
-35.5,-66.5,1.7588307E-5
-35.5,-65.5,2.1425125E-5
-35.5,-64.5,2.5389592E-5
-35.5,-63.5,2.7615342E-5
-35.5,-62.5,2.8215385E-5
-35.5,-61.5,3.1852425E-5
-35.5,-60.5,3.3619486E-5
-35.5,-59.5,3.4864355E-5
-35.5,-58.5,3.4266643E-5
-35.5,-57.5,3.596719E-5
-35.5,139.5,1.482437E-5
-35.5,140.5,1.28990005E-5
-35.5,141.5,1.2271218E-5
-35.5,142.5,1.30926E-5
-35.5,143.5,1.33943195E-5
-35.5,144.5,1.48427835E-5
-35.5,145.5,1.6790818E-5
-35.5,146.5,1.9301046E-5
-35.5,147.5,2.0228996E-5
-35.5,148.5,2.183237E-5
-35.5,149.5,2.2235155E-5
-35.5,173.5,2.9462493E-5
-34.5,-71.5,1.1949077E-5
-34.5,-70.5,1.2821144E-5
-34.5,-69.5,1.1305358E-5
-34.5,-68.5,1.3131695E-5
-34.5,-67.5,1.5724716E-5
-34.5,-66.5,1.8407587E-5
-34.5,-65.5,2.120768E-5
-34.5,-64.5,2.5573247E-5
-34.5,-63.5,2.8610404E-5
-34.5,-62.5,2.916191E-5
-34.5,-61.5,3.251062E-5
-34.5,-60.5,3.2795688E-5
-34.5,-59.5,3.473422E-5
-34.5,-58.5,2.0054573E-5
-34.5,-56.5,3.5097884E-5
-34.5,-55.5,3.527912E-5
-34.5,-54.5,3.4876604E-5
-34.5,19.5,1.4081459E-5
-34.5,20.5,1.3785664E-5
-34.5,116.5,2.0897405E-5
-34.5,117.5,1.7607586E-5
-34.5,118.5,1.6481306E-5
-34.5,135.5,1.29417385E-5
-34.5,138.5,1.1916794E-5
-34.5,139.5,1.1980762E-5
-34.5,140.5,1.083961E-5
-34.5,141.5,1.0132414E-5
-34.5,142.5,1.0772589E-5
-34.5,143.5,1.10457595E-5
-34.5,144.5,1.2643859E-5
