lat,lon,GLDAS_NOAH10_M_2_1_Tair_f_inst
-54.5,-71.5,278.79095
-54.5,-70.5,278.88507
-54.5,-69.5,276.3645
-54.5,-68.5,276.9709
-54.5,-67.5,277.41345
-54.5,-66.5,277.50595
-53.5,-72.5,277.0245
-53.5,-71.5,278.6931
-53.5,-69.5,277.93045
-53.5,-68.5,279.27136
-52.5,-73.5,278.2833
-52.5,-72.5,277.9176
-52.5,-71.5,278.59146
-52.5,-70.5,279.4811
-52.5,-69.5,279.71136
-51.5,-74.5,279.64648
-51.5,-73.5,277.71738
-51.5,-72.5,278.67715
-51.5,-71.5,279.72476
-51.5,-70.5,280.25232
-51.5,-69.5,281.16696
-51.5,-58.5,280.22293
-50.5,-74.5,278.86722
-50.5,-73.5,275.05807
-50.5,-72.5,278.05878
-50.5,-71.5,279.86365
-50.5,-70.5,280.77896
-50.5,-69.5,281.722
-49.5,-74.5,277.2228
-49.5,-73.5,274.59988
-49.5,-72.5,276.4631
-49.5,-71.5,278.46704
-49.5,-70.5,280.59552
-49.5,-69.5,282.3177
-49.5,-68.5,282.74777
-49.5,69.5,276.7904
-48.5,-75.5,281.11795
-48.5,-74.5,277.5599
-48.5,-73.5,276.3417
-48.5,-72.5,275.53616
-48.5,-71.5,278.33133
-48.5,-70.5,279.83633
-48.5,-69.5,280.85712
-48.5,-68.5,283.0517
-48.5,-67.5,283.9038
-47.5,-73.5,276.10028
-47.5,-72.5,275.6295
-47.5,-71.5,275.8802
-47.5,-70.5,280.02298
-47.5,-69.5,279.7412
-47.5,-68.5,283.00577
-47.5,-67.5,284.6626
-47.5,-66.5,284.60263
-46.5,-74.5,281.18277
-46.5,-73.5,276.276
-46.5,-72.5,277.362
-46.5,-71.5,275.4664
-46.5,-70.5,280.55988
-46.5,-69.5,282.47617
-46.5,-68.5,283.93408
-46.5,-67.5,284.5779
-46.5,168.5,282.92517
-46.5,169.5,283.0114
-45.5,-74.5,281.9729
-45.5,-73.5,279.7911
-45.5,-72.5,276.44705
-45.5,-71.5,278.2153
-45.5,-70.5,281.97644
-45.5,-69.5,284.00864
-45.5,-68.5,283.5269
-45.5,-67.5,285.46646
-45.5,167.5,279.45502
-45.5,168.5,279.8571
-45.5,169.5,281.38528
-45.5,170.5,282.37003
-44.5,-73.5,281.67856
-44.5,-72.5,278.46136
-44.5,-71.5,276.98074
-44.5,-70.5,281.09302
-44.5,-69.5,282.83267
-44.5,-68.5,285.7133
-44.5,-67.5,285.61172
-44.5,-66.5,286.52356
-44.5,-65.5,286.0972
-44.5,168.5,281.36746
-44.5,169.5,279.7289
-44.5,170.5,282.38428
-43.5,-72.5,279.97147
-43.5,-71.5,276.9733
-43.5,-70.5,280.94644
-43.5,-69.5,283.75583
-43.5,-68.5,285.2559
-43.5,-67.5,287.43155
-43.5,-66.5,287.78412
-43.5,-65.5,287.86398
-43.5,146.5,284.0973
-43.5,170.5,281.7791
-43.5,171.5,281.30182
-43.5,172.5,282.84842
-42.5,-73.5,283.82278
-42.5,-72.5,279.5814
-42.5,-71.5,278.16904
-42.5,-70.5,281.38593
-42.5,-69.5,281.78384
-42.5,-68.5,280.11172
-42.5,-67.5,285.54752
-42.5,-66.5,288.51193
-42.5,-65.5,288.67816
-42.5,145.5,283.77667
-42.5,146.5,281.35062
-42.5,147.5,284.18088
-42.5,171.5,280.91278
-42.5,172.5,280.93726
-42.5,173.5,280.95102
-41.5,-73.5,283.69513
-41.5,-72.5,281.8742
-41.5,-71.5,278.4334
-41.5,-70.5,281.13425
-41.5,-69.5,281.84186
-41.5,-68.5,282.49435
-41.5,-67.5,283.9955
-41.5,-66.5,286.3842
-41.5,-65.5,288.67935
-41.5,145.5,284.05762
-41.5,146.5,281.42624
-41.5,147.5,285.04462
-41.5,172.5,283.31274
-41.5,173.5,282.55844
-40.5,-73.5,283.86902
-40.5,-72.5,281.9832
-40.5,-71.5,279.9175
-40.5,-70.5,282.54105
-40.5,-69.5,283.82492
-40.5,-68.5,284.46317
-40.5,-67.5,287.0446
-40.5,-66.5,288.80292
-40.5,-65.5,289.96365
-40.5,-64.5,290.13217
-40.5,-63.5,289.7026
-40.5,-62.5,289.12967
-40.5,175.5,284.39484
-40.5,176.5,285.43478
-39.5,-72.5,283.00995
-39.5,-71.5,279.6565
-39.5,-70.5,282.63574
-39.5,-69.5,285.97403
-39.5,-68.5,287.8611
-39.5,-67.5,289.3798
-39.5,-66.5,290.58838
-39.5,-65.5,290.49234
-39.5,-64.5,290.58612
-39.5,-63.5,290.3342
-39.5,-62.5,289.82205
-39.5,174.5,285.84335
-39.5,175.5,283.75537
-39.5,176.5,283.06802
-38.5,-72.5,284.1265
-38.5,-71.5,280.06726
-38.5,-70.5,280.43716
-38.5,-69.5,287.5119
-38.5,-68.5,289.73297
-38.5,-67.5,290.65533
-38.5,-66.5,290.7886
-38.5,-65.5,290.62708
-38.5,-64.5,290.53876
-38.5,-63.5,289.90182
-38.5,-62.5,289.14822
-38.5,-61.5,288.42294
-38.5,-60.5,288.06354
-38.5,-59.5,287.77975
-38.5,-58.5,287.53616
-38.5,143.5,287.02393
-38.5,145.5,287.67477
-38.5,146.5,287.3274
-38.5,175.5,285.60147
-38.5,176.5,284.10318
-38.5,177.5,285.67676
-37.5,-73.5,284.38354
-37.5,-72.5,285.29947
-37.5,-71.5,281.718
-37.5,-70.5,281.8047
-37.5,-69.5,287.1868
-37.5,-68.5,288.6793
-37.5,-67.5,290.85034
-37.5,-66.5,291.02322
-37.5,-65.5,290.2794
-37.5,-64.5,289.8932
-37.5,-63.5,289.5219
-37.5,-62.5,288.18448
-37.5,-61.5,287.45877
-37.5,-60.5,287.66156
-37.5,-59.5,287.5204
-37.5,-58.5,287.44415
-37.5,-57.5,287.92148
-37.5,140.5,287.54236
-37.5,141.5,287.12848
-37.5,142.5,286.7346
-37.5,143.5,286.8086
-37.5,144.5,287.08917
-37.5,145.5,286.22977
-37.5,146.5,285.1231
-37.5,147.5,285.15778
-37.5,148.5,285.58655
-37.5,149.5,287.03314
-37.5,175.5,286.18094
-36.5,-72.5,286.34442
-36.5,-71.5,284.0678
-36.5,-70.5,279.80276
-36.5,-69.5,284.1749
-36.5,-68.5,287.13077
-36.5,-67.5,290.80392
-36.5,-66.5,291.3519
-36.5,-65.5,290.31448
-36.5,-64.5,290.11588
-36.5,-63.5,289.74377
-36.5,-62.5,289.39743
-36.5,-61.5,288.83746
-36.5,-60.5,288.50406
-36.5,-59.5,288.3986
-36.5,-58.5,288.52335
-36.5,-57.5,288.71585
-36.5,140.5,288.43384
-36.5,141.5,288.651
-36.5,142.5,288.92245
-36.5,143.5,288.76184
-36.5,144.5,288.25558
-36.5,145.5,287.86273
-36.5,146.5,286.08292
-36.5,147.5,284.054
-36.5,148.5,283.65164
-36.5,149.5,286.03796
-36.5,174.5,289.2192
-35.5,-71.5,285.8376
-35.5,-70.5,280.31964
-35.5,-69.5,281.88895
-35.5,-68.5,289.64755
-35.5,-67.5,291.057
-35.5,-66.5,291.60986
-35.5,-65.5,290.70978
-35.5,-64.5,290.26694
-35.5,-63.5,290.14038
-35.5,-62.5,290.06006
-35.5,-61.5,289.52307
-35.5,-60.5,289.39062
-35.5,-59.5,289.44638
-35.5,-58.5,289.31577
-35.5,-57.5,289.74863
-35.5,139.5,289.51163
-35.5,140.5,289.82202
-35.5,141.5,290.0206
-35.5,142.5,290.49783
-35.5,143.5,290.3789
-35.5,144.5,290.2414
-35.5,145.5,290.03046
-35.5,146.5,289.67264
-35.5,147.5,287.6309
-35.5,148.5,285.62918
-35.5,149.5,286.13028
-35.5,173.5,288.73804
-34.5,-71.5,287.76978
-34.5,-70.5,282.2895
-34.5,-69.5,281.1678
-34.5,-68.5,288.13303
-34.5,-67.5,291.94965
-34.5,-66.5,292.2798
-34.5,-65.5,290.94135
-34.5,-64.5,290.8436
-34.5,-63.5,290.6271
-34.5,-62.5,290.40097
-34.5,-61.5,290.04135
-34.5,-60.5,290.08664
-34.5,-59.5,290.02213
-34.5,-58.5,290.62106
-34.5,-56.5,289.7849
-34.5,-55.5,289.1522
-34.5,-54.5,289.74942
-34.5,19.5,288.82562
-34.5,20.5,289.4741
-34.5,116.5,288.11563
-34.5,117.5,288.16943
-34.5,118.5,288.6149
-34.5,135.5,290.00833
-34.5,138.5,289.27115
-34.5,139.5,290.1182
-34.5,140.5,291.16074
-34.5,141.5,291.48785
-34.5,142.5,291.39636
-34.5,143.5,291.64157
-34.5,144.5,291.6437
-34.5,145.5,291.22266
-34.5,146.5,290.5745
-34.5,147.5,289.31696
-34.5,148.5,287.18634
-34.5,149.5,287.27097
-34.5,150.5,288.99976
-33.5,-71.5,286.93134
-33.5,-70.5,279.78925
-33.5,-69.5,278.1532
-33.5,-68.5,290.79788
-33.5,-67.5,292.42572
-33.5,-66.5,290.59036
-33.5,-65.5,289.81375
-33.5,-64.5,290.49625
-33.5,-63.5,291.00845
-33.5,-62.5,290.97464
-33.5,-61.5,290.839
-33.5,-60.5,290.89795
-33.5,-59.5,290.96152
-33.5,-58.5,290.88712
-33.5,-57.5,290.2353
-33.5,-56.5,290.00934
-33.5,-55.5,289.5188
-33.5,-54.5,289.64987
-33.5,-53.5,290.99832
-33.5,18.5,290.53635
-33.5,19.5,289.26233
-33.5,20.5,289.71228
-33.5,21.5,290.89246
-33.5,22.5,289.53546
-33.5,23.5,290.35727
-33.5,24.5,290.2242
-33.5,25.5,290.0954
-33.5,26.5,290.66962
-33.5,115.5,289.8282
-33.5,116.5,289.00177
-33.5,117.5,289.09305
-33.5,118.5,289.15427
-33.5,119.5,289.27084
-33.5,120.5,289.55368
-33.5,121.5,289.8002
-33.5,122.5,289.9251
-33.5,123.5,290.27765
-33.5,135.5,291.11865
-33.5,136.5,290.93707
-33.5,138.5,289.79608
-33.5,139.5,291.01675
-33.5,140.5,292.22018
-33.5,141.5,292.5459
-33.5,142.5,292.29315
-33.5,143.5,292.4706
-33.5,144.5,292.51572
-33.5,145.5,291.62918
-33.5,146.5,291.20667
-33.5,147.5,290.0288
-33.5,148.5,288.06485
-33.5,149.5,286.41296
-33.5,150.5,288.3466
-32.5,-70.5,279.18048
-32.5,-69.5,277.01053
-32.5,-68.5,290.23898
-32.5,-67.5,292.93915
-32.5,-66.5,290.92593
-32.5,-65.5,289.8918
-32.5,-64.5,289.14886
-32.5,-63.5,291.27118
-32.5,-62.5,291.5818
-32.5,-61.5,291.58047
-32.5,-60.5,291.64502
-32.5,-59.5,291.26224
