lat,lon,GLDAS_NOAH10_M_2_1_Rainf_f_tavg
-54.5,-71.5,2.921639E-5
-54.5,-70.5,2.1028802E-5
-54.5,-69.5,1.678076E-5
-54.5,-68.5,1.4908551E-5
-54.5,-67.5,1.8067314E-5
-54.5,-66.5,2.3871753E-5
-53.5,-72.5,3.4601308E-5
-53.5,-71.5,2.717015E-5
-53.5,-69.5,1.9477679E-5
-53.5,-68.5,1.7002205E-5
-52.5,-73.5,4.375395E-5
-52.5,-72.5,3.4081804E-5
-52.5,-71.5,2.4808633E-5
-52.5,-70.5,2.1238371E-5
-52.5,-69.5,1.9008634E-5
-51.5,-74.5,4.1279513E-5
-51.5,-73.5,3.561136E-5
-51.5,-72.5,2.8282386E-5
-51.5,-71.5,1.8931847E-5
-51.5,-70.5,1.5801561E-5
-51.5,-69.5,1.6628383E-5
-51.5,-58.5,2.2082764E-5
-50.5,-74.5,3.6821995E-5
-50.5,-73.5,3.0137853E-5
-50.5,-72.5,2.4092917E-5
-50.5,-71.5,1.7759585E-5
-50.5,-70.5,1.535048E-5
-50.5,-69.5,1.6084583E-5
-49.5,-74.5,2.916169E-5
-49.5,-73.5,2.4287669E-5
-49.5,-72.5,2.1154989E-5
-49.5,-71.5,1.7201653E-5
-49.5,-70.5,1.5338974E-5
-49.5,-69.5,1.3307956E-5
-49.5,-68.5,1.24332855E-5
-49.5,69.5,2.8227856E-5
-48.5,-75.5,3.1876767E-5
-48.5,-74.5,2.5117393E-5
-48.5,-73.5,2.3600585E-5
-48.5,-72.5,2.017068E-5
-48.5,-71.5,1.7142154E-5
-48.5,-70.5,1.5614745E-5
-48.5,-69.5,1.3076667E-5
-48.5,-68.5,1.1624873E-5
-48.5,-67.5,1.2872074E-5
-47.5,-73.5,2.7946215E-5
-47.5,-72.5,2.083055E-5
-47.5,-71.5,1.6326052E-5
-47.5,-70.5,1.4357376E-5
-47.5,-69.5,1.2741189E-5
-47.5,-68.5,1.1594742E-5
-47.5,-67.5,1.0065334E-5
-47.5,-66.5,9.966938E-6
-46.5,-74.5,3.496966E-5
-46.5,-73.5,3.0253334E-5
-46.5,-72.5,2.3613691E-5
-46.5,-71.5,1.9685167E-5
