lat,lon,GLDAS_NOAH10_M_2_1_SoilMoi10_40cm_inst
-54.5,-71.5,80.23846
-54.5,-70.5,103.87543
-54.5,-69.5,141.6748
-54.5,-68.5,81.83409
-54.5,-67.5,79.52836
-54.5,-66.5,78.88729
-53.5,-72.5,89.032616
-53.5,-71.5,79.3417
-53.5,-69.5,74.797485
-53.5,-68.5,65.31853
-52.5,-73.5,85.49202
-52.5,-72.5,87.19212
-52.5,-71.5,81.03039
-52.5,-70.5,74.60804
-52.5,-69.5,71.29182
-51.5,-73.5,128.90439
-51.5,-72.5,92.27088
-51.5,-71.5,79.94645
-51.5,-70.5,74.56105
-51.5,-69.5,73.90329
-51.5,-58.5,77.073235
-50.5,-74.5,82.563255
-50.5,-73.5,240.62161
-50.5,-72.5,92.9842
-50.5,-71.5,82.71398
-50.5,-70.5,75.36894
-50.5,-69.5,73.73841
-49.5,-74.5,85.29494
-49.5,-73.5,300.0
-49.5,-72.5,91.50738
-49.5,-71.5,80.93319
-49.5,-70.5,78.20824
-49.5,-69.5,71.36559
-49.5,-68.5,69.17301
-48.5,-74.5,82.18904
-48.5,-73.5,232.13458
-48.5,-72.5,93.74091
-48.5,-71.5,82.73545
-48.5,-70.5,75.949295
-48.5,-69.5,68.97135
-48.5,-68.5,66.939575
-48.5,-67.5,69.58795
-47.5,-73.5,164.62645
-47.5,-72.5,93.270515
-47.5,-71.5,89.06963
-47.5,-70.5,79.07216
-47.5,-69.5,72.11827
-47.5,-68.5,67.76094
-47.5,-67.5,63.549854
-47.5,-66.5,63.54553
-46.5,-74.5,82.23735
-46.5,-73.5,168.21758
-46.5,-72.5,91.39381
-46.5,-71.5,87.96292
-46.5,-70.5,78.71846
-46.5,-69.5,73.70336
-46.5,-68.5,67.60869
-46.5,-67.5,68.356766
-46.5,168.5,86.37186
-46.5,169.5,81.662964
-45.5,-73.5,89.14075
-45.5,-72.5,95.89339
-45.5,-71.5,82.94588
-45.5,-70.5,78.95749
-45.5,-69.5,75.54041
-45.5,-68.5,71.927635
-45.5,-67.5,66.98566
-45.5,167.5,81.62683
-45.5,168.5,82.54769
-45.5,169.5,78.053955
-45.5,170.5,78.19774
-44.5,-72.5,88.00614
-44.5,-71.5,91.28854
-44.5,-70.5,73.31949
-44.5,-69.5,73.21343
-44.5,-68.5,71.09979
-44.5,-67.5,67.14214
-44.5,-66.5,59.019405
-44.5,-65.5,64.42891
-44.5,168.5,82.73805
-44.5,169.5,85.74292
-44.5,170.5,82.181175
-43.5,-72.5,87.567535
-43.5,-71.5,109.36598
-43.5,-70.5,80.678116
-43.5,-69.5,79.01705
-43.5,-68.5,73.99394
-43.5,-67.5,72.48052
-43.5,-66.5,68.16778
-43.5,-65.5,65.127
-43.5,146.5,78.43544
-43.5,170.5,81.64912
-43.5,171.5,76.29286
-43.5,172.5,86.406136
-42.5,-73.5,92.025635
-42.5,-72.5,86.31821
-42.5,-71.5,105.97131
-42.5,-70.5,77.13017
-42.5,-69.5,80.373665
-42.5,-68.5,72.99352
-42.5,-67.5,70.51939
-42.5,-66.5,67.2853
-42.5,-65.5,63.66584
-42.5,145.5,77.35875
-42.5,146.5,74.77756
-42.5,147.5,73.26799
-42.5,171.5,83.46321
-42.5,172.5,75.2065
-42.5,173.5,79.50405
-41.5,-73.5,87.65975
-41.5,-72.5,82.10197
-41.5,-71.5,84.09176
-41.5,-70.5,82.28962
-41.5,-69.5,80.509674
-41.5,-68.5,70.969894
-41.5,-67.5,68.165184
-41.5,-66.5,63.620144
-41.5,-65.5,66.62402
-41.5,145.5,75.97931
-41.5,146.5,79.18496
-41.5,147.5,65.98348
-41.5,172.5,77.662895
-41.5,173.5,75.21986
-40.5,-73.5,94.366295
-40.5,-72.5,76.680275
-40.5,-71.5,76.42346
-40.5,-70.5,71.681114
-40.5,-69.5,79.04219
-40.5,-68.5,71.01029
-40.5,-67.5,71.10224
-40.5,-66.5,68.22086
-40.5,-65.5,85.35565
-40.5,-64.5,62.628727
-40.5,-63.5,58.8169
-40.5,-62.5,54.397533
-40.5,175.5,83.95154
-40.5,176.5,84.95002
-39.5,-72.5,78.20489
-39.5,-71.5,70.57256
-39.5,-70.5,69.74906
-39.5,-69.5,72.27585
-39.5,-68.5,73.75421
-39.5,-67.5,70.587234
-39.5,-66.5,63.46327
-39.5,-65.5,63.469982
-39.5,-64.5,62.786617
-39.5,-63.5,57.842773
-39.5,-62.5,51.250484
-39.5,174.5,86.57664
-39.5,175.5,83.22659
-39.5,176.5,84.916405
-38.5,-72.5,73.445404
-38.5,-71.5,65.60396
-38.5,-70.5,71.999306
-38.5,-69.5,71.7927
-38.5,-68.5,72.0837
-38.5,-67.5,71.61016
-38.5,-66.5,66.900536
-38.5,-65.5,78.84096
-38.5,-64.5,54.58593
-38.5,-63.5,48.20209
-38.5,-62.5,55.230957
-38.5,-61.5,61.029106
-38.5,-60.5,62.867104
-38.5,-59.5,65.52505
-38.5,-58.5,67.73698
-38.5,143.5,63.095703
-38.5,145.5,69.629715
-38.5,146.5,74.70879
-38.5,175.5,66.83654
-38.5,176.5,79.36401
-38.5,177.5,77.18665
-37.5,-73.5,64.67149
-37.5,-72.5,63.642246
-37.5,-71.5,62.358727
-37.5,-70.5,67.06979
-37.5,-69.5,71.98753
-37.5,-68.5,74.32244
-37.5,-67.5,67.03666
-37.5,-66.5,66.02378
-37.5,-65.5,61.23403
-37.5,-64.5,53.49774
-37.5,-63.5,47.5913
-37.5,-62.5,55.937397
-37.5,-61.5,56.76456
-37.5,-60.5,74.91404
-37.5,-59.5,78.90431
-37.5,-58.5,77.62969
-37.5,-57.5,83.45963
-37.5,140.5,49.782867
-37.5,141.5,49.931408
-37.5,142.5,52.12829
-37.5,143.5,54.129646
-37.5,144.5,65.22578
-37.5,145.5,71.10977
-37.5,146.5,69.28353
-37.5,147.5,74.17104
-37.5,148.5,74.505486
-37.5,149.5,73.40818
-37.5,175.5,80.929405
-36.5,-72.5,56.3851
-36.5,-71.5,59.294144
-36.5,-70.5,68.80644
-36.5,-69.5,75.053085
-36.5,-68.5,75.293106
-36.5,-67.5,66.488846
-36.5,-66.5,54.935463
-36.5,-65.5,56.04102
-36.5,-64.5,48.060932
-36.5,-63.5,47.77965
-36.5,-62.5,49.404232
-36.5,-61.5,69.76879
-36.5,-60.5,74.83051
-36.5,-59.5,76.974236
-36.5,-58.5,77.68339
-36.5,-57.5,78.06575
-36.5,140.5,45.405354
-36.5,141.5,51.089584
-36.5,142.5,65.77414
-36.5,143.5,48.982235
-36.5,144.5,50.488476
-36.5,145.5,54.91744
-36.5,146.5,63.235542
-36.5,147.5,84.410774
-36.5,148.5,89.70748
-36.5,149.5,75.12145
-36.5,174.5,79.13585
-35.5,-71.5,73.2094
-35.5,-70.5,71.87803
-35.5,-69.5,90.76828
-35.5,-68.5,69.10131
-35.5,-67.5,62.038643
-35.5,-66.5,55.613605
-35.5,-65.5,51.66395
-35.5,-64.5,46.80162
-35.5,-63.5,46.530895
-35.5,-62.5,74.47825
-35.5,-61.5,59.91358
-35.5,-60.5,64.172165
-35.5,-59.5,80.53014
-35.5,-58.5,64.25494
-35.5,-57.5,81.83118
-35.5,139.5,49.939278
-35.5,140.5,50.175213
-35.5,141.5,52.71857
-35.5,142.5,47.89566
-35.5,143.5,45.30153
-35.5,144.5,60.950935
-35.5,145.5,54.78367
-35.5,146.5,56.66034
-35.5,147.5,57.938892
-35.5,148.5,62.80503
-35.5,149.5,73.01336
-35.5,173.5,76.324776
-34.5,-71.5,64.00043
-34.5,-70.5,70.162796
-34.5,-69.5,67.33187
-34.5,-68.5,61.21425
-34.5,-67.5,55.35276
-34.5,-66.5,55.147213
-34.5,-65.5,55.3112
-34.5,-64.5,42.791485
-34.5,-63.5,49.873737
-34.5,-62.5,74.58607
-34.5,-61.5,58.86695
-34.5,-60.5,81.8202
-34.5,-59.5,85.89807
-34.5,-58.5,104.15575
-34.5,-56.5,95.29311
-34.5,-55.5,99.60198
-34.5,-54.5,72.63293
-34.5,19.5,48.372807
-34.5,20.5,51.743893
-34.5,116.5,61.638813
-34.5,117.5,54.91061
-34.5,118.5,52.20492
-34.5,135.5,39.75818
-34.5,138.5,41.660454
-34.5,139.5,53.078857
-34.5,140.5,51.36584
-34.5,141.5,52.363792
-34.5,142.5,54.43636
-34.5,143.5,68.419044
-34.5,144.5,76.90309
-34.5,145.5,58.695457
-34.5,146.5,51.37866
-34.5,147.5,49.206783
-34.5,148.5,52.139015
-34.5,149.5,61.406845
-34.5,150.5,69.77574
-33.5,-71.5,61.204815
-33.5,-70.5,97.053246
-33.5,-69.5,66.73387
-33.5,-68.5,53.721615
-33.5,-67.5,58.792374
-33.5,-66.5,59.470722
-33.5,-65.5,80.70456
-33.5,-64.5,45.91007
-33.5,-63.5,53.9004
-33.5,-62.5,55.764027
-33.5,-61.5,78.643684
-33.5,-60.5,82.71813
-33.5,-59.5,87.26445
-33.5,-58.5,93.20118
-33.5,-57.5,95.40062
-33.5,-56.5,98.00563
-33.5,-55.5,79.833305
-33.5,-54.5,79.42456
-33.5,-53.5,85.830154
-33.5,18.5,36.878895
-33.5,19.5,52.695473
-33.5,20.5,59.17838
-33.5,21.5,59.226578
-33.5,22.5,56.68563
-33.5,23.5,54.524437
-33.5,24.5,56.84706
-33.5,25.5,53.27454
-33.5,26.5,51.37421
-33.5,115.5,51.195663
-33.5,116.5,55.090446
-33.5,117.5,61.33327
-33.5,118.5,58.29941
-33.5,119.5,52.832764
-33.5,120.5,51.642044
-33.5,121.5,48.29566
-33.5,122.5,44.64013
-33.5,123.5,50.606438
-33.5,135.5,42.390884
-33.5,136.5,39.265656
-33.5,138.5,39.214325
-33.5,139.5,59.669193
-33.5,140.5,52.01645
-33.5,141.5,55.08688
-33.5,142.5,56.76229
-33.5,143.5,57.751183
-33.5,144.5,72.80746
-33.5,145.5,57.71354
-33.5,146.5,47.461174
-33.5,147.5,48.617035
-33.5,148.5,53.910587
-33.5,149.5,58.537857
-33.5,150.5,62.270164
-32.5,-70.5,71.982285
-32.5,-69.5,61.366657
-32.5,-68.5,74.74106
-32.5,-67.5,58.615112
-32.5,-66.5,54.009705
-32.5,-65.5,58.369705
-32.5,-64.5,50.28755
-32.5,-63.5,52.82909
-32.5,-62.5,55.844963
-32.5,-61.5,78.1154
-32.5,-60.5,79.66069
-32.5,-59.5,89.207245
-32.5,-58.5,94.63496
-32.5,-57.5,100.38799
-32.5,-56.5,100.98157
-32.5,-55.5,80.74827
-32.5,-54.5,80.78283
-32.5,-53.5,84.04999
-32.5,18.5,41.731388
-32.5,19.5,57.891068
-32.5,20.5,56.196075
-32.5,21.5,65.03731
-32.5,22.5,65.25142
-32.5,23.5,62.7864
-32.5,24.5,62.603592
-32.5,25.5,59.948982
-32.5,26.5,56.543743
-32.5,27.5,56.946857
-32.5,28.5,58.331463
-32.5,116.5,52.420128
-32.5,117.5,56.659042
-32.5,118.5,49.247704
-32.5,119.5,46.884514
-32.5,120.5,51.934036
-32.5,121.5,56.536674
-32.5,122.5,51.262875
-32.5,123.5,57.914703
-32.5,124.5,65.05398
-32.5,125.5,65.860344
-32.5,134.5,45.93715
-32.5,135.5,51.638157
-32.5,136.5,54.67624
-32.5,137.5,53.66695
-32.5,138.5,41.235664
-32.5,139.5,57.344147
-32.5,140.5,54.995934
-32.5,141.5,53.076424
-32.5,142.5,56.93045
-32.5,143.5,56.15694
-32.5,144.5,54.457584
-32.5,145.5,55.379173
-32.5,146.5,59.145924
-32.5,147.5,54.516403
-32.5,148.5,52.640568
-32.5,149.5,63.69347
-32.5,150.5,61.97341
-32.5,151.5,69.19358
-31.5,-71.5,82.81012
-31.5,-70.5,70.03497
-31.5,-69.5,56.67199
-31.5,-68.5,55.780212
-31.5,-67.5,57.23537
-31.5,-66.5,55.085194
-31.5,-65.5,55.339672
-31.5,-64.5,54.278965
-31.5,-63.5,45.651905
-31.5,-62.5,70.42203
-31.5,-61.5,72.585304
-31.5,-60.5,84.75021
-31.5,-59.5,91.1705
-31.5,-58.5,98.930954
-31.5,-57.5,102.92058
-31.5,-56.5,100.16324
-31.5,-55.5,101.36255
-31.5,-54.5,96.95894
-31.5,-53.5,82.334656
-31.5,-52.5,84.69185
-31.5,18.5,44.948833
-31.5,19.5,49.17076
-31.5,20.5,57.776287
-31.5,21.5,58.37677
-31.5,22.5,55.691463
-31.5,23.5,57.75725
-31.5,24.5,57.812912
-31.5,25.5,61.825134
-31.5,26.5,59.735096
-31.5,27.5,73.78115
-31.5,28.5,67.70996
-31.5,29.5,70.22962
-31.5,116.5,52.362377
-31.5,117.5,51.059395
-31.5,118.5,44.432007
-31.5,119.5,49.067886
-31.5,120.5,47.48127
-31.5,121.5,51.76849
-31.5,122.5,54.62358
-31.5,123.5,52.947765
-31.5,124.5,63.067978
-31.5,125.5,64.24298
-31.5,126.5,63.20215
-31.5,127.5,63.02756
-31.5,128.5,63.449505
-31.5,129.5,63.572384
-31.5,130.5,63.544365
-31.5,131.5,59.83147
-31.5,132.5,55.368446
-31.5,133.5,45.249832
-31.5,134.5,45.15949
-31.5,135.5,59.732586
-31.5,136.5,57.242897
-31.5,137.5,58.083813
-31.5,138.5,48.933777
-31.5,139.5,55.75067
-31.5,140.5,52.99958
-31.5,141.5,55.745045
-31.5,142.5,50.688175
-31.5,143.5,55.092415
-31.5,144.5,54.852943
-31.5,145.5,56.784824
-31.5,146.5,60.274895
-31.5,147.5,72.55966
-31.5,148.5,55.324207
-31.5,149.5,65.232155
-31.5,150.5,87.65959
-31.5,151.5,67.16353
-31.5,152.5,88.60605
-30.5,-71.5,73.05779
-30.5,-70.5,66.50776
-30.5,-69.5,54.983166
-30.5,-68.5,58.39403
-30.5,-67.5,49.90713
-30.5,-66.5,48.539318
-30.5,-65.5,53.00522
-30.5,-64.5,63.275658
-30.5,-63.5,45.629818
-30.5,-61.5,74.1537
-30.5,-60.5,82.38055
-30.5,-59.5,93.26094
-30.5,-58.5,101.33037
-30.5,-57.5,104.795616
-30.5,-56.5,102.81182
-30.5,-55.5,102.81543
-30.5,-54.5,75.73524
-30.5,-53.5,110.15468
-30.5,-52.5,109.78838
-30.5,-51.5,91.21092
-30.5,17.5,37.98251
-30.5,18.5,42.097557
-30.5,19.5,56.657303
-30.5,20.5,59.904747
-30.5,21.5,59.202053
-30.5,22.5,55.061905
-30.5,23.5,57.06922
-30.5,24.5,58.496075
-30.5,25.5,60.4475
-30.5,26.5,59.488686
-30.5,27.5,78.80292
-30.5,28.5,80.079315
-30.5,29.5,67.20727
-30.5,30.5,60.94619
-30.5,115.5,43.758987
-30.5,116.5,41.555923
-30.5,117.5,56.529507
-30.5,118.5,50.73717
-30.5,119.5,46.79228
-30.5,120.5,51.86333
-30.5,121.5,55.098362
-30.5,122.5,56.24363
-30.5,123.5,55.416996
-30.5,124.5,58.116665
-30.5,125.5,61.54773
-30.5,126.5,63.222176
-30.5,127.5,62.73564
-30.5,128.5,61.641876
-30.5,129.5,61.89376
-30.5,130.5,61.386524
-30.5,131.5,58.036533
-30.5,132.5,46.120747
-30.5,133.5,45.498524
-30.5,134.5,52.688484
-30.5,135.5,52.5865
-30.5,136.5,50.25868
-30.5,137.5,63.070908
-30.5,138.5,51.560852
-30.5,139.5,57.342384
-30.5,140.5,44.252186
-30.5,141.5,50.842194
-30.5,142.5,58.038322
-30.5,143.5,58.57047
-30.5,144.5,55.743893
-30.5,145.5,55.342167
-30.5,146.5,57.131527
-30.5,147.5,74.011894
-30.5,148.5,71.603584
-30.5,149.5,60.061085
-30.5,150.5,65.63037
-30.5,151.5,66.5059
-30.5,152.5,70.993256
-29.5,-70.5,60.74087
-29.5,-69.5,55.070023
-29.5,-68.5,57.085262
-29.5,-67.5,55.076035
-29.5,-66.5,50.07879
-29.5,-65.5,48.78173
-29.5,-64.5,69.26972
-29.5,-63.5,50.252808
-29.5,-62.5,51.287148
-29.5,-61.5,72.451096
-29.5,-60.5,79.96522
-29.5,-59.5,92.17594
-29.5,-58.5,99.75115
-29.5,-57.5,105.050125
-29.5,-56.5,104.45215
-29.5,-55.5,105.29632
-29.5,-54.5,79.775856
-29.5,-53.5,82.13469
-29.5,-52.5,119.067314
-29.5,-51.5,115.82577
-29.5,-50.5,109.657295
-29.5,17.5,35.565235
-29.5,18.5,39.281666
-29.5,19.5,48.371822
-29.5,20.5,56.19949
-29.5,21.5,50.570343
-29.5,22.5,50.34467
-29.5,23.5,54.18692
-29.5,24.5,52.96438
-29.5,25.5,56.15313
-29.5,26.5,56.01153
-29.5,27.5,75.8119
-29.5,28.5,82.71207
-29.5,29.5,89.969
-29.5,30.5,64.60336
-29.5,115.5,38.87896
-29.5,116.5,50.288628
-29.5,117.5,55.83566
-29.5,118.5,48.06641
-29.5,119.5,47.73433
-29.5,120.5,48.218872
-29.5,121.5,56.24604
-29.5,122.5,54.255863
-29.5,123.5,53.94035
-29.5,124.5,54.56008
-29.5,125.5,58.778755
-29.5,126.5,61.00678
-29.5,127.5,58.86744
-29.5,128.5,54.884197
-29.5,129.5,57.97344
-29.5,130.5,56.59368
-29.5,131.5,54.920822
-29.5,132.5,51.619175
-29.5,133.5,51.11113
-29.5,134.5,51.607956
-29.5,135.5,57.852783
-29.5,136.5,61.862095
-29.5,137.5,67.5937
-29.5,138.5,65.30322
-29.5,139.5,68.70883
-29.5,140.5,46.052853
-29.5,141.5,82.22655
-29.5,142.5,57.918568
-29.5,143.5,52.356148
-29.5,144.5,51.54128
-29.5,145.5,58.46
-29.5,146.5,75.634
-29.5,147.5,73.65916
-29.5,148.5,70.86209
-29.5,149.5,73.13875
-29.5,150.5,64.980194
-29.5,151.5,68.85027
-29.5,152.5,69.052895
-28.5,-70.5,51.54646
-28.5,-69.5,53.736156
-28.5,-68.5,57.4131
-28.5,-67.5,61.060425
-28.5,-66.5,71.96884
-28.5,-65.5,39.07339
-28.5,-64.5,50.45397
-28.5,-63.5,70.453896
-28.5,-62.5,54.55487
-28.5,-61.5,57.843224
-28.5,-60.5,85.98966
-28.5,-59.5,91.473785
-28.5,-58.5,97.447586
-28.5,-57.5,100.34866
-28.5,-56.5,102.09155
-28.5,-55.5,111.879684
-28.5,-54.5,110.5365
-28.5,-53.5,114.23047
-28.5,-52.5,117.805855
-28.5,-51.5,118.97823
-28.5,-50.5,109.14005
-28.5,-49.5,107.98896
-28.5,16.5,48.12253
-28.5,17.5,51.82518
-28.5,18.5,54.13622
-28.5,19.5,51.818474
-28.5,20.5,46.48566
-28.5,21.5,48.843678
-28.5,22.5,51.446102
-28.5,23.5,45.225063
-28.5,24.5,48.157784
-28.5,25.5,45.82267
-28.5,26.5,53.21634
-28.5,27.5,56.461414
-28.5,28.5,72.8859
-28.5,29.5,59.61385
-28.5,30.5,76.02706
-28.5,31.5,84.52525
-28.5,114.5,31.638014
-28.5,115.5,50.29497
-28.5,116.5,56.053776
-28.5,117.5,57.04761
-28.5,118.5,54.609722
-28.5,119.5,51.274876
-28.5,120.5,52.28297
-28.5,121.5,56.364437
-28.5,122.5,52.93757
-28.5,123.5,57.055206
-28.5,124.5,54.218754
-28.5,125.5,53.278748
-28.5,126.5,56.33371
-28.5,127.5,49.649662
-28.5,128.5,49.695435
-28.5,129.5,48.463097
-28.5,130.5,46.215214
-28.5,131.5,43.80134
-28.5,132.5,48.20055
-28.5,133.5,47.985878
-28.5,134.5,63.34445
-28.5,135.5,66.45982
-28.5,136.5,62.26968
-28.5,137.5,70.28158
-28.5,138.5,51.199436
-28.5,139.5,48.958878
-28.5,140.5,43.811726
-28.5,141.5,51.087997
-28.5,142.5,85.0005
-28.5,143.5,56.134834
-28.5,144.5,54.737473
-28.5,145.5,58.71308
-28.5,146.5,56.349064
-28.5,147.5,56.643295
-28.5,148.5,57.849174
-28.5,149.5,77.02771
-28.5,150.5,67.14532
-28.5,151.5,74.37948
-28.5,152.5,68.75891
-28.5,153.5,71.576836
-27.5,-70.5,47.62646
-27.5,-69.5,51.13103
-27.5,-68.5,66.98463
