lat,lon,AIRS3STM_006_RelHumSurf_A
-89.5,-179.5,83.421875
-89.5,-178.5,84.07552
-89.5,-177.5,83.283165
-89.5,-176.5,84.01225
-89.5,-175.5,83.5775
-89.5,-174.5,84.97545
-89.5,-173.5,83.52948
-89.5,-172.5,84.66146
-89.5,-171.5,86.44694
-89.5,-170.5,85.991425
-89.5,-169.5,84.5527
-89.5,-168.5,84.876205
-89.5,-167.5,84.515
-89.5,-166.5,86.32924
-89.5,-165.5,86.46528
-89.5,-164.5,85.306145
-89.5,-163.5,84.991585
-89.5,-162.5,84.40125
-89.5,-161.5,85.3206
-89.5,-160.5,84.5291
-89.5,-159.5,84.03854
-89.5,-158.5,84.78987
-89.5,-157.5,84.884865
-89.5,-156.5,85.82475
-89.5,-155.5,86.07841
-89.5,-154.5,83.114586
-89.5,-153.5,85.21094
-89.5,-152.5,84.589775
-89.5,-151.5,83.88934
-89.5,-150.5,82.11875
-89.5,-149.5,83.95233
-89.5,-148.5,85.73305
-89.5,-147.5,84.5911
-89.5,-146.5,85.5998
-89.5,-145.5,84.73542
-89.5,-144.5,85.64513
-89.5,-143.5,85.69896
-89.5,-142.5,86.05191
-89.5,-141.5,85.74788
-89.5,-140.5,84.7161
-89.5,-139.5,86.30521
-89.5,-138.5,83.335686
-89.5,-137.5,85.2
-89.5,-136.5,86.00205
-89.5,-135.5,84.05343
-89.5,-134.5,85.89224
-89.5,-133.5,85.21627
-89.5,-132.5,85.80242
-89.5,-131.5,85.53125
-89.5,-130.5,85.16918
-89.5,-129.5,84.931145
-89.5,-128.5,85.15148
-89.5,-127.5,86.26953
-89.5,-126.5,84.74461
-89.5,-125.5,84.57758
-89.5,-124.5,84.42217
-89.5,-123.5,85.1998
-89.5,-122.5,84.76758
-89.5,-121.5,85.228485
-89.5,-120.5,86.2125
-89.5,-119.5,85.74901
-89.5,-118.5,85.7193
-89.5,-117.5,84.57604
-89.5,-116.5,84.37601
-89.5,-115.5,85.75932
-89.5,-114.5,85.70492
-89.5,-113.5,86.094246
-89.5,-112.5,85.04091
-89.5,-111.5,84.85
-89.5,-110.5,84.53814
-89.5,-109.5,85.33036
-89.5,-108.5,85.9834
-89.5,-107.5,86.50446
-89.5,-106.5,85.70258
-89.5,-105.5,85.729164
-89.5,-104.5,85.51425
-89.5,-103.5,85.19375
-89.5,-102.5,85.593185
-89.5,-101.5,84.67316
-89.5,-100.5,84.97433
-89.5,-99.5,86.2786
-89.5,-98.5,86.4881
-89.5,-97.5,85.45496
-89.5,-96.5,86.29742
-89.5,-95.5,85.78854
-89.5,-94.5,85.41701
-89.5,-93.5,85.5
-89.5,-92.5,84.83298
-89.5,-91.5,84.1568
-89.5,-90.5,85.732864
-89.5,-89.5,86.1875
-89.5,-88.5,85.32258
-89.5,-87.5,84.7625
-89.5,-86.5,85.33854
-89.5,-85.5,84.54816
-89.5,-84.5,85.00212
-89.5,-83.5,85.70061
-89.5,-82.5,86.11495
-89.5,-81.5,85.14881
-89.5,-80.5,85.290985
-89.5,-79.5,85.15086
-89.5,-78.5,86.72404
-89.5,-77.5,85.77604
-89.5,-76.5,85.71205
-89.5,-75.5,84.38646
-89.5,-74.5,85.98229
-89.5,-73.5,85.49788
-89.5,-72.5,84.626076
-89.5,-71.5,86.25481
-89.5,-70.5,86.33594
-89.5,-69.5,84.26755
-89.5,-68.5,86.10381
-89.5,-67.5,85.51786
-89.5,-66.5,85.728485
-89.5,-65.5,85.20184
-89.5,-64.5,85.10668
-89.5,-63.5,86.148865
-89.5,-62.5,86.890625
-89.5,-61.5,85.89089
-89.5,-60.5,85.43448
-89.5,-59.5,84.74062
-89.5,-58.5,85.9498
-89.5,-57.5,84.25521
-89.5,-56.5,85.13596
-89.5,-55.5,85.84631
-89.5,-54.5,85.23168
-89.5,-53.5,85.82377
-89.5,-52.5,86.80123
-89.5,-51.5,84.74375
-89.5,-50.5,85.1529
-89.5,-49.5,84.19254
-89.5,-48.5,86.32396
-89.5,-47.5,85.18651
-89.5,-46.5,85.99167
-89.5,-45.5,85.79131
-89.5,-44.5,84.00192
-89.5,-43.5,85.63525
-89.5,-42.5,85.20492
-89.5,-41.5,85.09583
-89.5,-40.5,84.09759
-89.5,-39.5,85.925
-89.5,-38.5,86.53027
-89.5,-37.5,84.47321
-89.5,-36.5,85.96429
-89.5,-35.5,84.48245
-89.5,-34.5,85.706566
-89.5,-33.5,85.09677
-89.5,-32.5,84.19375
-89.5,-31.5,84.81144
-89.5,-30.5,86.553406
-89.5,-29.5,85.08772
-89.5,-28.5,86.247284
-89.5,-27.5,85.25646
-89.5,-26.5,85.77542
-89.5,-25.5,86.541046
-89.5,-24.5,85.32311
-89.5,-23.5,85.78629
-89.5,-22.5,86.4416
-89.5,-21.5,85.85448
-89.5,-20.5,85.50577
-89.5,-19.5,83.76755
-89.5,-18.5,84.67215
-89.5,-17.5,84.20285
-89.5,-16.5,85.75625
-89.5,-15.5,85.28176
-89.5,-14.5,84.22775
-89.5,-13.5,85.344864
-89.5,-12.5,83.99773
-89.5,-11.5,84.41102
-89.5,-10.5,85.19896
-89.5,-9.5,84.3538
-89.5,-8.5,84.535286
-89.5,-7.5,86.0932
-89.5,-6.5,86.553276
-89.5,-5.5,85.21875
-89.5,-4.5,85.593185
-89.5,-3.5,86.01339
-89.5,-2.5,84.975586
-89.5,-1.5,85.24167
-89.5,-0.5,86.32183
-89.5,0.5,85.39332
-89.5,1.5,85.59259
-89.5,2.5,85.03708
-89.5,3.5,84.69629
-89.5,4.5,85.91102
-89.5,5.5,85.179276
-89.5,6.5,86.43353
-89.5,7.5,86.6002
-89.5,8.5,85.98904
-89.5,9.5,83.61818
-89.5,10.5,85.44627
-89.5,11.5,85.17349
-89.5,12.5,84.740135
-89.5,13.5,84.7209
-89.5,14.5,84.69886
-89.5,15.5,85.274765
-89.5,16.5,83.949356
-89.5,17.5,84.60855
-89.5,18.5,85.56731
-89.5,19.5,86.29773
-89.5,20.5,84.938614
-89.5,21.5,86.66406
-89.5,22.5,85.1546
-89.5,23.5,85.13832
-89.5,24.5,85.97746
-89.5,25.5,86.98125
-89.5,26.5,85.47458
-89.5,27.5,84.929306
-89.5,28.5,86.6375
-89.5,29.5,84.383415
-89.5,30.5,84.97952
-89.5,31.5,85.365135
-89.5,32.5,84.116745
-89.5,33.5,84.76316
-89.5,34.5,85.592636
-89.5,35.5,85.24554
-89.5,36.5,84.83673
-89.5,37.5,86.60208
-89.5,38.5,83.76947
-89.5,39.5,85.56035
-89.5,40.5,86.039314
-89.5,41.5,86.17125
-89.5,42.5,85.28125
-89.5,43.5,86.05312
-89.5,44.5,84.45127
-89.5,45.5,85.63021
-89.5,46.5,84.96
-89.5,47.5,85.90625
-89.5,48.5,84.78472
-89.5,49.5,84.7786
-89.5,50.5,84.980606
-89.5,51.5,85.49687
-89.5,52.5,84.04717
-89.5,53.5,87.213295
-89.5,54.5,83.2441
-89.5,55.5,84.55227
-89.5,56.5,85.9041
-89.5,57.5,85.34788
-89.5,58.5,83.84821
-89.5,59.5,84.501114
-89.5,60.5,85.85491
-89.5,61.5,84.76818
-89.5,62.5,85.280685
-89.5,63.5,84.581474
-89.5,64.5,86.2288
-89.5,65.5,85.21229
-89.5,66.5,84.54091
