lat,lon,AIRS3STM_006_RelHumSurf_D
-89.5,-179.5,87.107956
-89.5,-178.5,85.339096
-89.5,-177.5,85.59226
-89.5,-176.5,85.40179
-89.5,-175.5,85.33096
-89.5,-174.5,85.876564
-89.5,-173.5,84.98011
-89.5,-172.5,85.414246
-89.5,-171.5,86.210594
-89.5,-170.5,86.688774
-89.5,-169.5,86.402435
-89.5,-168.5,85.069145
-89.5,-167.5,84.93006
-89.5,-166.5,84.55867
-89.5,-165.5,86.57849
-89.5,-164.5,85.820656
-89.5,-163.5,86.99755
-89.5,-162.5,86.40051
-89.5,-161.5,86.191765
-89.5,-160.5,86.12899
-89.5,-159.5,87.25278
-89.5,-158.5,86.14538
-89.5,-157.5,85.62778
-89.5,-156.5,85.563805
-89.5,-155.5,84.62351
-89.5,-154.5,87.10714
-89.5,-153.5,83.90139
-89.5,-152.5,85.85577
-89.5,-151.5,87.02279
-89.5,-150.5,86.797195
-89.5,-149.5,85.64423
-89.5,-148.5,86.85842
-89.5,-147.5,84.94149
-89.5,-146.5,86.74716
-89.5,-145.5,86.56997
-89.5,-144.5,85.83293
-89.5,-143.5,87.197014
-89.5,-142.5,85.46875
-89.5,-141.5,86.87132
-89.5,-140.5,85.70553
-89.5,-139.5,86.115
-89.5,-138.5,86.35487
-89.5,-137.5,86.54209
-89.5,-136.5,85.81005
-89.5,-135.5,87.28889
-89.5,-134.5,86.863205
-89.5,-133.5,86.37364
-89.5,-132.5,86.974266
-89.5,-131.5,85.00245
-89.5,-130.5,86.5875
-89.5,-129.5,86.35967
-89.5,-128.5,87.130104
-89.5,-127.5,86.16146
-89.5,-126.5,84.01593
-89.5,-125.5,85.52644
-89.5,-124.5,85.47
-89.5,-123.5,85.42969
-89.5,-122.5,87.363205
-89.5,-121.5,86.476715
-89.5,-120.5,83.52035
-89.5,-119.5,85.819855
-89.5,-118.5,86.62165
-89.5,-117.5,84.58
-89.5,-116.5,84.708336
-89.5,-115.5,86.2275
-89.5,-114.5,85.45755
-89.5,-113.5,84.12364
-89.5,-112.5,84.77159
-89.5,-111.5,85.53009
-89.5,-110.5,85.24659
-89.5,-109.5,86.79327
-89.5,-108.5,85.73897
-89.5,-107.5,84.23597
-89.5,-106.5,85.98843
-89.5,-105.5,85.92157
-89.5,-104.5,84.56618
-89.5,-103.5,84.678925
-89.5,-102.5,85.35907
-89.5,-101.5,87.319855
-89.5,-100.5,85.53125
-89.5,-99.5,85.07572
-89.5,-98.5,85.50255
-89.5,-97.5,85.00383
-89.5,-96.5,86.26477
-89.5,-95.5,86.53356
-89.5,-94.5,85.35677
