Bioassay ID,Matched set ID,Source 1 citation,Source 1 type,Source 2 citation,Source 2 type,Source 3 citation,Source 3 type,Source 4 citation,Source 4 type,Capture method 1,Capture method 2,Capture method 3,Capture method 4,Start month,Start year,End month,End year,Publication year,Complex/Subgroup,Generation,Test protocol,Insecticide tested,Insecticide class,Concentration (%),Concentration (µg),Exposure period (min),Intensity (multiplier),No. mosquitoes tested,No. mosquitoes dead,Percent mortality,Country,Site type,Site name,Latitude,Longitude,Admin level,GAUL code
35752,1,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,67,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35753,1,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,89,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35765,2,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,83,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35766,2,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,100,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35767,2,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,100,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35768,2,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,100,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35781,3,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,40,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35782,3,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,100,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35783,3,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,100,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35784,3,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,100,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35815,4,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,90,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
35816,4,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,100,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
35817,4,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,100,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
35818,4,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2015,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,100,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
35880,7,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,91,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35881,7,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,92,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35882,7,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,86,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35883,7,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,95,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35904,8,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,74,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35905,8,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,84,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35906,8,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,91,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35907,8,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,93,Zambia,point,Fumpa Kulusa,-12.27361111,29.93638889,NA,NA
35920,10,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,68,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35921,10,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,68,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35922,10,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,86,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
35923,10,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,96,Zambia,point,Johny-Nkumba ,-13.7,31.8833,NA,NA
38636,14,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,72,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
38637,14,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,65,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
38638,14,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,60,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
38639,14,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,88,Zambia,point,Miyambo,-12.4,29.466667,NA,NA
35943,16,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,55,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35944,16,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,54,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35945,16,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,71,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35946,16,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2015,NR,2016,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,97,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35971,20,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,80,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35972,20,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,87,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35973,20,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,97,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
35974,20,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,95,Zambia,point,Chinkula Yatema,-12.035,29.2321,NA,NA
39041,21,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,98,NR,11.22,Ghana,point,Dimabi,9.415317,-1.084525,NA,NA
39043,21,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,43,Ghana,point,Dimabi,9.415317,-1.084525,NA,NA
39044,21,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,52,Ghana,point,Dimabi,9.415317,-1.084525,NA,NA
39070,22,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,8,Ghana,point,Gbullung,9.486256,-1.012093,NA,NA
39071,22,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,33,Ghana,point,Gbullung,9.486256,-1.012093,NA,NA
39072,22,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,62,Ghana,point,Gbullung,9.486256,-1.012093,NA,NA
39103,23,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,7,Ghana,point,Kulaa,9.4492,-0.7276,NA,NA
39101,23,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,97,NR,39.18,Ghana,point,Kulaa,9.4492,-0.7276,NA,NA
39102,23,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,99,NR,73.74,Ghana,point,Kulaa,9.4492,-0.7276,NA,NA
39121,24,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,0,Ghana,point,Kumbungu,9.561014,-0.949701,NA,NA
39122,24,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,18,Ghana,point,Kumbungu,9.561014,-0.949701,NA,NA
39123,24,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,59,Ghana,point,Kumbungu,9.561014,-0.949701,NA,NA
39131,25,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,0,Ghana,point,Nanton,9.550836,-0.730449,NA,NA
39130,25,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,98,NR,25.51,Ghana,point,Nanton,9.550836,-0.730449,NA,NA
39132,25,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,46,Ghana,point,Nanton,9.550836,-0.730449,NA,NA
35987,26,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,12.5,NR,1,NR,NR,95,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35988,26,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,25,NR,2,NR,NR,90,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35989,26,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,62.5,NR,5,NR,NR,91,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
35990,26,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,2016,NR,2017,NA,Funestus Subgroup,NR,CDC Bottle Bioassay,alphacypermethrin,pyrethroid,NA,125,NR,10,NR,NR,98,Zambia,point,Shitambulli,-12.035,29.2321,NA,NA
39162,27,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,0,Ghana,point,Tarikpaa,9.605,-0.891,NA,NA
39159,27,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,80,NR,3.75,Ghana,point,Tarikpaa,9.605,-0.891,NA,NA
39163,27,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,24,Ghana,point,Tarikpaa,9.605,-0.891,NA,NA
39167,28,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,1,Ghana,point,Tugu,9.3722,-0.6068,NA,NA
39168,28,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,12,Ghana,point,Tugu,9.3722,-0.6068,NA,NA
39169,28,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,58,Ghana,point,Tugu,9.3722,-0.6068,NA,NA
39404,29,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,56,Madagascar,point,Vavatenina,-17.466689,49.196992,NA,NA
39406,29,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,85,Madagascar,point,Vavatenina,-17.466689,49.196992,NA,NA
39407,29,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,95,Madagascar,point,Vavatenina,-17.466689,49.196992,NA,NA
39421,30,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,65,Madagascar,point,Vohitrambato,-18.149444,49.398602,NA,NA
39425,30,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,97,Madagascar,point,Vohitrambato,-18.149444,49.398602,NA,NA
39426,30,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,100,NR,100,Madagascar,point,Vohitrambato,-18.149444,49.398602,NA,NA
39211,31,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,14,Ghana,point,Woribugu,9.378,-1.036,NA,NA
39212,31,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.25,NA,NR,5,100,NR,28,Ghana,point,Woribugu,9.378,-1.036,NA,NA
39210,31,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.5,NA,NR,10,98,NR,67.35,Ghana,point,Woribugu,9.378,-1.036,NA,NA
39219,32,"Fornadel C, President's Malaria Initiative (2018) personal communication",personal comm.,NA,NA,NA,NA,NA,NA,Larval collection,NA,NA,NA,NR,2017,NR,2017,NA,Gambiae Complex,F0,WHO Bioassay (version unknown),alphacypermethrin,pyrethroid,0.05,NA,NR,1,100,NR,52,Ghana,point,Yagaba,10.233605,-1.282826,NA,NA
