HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,wscore,windex5,PSU,stratum,hhweight
6,8,1,1,11,4, , , ,2, , , , ,1,2,1,2,-0.6244727371835077,3,6,5,1.617169
12,14,1,1,98,12,2,2, ,2, , , , ,3,2,1,5,1.7242513688814514,5,12,5,1.617169
12,14,2,1,98,12,2,2, ,2, , , , ,3,2,1,5,1.7242513688814514,5,12,5,1.617169
12,14,3,1,98,12,2,2, ,2, , , , ,3,2,1,5,1.7242513688814514,5,12,5,1.617169
18,3,1,1,11,98, , , ,2, , , , ,3,1,1,5,1.7401898681270302,5,18,1,0.575678
18,3,2,1,11,98, , , ,2, , , , ,3,1,1,5,1.7401898681270302,5,18,1,0.575678
18,3,3,1,11,98, , , ,2, , , , ,3,1,1,5,1.7401898681270302,5,18,1,0.575678
22,1,1,2,18,95, , , ,2, , , , ,1,1,1,4,2.0134407188901444,5,22,1,0.575678
47,10,1,1,11,95, , , ,2, , , , ,1,1,1,1,0.4448113540079888,4,47,1,0.500259
71,2,1,2,11,95, , , ,2, , , , ,1,2,1,3,-0.8535537774717279,2,71,5,1.617169
71,8,1,1,98,95,8,2, ,2, , , , ,1,2,1,2,-1.152734368599638,1,71,5,1.617169
74,1,1,1,11,95, , , ,2, , , , ,1,2,1,5,0.3720912261326421,4,74,5,1.617169
74,5,1,1,98,24,2,2, ,2, , , , ,1,2,1,1,-0.7927261507566296,2,74,5,1.617169
75,5,1,1,18,95, , , ,2, , , , ,1,2,1,1,-1.2537383761060945,1,75,5,1.617169
76,9,1,1,13,24, , , ,2, , , , ,1,2,1,3,-0.4250858825686992,3,76,5,1.617169
77,5,1,1,11,95, , , ,2, , , , ,1,2,1,2,-0.16933156490577303,3,77,5,1.617169
78,12,1,1,16,95, , , ,2, , , , ,1,2,1,2,-0.5101077956897556,3,78,5,1.617169
83,7,1,1,11,12, , , ,1,4,90, , ,2,2,1,4,1.206638856947116,5,83,5,1.617169
83,7,2,1,11,23, , , ,2, , , , ,2,2,1,4,1.206638856947116,5,83,5,1.617169
86,11,1,1,11,13, , , ,2, , , , ,1,2,1,3,1.0941211953800225,5,86,5,1.617169
86,13,1,1,11,14, , , ,2, , , , ,2,2,1,2,-0.5480503121024078,3,86,5,1.617169
86,13,2,1,11,14, , , ,2, , , , ,2,2,1,2,-0.5480503121024078,3,86,5,1.617169
92,4,1,1,31,95,1,2, ,2, , , , ,1,2,1,1,-1.0906937423018763,1,92,5,1.617169
92,6,1,1,11,24, , , ,2, , , , ,2,2,1,1,-1.3145230604740363,1,92,5,1.617169
92,6,2,1,11,24, , , ,1,3,6,8,90,2,2,1,1,-1.3145230604740363,1,92,5,1.617169
92,7,1,1,11,24, , , ,2, , , , ,1,2,1,2,-0.8266519017972543,2,92,5,1.617169
95,1,1,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,1,2,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,1,3,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,1,4,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,1,5,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,1,6,1,11,0, , , ,2, , , , ,6,2,1,1,-1.2011179171648592,1,95,5,1.617169
95,2,1,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8758613745071503,2,95,5,1.617169
95,2,2,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8758613745071503,2,95,5,1.617169
95,2,3,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8758613745071503,2,95,5,1.617169
95,3,1,1,11,0, , , ,2, , , , ,3,2,1,1,-0.9375032711079946,2,95,5,1.617169
95,3,2,1,11,0, , , ,2, , , , ,3,2,1,1,-0.9375032711079946,2,95,5,1.617169
95,3,3,1,11,0, , , ,2, , , , ,3,2,1,1,-0.9375032711079946,2,95,5,1.617169
95,4,1,1,11,0, , , ,2, , , , ,3,2,1,1,-1.3923484611832961,1,95,5,1.617169
95,4,2,1,11,0, , , ,2, , , , ,3,2,1,1,-1.3923484611832961,1,95,5,1.617169
95,4,3,1,11,0, , , ,2, , , , ,3,2,1,1,-1.3923484611832961,1,95,5,1.617169
95,5,1,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8496946161258883,2,95,5,1.617169
95,5,2,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8496946161258883,2,95,5,1.617169
95,5,3,1,11,0, , , ,2, , , , ,3,2,1,1,-0.8496946161258883,2,95,5,1.617169
95,6,1,1,11,0, , , ,2, , , , ,2,2,1,1,-0.8167398871957974,2,95,5,1.617169
95,6,2,1,11,0, , , ,2, , , , ,2,2,1,1,-0.8167398871957974,2,95,5,1.617169
95,7,1,1,11,0, , , ,1,1,90, , ,7,2,1,1,0.0474622497550681,4,95,5,1.617169
95,7,2,1,11,0, , , ,1,4,90, , ,7,2,1,1,0.0474622497550681,4,95,5,1.617169
