HH1,HH2,TNLN,TN3,TN4,TN5,TN5A,TN5B,TN7,TN8,TN9,TN10,TN11_1,TN11_2,TN11_3,TN11_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
1,1,1,1,98,12,11,9995, , , ,1,2,90, , ,2,1,1,1,2,0.9208810332962779,-0.37070423681104064,3
1,1,2,1,98,11,13,9995, , , ,1,1,90, , ,2,1,1,1,2,0.9208810332962779,-0.37070423681104064,3
1,2,1,1,4,11,32,200, , , ,1,1,90, , ,1,1,1,2,2,0.9208810332962779,-0.36368848038024953,3
1,3,1,1,3,12,31,50, , , ,1,1,4,90, ,2,1,1,3,2,0.9208810332962779,-0.1534075998974345,4
1,3,2,1,5,98,15,9995,1,2, ,1,3,90, , ,2,1,1,3,2,0.9208810332962779,-0.1534075998974345,4
1,4,1,1,24,12,12,9995, , , ,1,1,0,5,90,4,1,1,2,2,0.9208810332962779,-0.32748909497247763,3
1,4,2,1,6,21,96,9995, ,2, ,1,2,3,4,90,4,1,1,2,2,0.9208810332962779,-0.32748909497247763,3
1,4,3,1,6,12,96,9995, , , ,2, , , , ,4,1,1,2,2,0.9208810332962779,-0.32748909497247763,3
1,4,4,1,6,12,96,9995, , , ,2, , , , ,4,1,1,2,2,0.9208810332962779,-0.32748909497247763,3
1,5,1,1,5,12,13,9995, , , ,1,1,5,90, ,3,1,1,2,2,0.9208810332962779,-0.4388020302918783,2
1,5,2,1,12,98,12,9995,2,2, ,1,2,3,4,90,3,1,1,2,2,0.9208810332962779,-0.4388020302918783,2
1,5,3,1,7,12,13,9995, , , ,2, , , , ,3,1,1,2,2,0.9208810332962779,-0.4388020302918783,2
1,6,1,1,3,11,13,9995, , , ,1,1,2,3,4,2,1,1,2,2,0.9208810332962779,-0.48012264817250533,2
1,6,2,1,3,11,13,9995, , , ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.48012264817250533,2
1,7,1,1,3,13,13,9995, , , ,1,1,2,5,90,2,1,1,2,2,0.9208810332962779,-0.42028438568450877,3
1,7,2,1,3,13,13,9995, , , ,1,3,4,90, ,2,1,1,2,2,0.9208810332962779,-0.42028438568450877,3
1,8,1,1,3,12,15,9995, , , ,1,1,2,90, ,2,1,1,2,2,0.9208810332962779,0.2412015575948124,4
1,8,2,1,3,12,15,9995, , , ,1,3,4,90, ,2,1,1,2,2,0.9208810332962779,0.2412015575948124,4
1,9,1,1,3,12,15,9995, , , ,1,1,90, , ,2,1,1,2,2,0.9208810332962779,-0.34202222358956097,3
1,9,2,1,3,12,15,9995, , , ,1,5,4,90, ,2,1,1,2,2,0.9208810332962779,-0.34202222358956097,3
1,10,1,1,4,12,13,9995, , , ,1,1,2,90, ,3,1,1,2,2,0.9208810332962779,-0.2051105656502452,4
1,10,2,1,4,12,13,9995, , , ,1,3,4,8,9,3,1,1,2,2,0.9208810332962779,-0.2051105656502452,4
1,10,3,1,4,12,13,9995, , , ,1,5,6,7,90,3,1,1,2,2,0.9208810332962779,-0.2051105656502452,4
1,11,1,1,95,11,32,300, , , ,1,1,90, , ,2,1,1,1,2,0.9208810332962779,-0.3499267426899487,3
1,11,2,1,3,11,96,9995, , , ,2, , , , ,2,1,1,1,2,0.9208810332962779,-0.3499267426899487,3
1,12,1,2,12,18,11,9995, , , ,1,1,90, , ,2,1,1,2,2,0.9208810332962779,-0.41172337649569096,3
1,12,2,2,12,18,11,9995, , , ,1,2,3,90, ,2,1,1,2,2,0.9208810332962779,-0.41172337649569096,3
1,13,1,2,11,12,31,9995, , , ,1,1,90, , ,2,1,1,2,2,0.9208810332962779,0.3392637510804389,5
1,13,2,2,95,21,31,9995, ,2, ,2, , , , ,2,1,1,2,2,0.9208810332962779,0.3392637510804389,5
1,14,1,1,2,11,96,9995, , , ,1,1,2,90, ,2,1,1,2,2,0.9208810332962779,0.12150061622103422,4
1,14,2,1,2,11,96,9995, , , ,2, , , , ,2,1,1,2,2,0.9208810332962779,0.12150061622103422,4
1,15,1,1,24,21,12,9995, ,2, ,1,5,4,90, ,4,1,1,3,3,0.9208810332962779,-0.4041893105011372,3
1,15,2,1,24,21,12,9995, ,2, ,1,1,2,8,90,4,1,1,3,3,0.9208810332962779,-0.4041893105011372,3
1,15,3,1,24,21,12,9995, ,2, ,1,3,90, , ,4,1,1,3,3,0.9208810332962779,-0.4041893105011372,3
1,15,4,1,24,12,31,50, , , ,1,6,7,90, ,4,1,1,3,3,0.9208810332962779,-0.4041893105011372,3
1,17,1,2,3,11,15,9995, , , ,1,1,90, , ,3,1,1,1,2,0.9208810332962779,-0.5664442475483755,1
1,17,2,1,24,12,11,9995, , , ,1,2,90, , ,3,1,1,1,2,0.9208810332962779,-0.5664442475483755,1
1,17,3,1,3,11,15,9995, , , ,2, , , , ,3,1,1,1,2,0.9208810332962779,-0.5664442475483755,1
1,18,1,1,98,12,11,9995, , , ,1,1,2,6,90,3,1,1,2,2,0.9208810332962779,-0.5382304716533644,1
1,18,2,1,4,13,96,9995, , , ,1,3,4,5,90,3,1,1,2,2,0.9208810332962779,-0.5382304716533644,1
1,18,3,1,10,12,96,9995, , , ,2, , , , ,3,1,1,2,2,0.9208810332962779,-0.5382304716533644,1
1,20,1,1,2,16,13,9995, , , ,1,1,90, , ,2,1,1,1,2,0.9208810332962779,-0.1821659886014906,4
1,20,2,1,2,16,13,9995, , , ,1,2,90, , ,2,1,1,1,2,0.9208810332962779,-0.1821659886014906,4
1,21,1,2,11,13,98,9998, , , ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.4869713567185659,2
1,21,2,2,11,13,98,9998, , , ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.4869713567185659,2
1,23,1,1,0,98,96,9995,1,1,0,1,1,6,90, ,2,1,1,2,2,0.9208810332962779,-0.534096011359513,1
1,23,2,1,4,21,96,9995, ,2, ,2, , , , ,2,1,1,2,2,0.9208810332962779,-0.534096011359513,1
1,24,1,1,98,21,11,9995, ,2, ,2, , , , ,2,1,1,1,2,0.9208810332962779,-0.08586776035812743,4
1,24,2,1,98,21,11,9995, ,2, ,1,2,3,90, ,2,1,1,1,2,0.9208810332962779,-0.08586776035812743,4
1,25,1,1,12,21,96,9995, ,2, ,1,4,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,2,1,95,21,23,450, ,2, ,1,1,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,3,1,6,12,15,9995, , , ,1,2,90, , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,4,1,12,12,96,9995, , , ,2, , , , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
1,25,5,1,12,12,96,9995, , , ,2, , , , ,5,1,1,1,2,0.9208810332962779,0.39645111461188615,5
2,1,1,1,3,12,12,9995, , , ,1,3,90, , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,2,1,3,12,12,9995, , , ,1,2,7,90, ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,3,1,3,12,12,9995, , , ,1,4,5,90, ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,4,1,98,11,98,9995, , , ,1,1,90, , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,5,1,3,12,12,9995, , , ,2, , , , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,1,6,1,3,12,12,9995, , , ,2, , , , ,6,1,1,1,2,0.9686190132832084,0.4795161837514934,5
2,2,1,1,5,12,13,9995, , , ,1,1,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,2,1,5,12,13,9995, , , ,1,2,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,3,1,5,12,13,9995, , , ,1,3,90, , ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
2,2,4,1,5,11,13,9995, , , ,1,4,5,90, ,5,1,1,2,2,0.9686190132832084,-0.40905337796382424,3
