HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
1,1,1,1,12,95, , , ,1,5,7,8,90,2,1,3,3,1,1.2424356610133331,2.950362308905619,5
1,1,2,1,21,95, ,2, ,1,1,2,9,90,2,1,3,3,1,1.2424356610133331,2.950362308905619,5
1,2,1,1,13,6, , , ,1,1,2,3,4,1,1,3,3,1,1.2424356610133331,0.2620416737730505,4
1,3,1,1,13,20, , , ,1,1,2,90, ,1,1,3,3,1,1.2424356610133331,2.7150808765539245,5
1,4,1,1,13,0, , , ,2, , , , ,1,1,3,3,1,1.2424356610133331,2.019199112061604,5
1,5,1,1,13,24, , , ,1,1,2,3,90,1,1,3,1,1,1.2424356610133331,1.3717125517216826,5
1,7,1,1,13,6, , , ,1,1,2,6,90,1,1,3,2,1,1.2424356610133331,-0.4119613844992162,3
1,8,1,1,13,24, , , ,1,3,5,6,90,1,1,3,2,1,1.2424356610133331,-0.6426690665653784,1
1,9,1,1,13,4, , , ,1,1,2,8,90,1,1,3,2,2,1.2424356610133331,2.269152795491847,5
1,11,1,1,11,12, , , ,1,2,90, , ,2,1,3,2,1,1.2424356610133331,1.1493709150135758,5
1,11,2,1,98,12,1,2, ,1,1,90, , ,2,1,3,2,1,1.2424356610133331,1.1493709150135758,5
1,12,1,1,12,95, , , ,2, , , , ,1,1,3,3,2,1.2424356610133331,2.153717366951796,5
1,13,1,1,13,2, , , ,2, , , , ,1,1,3,2,1,1.2424356610133331,0.598108234149535,5
1,14,1,1,11,7, , , ,2, , , , ,1,1,3,1,1,1.2424356610133331,1.0199964464024271,5
1,15,1,1,98,95,2,2, ,1,1,2,3,4,1,1,3,3,1,1.2424356610133331,0.10809491234581778,4
1,18,1,1,11,6, , , ,1,3,7,4,90,3,1,3,2,2,1.2424356610133331,2.449104513478619,5
1,18,2,1,13,16, , , ,1,0,90, , ,3,1,3,2,2,1.2424356610133331,2.449104513478619,5
1,18,3,1,13,95, , , ,1,6,90, , ,3,1,3,2,2,1.2424356610133331,2.449104513478619,5
1,19,1,1,13,24, , , ,1,1,2,3,90,2,1,3,3,1,1.2424356610133331,0.9438860119625001,5
1,19,2,2,13,24, , , ,2, , , , ,2,1,3,3,1,1.2424356610133331,0.9438860119625001,5
1,22,1,1,13,95, , , ,1,7,9,90, ,3,1,3,2,1,1.2424356610133331,3.3179046629791484,5
1,22,2,1,13,95, , , ,1,0,90, , ,3,1,3,2,1,1.2424356610133331,3.3179046629791484,5
1,22,3,1,13,95, , , ,1,1,11,90, ,3,1,3,2,1,1.2424356610133331,3.3179046629791484,5
1,24,1,1,11,24, , , ,1,1,90, , ,2,1,3,3,1,1.2424356610133331,2.630297656710663,5
1,24,2,1,21,2, ,2, ,1,2,3,4,90,2,1,3,3,1,1.2424356610133331,2.630297656710663,5
1,25,1,2,11,95, , , ,1,1,2,3,90,2,1,3,2,1,1.2424356610133331,3.000148644426705,5
1,25,2,2,98,95,2,2, ,1,4,5,0,90,2,1,3,2,1,1.2424356610133331,3.000148644426705,5
2,1,1,1,13,12, , , ,1,1,6,7,90,2,1,3,1,1,0.7257941505328424,0.023999377438475973,4
2,1,2,1,13,12, , , ,1,2,3,90, ,2,1,3,1,1,0.7257941505328424,0.023999377438475973,4
2,3,1,1,11,95, , , ,1,1,2,90, ,2,1,3,3,1,0.7257941505328424,0.5300741775317946,5
2,3,2,1,11,95, , , ,1,3,4,90, ,2,1,3,3,1,0.7257941505328424,0.5300741775317946,5
2,5,1,1,11,1, , , ,1,1,2,3,90,1,1,3,1,3,0.7257941505328424,-0.02023388927575554,4
2,6,1,1,13,95, , , ,1,1,2,6,90,1,1,3,3,1,0.7257941505328424,0.21162914972417457,4
2,8,1,1,13,12, , , ,1,1,2,6,7,4,1,3,2,1,0.7257941505328424,-0.6370165499842031,1
2,8,2,2,11,12, , , ,1,3,8,90, ,4,1,3,2,1,0.7257941505328424,-0.6370165499842031,1
