HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,helevel,HH6,area,HH7,hhweight,wscore,windex5
1,1,1,1,11,95, , , ,1,2,6,90, ,1,3,1,11,12,0.9639263743281306,-0.8492233907546579,2
1,3,1,2,14,95, , , ,1,2,8,90, ,1,1,1,11,12,0.9639263743281306,-0.9989821476367833,2
1,4,1,1,13,12, , , ,2, , , , ,2,9,1,11,12,0.9639263743281306,-0.08325099385988462,3
1,4,2,1,13,10, , , ,2, , , , ,2,9,1,11,12,0.9639263743281306,-0.08325099385988462,3
1,7,1,2,11,10, , , ,1,4,90, , ,3,1,1,11,12,0.9639263743281306,0.8004483806302706,4
1,7,2,9,11,10, , , ,1,3,90, , ,3,1,1,11,12,0.9639263743281306,0.8004483806302706,4
1,7,3,9,11,10, , , ,2, , , , ,3,1,1,11,12,0.9639263743281306,0.8004483806302706,4
1,8,1,9,14,95, , , ,1,1,2,7,90,2,3,1,11,12,0.9639263743281306,-0.6984589979642405,2
1,8,2,9,14,95, , , ,1,3,90, , ,2,3,1,11,12,0.9639263743281306,-0.6984589979642405,2
1,10,1,1,13,12, , , ,1,1,90, , ,2,1,1,11,12,0.9639263743281306,-0.5912293975026771,2
1,10,2,1,13,12, , , ,2, , , , ,2,1,1,11,12,0.9639263743281306,-0.5912293975026771,2
1,11,1,2,14,95, , , ,1,2,7,5,6,2,1,1,11,12,0.9639263743281306,-1.119653889279223,1
1,11,2,2,14,95, , , ,1,3,4,90, ,2,1,1,11,12,0.9639263743281306,-1.119653889279223,1
1,12,1,1,11,24, , , ,2, , , , ,2,1,1,11,12,0.9639263743281306,-1.1202914983887382,1
1,12,2,1,11,24, , , ,2, , , , ,2,1,1,11,12,0.9639263743281306,-1.1202914983887382,1
1,14,1,2,14,8, , , ,1,2,3,4,90,1,1,1,11,12,0.9639263743281306,0.13232405722710075,3
1,15,1,9,13,95, , , ,1,2,90, , ,1,1,1,11,12,0.9639263743281306,-0.47807948071963485,2
1,16,1,1,11,95, , , ,1,1,90, , ,1,1,1,11,12,0.9639263743281306,-1.0724702990435242,1
1,17,1,1,11,95, , , ,2, , , , ,1,1,1,11,12,0.9639263743281306,-1.0331487759281395,2
1,18,1,1,11,95, , , ,1,2,8,9,10,2,1,1,11,12,0.9639263743281306,-1.1857683248231046,1
