HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,1,1,1,12,95, , , ,1,3,4,90, , , ,3,2,1,2,1,0.9984719224793521,-0.30792895830914957,3, , ,0.019633263189890574,4
1,1,2,2,11,95, , , ,1,5,90, , , , ,3,2,1,2,1,0.9984719224793521,-0.30792895830914957,3, , ,0.019633263189890574,4
1,1,3,2,11,95, , , ,1,1,90, , , , ,3,2,1,2,1,0.9984719224793521,-0.30792895830914957,3, , ,0.019633263189890574,4
1,3,1,2,11,95, , , ,1,4,90, , , , ,3,2,1,3,1,0.9984719224793521,-0.017152829020090354,4, , ,0.3809172293110863,4
1,3,2,2,11,95, , , ,1,3,90, , , , ,3,2,1,3,1,0.9984719224793521,-0.017152829020090354,4, , ,0.3809172293110863,4
1,3,3,2,11,95, , , ,1,1,2,90, , , ,3,2,1,3,1,0.9984719224793521,-0.017152829020090354,4, , ,0.3809172293110863,4
1,4,1,2,12,95, , , ,1,1,90, , , , ,1,2,1,1,1,0.9984719224793521,-0.5549197784982722,3, , ,-0.2872482656743526,3
1,5,1,2,11,6, , , ,1,1,2,90, , , ,2,2,1,3,1,0.9984719224793521,1.3649881384619325,5, , ,2.0982018347956544,5
1,5,2,2,11,6, , , ,1,3,90, , , , ,2,2,1,3,1,0.9984719224793521,1.3649881384619325,5, , ,2.0982018347956544,5
1,6,1,2,21,12, ,2, ,1,1,4,3,90, , ,1,2,1,2,1,0.9984719224793521,-0.6778907744196946,2, , ,-0.44003745518928605,2
1,7,1,1,12,12, , , ,1,1,90, , , , ,1,2,1,2,1,0.9984719224793521,0.04731272949760118,4, , ,0.46101449422906304,4
1,8,1,1,12,13, , , ,1,1,90, , , , ,1,2,1,1,1,0.9984719224793521,-0.9174591262943645,1, , ,-0.7376967043649907,1
1,9,1,1,12,95, , , ,1,1,2,5,90, , ,1,2,1,1,1,0.9984719224793521,0.19103444012436133,4, , ,0.6395860632224069,4
1,11,1,1,12,95, , , ,1,1,90, , , , ,2,2,1,2,1,0.9984719224793521,-0.31498162208881,3, , ,0.010870458800600257,4
1,11,2,1,12,95, , , ,1,2,3,90, , , ,2,2,1,2,1,0.9984719224793521,-0.31498162208881,3, , ,0.010870458800600257,4
1,12,1,1,12,12, , , ,1,1,90, , , , ,2,2,1,1,1,0.9984719224793521,-0.8396213947510853,1, , ,-0.640984761625436,2
1,12,2,1,12,12, , , ,2, , , , , , ,2,2,1,1,1,0.9984719224793521,-0.8396213947510853,1, , ,-0.640984761625436,2
1,13,1,2,98,0,1,1,0,1,1,90, , , , ,3,2,1,1,1,0.9984719224793521,0.08340085729821017,4, , ,0.5058533259913894,4
1,13,2,2,98,0,1,1,0,1,3,4,90, , , ,3,2,1,1,1,0.9984719224793521,0.08340085729821017,4, , ,0.5058533259913894,4
1,13,3,2,98,0,1,1,0,1,2,90, , , , ,3,2,1,1,1,0.9984719224793521,0.08340085729821017,4, , ,0.5058533259913894,4
1,14,1,2,98,0,1,2, ,1,1,2,8,7,90,90,3,2,1,2,1,0.9984719224793521,-0.03989365174179188,4, , ,0.35266217740623085,4
1,14,2,2,98,0,1,2, ,1,3,5,90, , , ,3,2,1,2,1,0.9984719224793521,-0.03989365174179188,4, , ,0.35266217740623085,4
1,14,3,2,98,0,1,2, ,1,4,6,90, , , ,3,2,1,2,1,0.9984719224793521,-0.03989365174179188,4, , ,0.35266217740623085,4
1,15,1,2,13,95, , , ,1,1,90, , , , ,1,2,1,1,1,0.9984719224793521,-0.48979888540980865,3, , ,-0.20633675966497775,3
1,16,1,1,11,95, , , ,1,1,2,7,90, , ,3,2,1,3,1,0.9984719224793521,1.288360456002588,5, , ,2.0029933556771136,5
1,16,2,1,11,95, , , ,1,4,5,90, , , ,3,2,1,3,1,0.9984719224793521,1.288360456002588,5, , ,2.0029933556771136,5
1,16,3,1,11,95, , , ,1,3,6,90, , , ,3,2,1,3,1,0.9984719224793521,1.288360456002588,5, , ,2.0029933556771136,5
1,18,1,1,12,0, , , ,1,1,2,90, , , ,2,2,1,2,1,0.9984719224793521,-0.6580607410179604,2, , ,-0.4153990052133174,2
1,18,2,1,12,0, , , ,1,3,5,90, , , ,2,2,1,2,1,0.9984719224793521,-0.6580607410179604,2, , ,-0.4153990052133174,2
1,19,1,1,13,3, , , ,1,1,2,3,90, , ,2,2,1,2,1,0.9984719224793521,-1.019752944481964,1, , ,-0.8647948827294104,1
1,19,2,2,13,3, , , ,2, , , , , , ,2,2,1,2,1,0.9984719224793521,-1.019752944481964,1, , ,-0.8647948827294104,1
1,20,1,1,11,6, , , ,1,1,90, , , , ,3,2,1,3,1,0.9984719224793521,1.415677416335786,5, , ,2.161182325645645,5
1,20,2,1,11,6, , , ,1,9,90, , , , ,3,2,1,3,1,0.9984719224793521,1.415677416335786,5, , ,2.161182325645645,5
1,20,3,1,11,6, , , ,2, , , , , , ,3,2,1,3,1,0.9984719224793521,1.415677416335786,5, , ,2.161182325645645,5
1,21,1,1,11,12, , , ,1,1,90, , , , ,3,2,1,3,1,0.9984719224793521,-0.22693833624051304,4, , ,0.12026261413118466,4
1,21,2,1,11,12, , , ,1,2,5,90, , , ,3,2,1,3,1,0.9984719224793521,-0.22693833624051304,4, , ,0.12026261413118466,4
1,21,3,1,11,12, , , ,1,3,4,90, , , ,3,2,1,3,1,0.9984719224793521,-0.22693833624051304,4, , ,0.12026261413118466,4
1,22,1,1,13,12, , , ,1,1,90, , , , ,1,2,1,1,1,0.9984719224793521,-0.9997585158500979,1, , ,-0.8399521747185793,1
1,23,1,1,13,10, , , ,1,1,2,90, , , ,3,2,1,2,1,0.9984719224793521,-0.6575810174369289,2, , ,-0.4148029575307903,2
1,23,2,1,13,10, , , ,1,3,7,90, , , ,3,2,1,2,1,0.9984719224793521,-0.6575810174369289,2, , ,-0.4148029575307903,2
1,23,3,1,13,10, , , ,1,4,5,6,90, , ,3,2,1,2,1,0.9984719224793521,-0.6575810174369289,2, , ,-0.4148029575307903,2
1,25,1,2,13,95, , , ,1,1,2,90, , , ,4,2,1,3,1,0.9984719224793521,0.55302860290647,4, , ,1.0893571196100222,5
1,25,2,2,13,95, , , ,1,5,4,90, , , ,4,2,1,3,1,0.9984719224793521,0.55302860290647,4, , ,1.0893571196100222,5
1,25,3,2,13,95, , , ,1,3,7,90, , , ,4,2,1,3,1,0.9984719224793521,0.55302860290647,4, , ,1.0893571196100222,5
1,25,4,2,13,95, , , ,1,6,90, , , , ,4,2,1,3,1,0.9984719224793521,0.55302860290647,4, , ,1.0893571196100222,5
1,26,1,1,13,95, , , ,1,1,90, , , , ,3,2,1,2,1,0.9984719224793521,0.5587222499942754,4, , ,1.0964313708788802,5
1,26,2,1,13,95, , , ,1,2,90, , , , ,3,2,1,2,1,0.9984719224793521,0.5587222499942754,4, , ,1.0964313708788802,5
