HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,1,1,1,11,95, , , ,1,1,90, , , , ,2,2,2,1,1,0.8515508608479451,-0.09111846360704337,4, , ,0.3258169754294296,4
1,1,2,1,11,95, , , ,2, , , , , , ,2,2,2,1,1,0.8515508608479451,-0.09111846360704337,4, , ,0.3258169754294296,4
1,3,1,1,12,1, , , ,1,1,4,90, , , ,2,2,2,3,6,0.8515508608479451,-0.2056741648163039,3, , ,0.14930003547545792,4
1,3,2,1,12,4, , , ,2, , , , , , ,2,2,2,3,6,0.8515508608479451,-0.2056741648163039,3, , ,0.14930003547545792,4
1,5,1,1,12,98, , , ,1,1,2,90, , , ,2,2,2,1,1,0.8515508608479451,-0.6339248910394006,2, , ,-0.5105842559914452,2
1,5,2,1,12,98, , , ,1,3,5,4,90, , ,2,2,2,1,1,0.8515508608479451,-0.6339248910394006,2, , ,-0.5105842559914452,2
1,6,1,1,13,95, , , ,1,1,2,90, , , ,2,2,2,3,1,0.8515508608479451,-0.6506569389836361,2, , ,-0.5363663853058509,2
1,6,2,1,13,95, , , ,1,3,4,90, , , ,2,2,2,3,1,0.8515508608479451,-0.6506569389836361,2, , ,-0.5363663853058509,2
1,7,1,1,11,12, , , ,1,5,4,90, , , ,3,2,2,3,1,0.8515508608479451,0.29543363506000847,4, , ,0.9214485578755232,5
1,7,2,1,11,12, , , ,1,6,3,90, , , ,3,2,2,3,1,0.8515508608479451,0.29543363506000847,4, , ,0.9214485578755232,5
1,7,3,1,11,12, , , ,1,1,2,90, , , ,3,2,2,3,1,0.8515508608479451,0.29543363506000847,4, , ,0.9214485578755232,5
1,9,1,1,13,0, , , ,1,3,4,5,90, , ,2,2,2,2,1,0.8515508608479451,-0.09991172483890756,4, , ,0.3122675881140903,4
1,9,2,2,12,0, , , ,1,1,2,90, , , ,2,2,2,2,1,0.8515508608479451,-0.09991172483890756,4, , ,0.3122675881140903,4
1,10,1,1,11,24, , , ,1,1,2,90, , , ,3,2,2,2,1,0.8515508608479451,0.11885609020792459,4, , ,0.6493632094131336,4
1,10,2,1,11,24, , , ,2, , , , , , ,3,2,2,2,1,0.8515508608479451,0.11885609020792459,4, , ,0.6493632094131336,4
1,10,3,2,12,16, , , ,1,3,90, , , , ,3,2,2,2,1,0.8515508608479451,0.11885609020792459,4, , ,0.6493632094131336,4
1,11,1,1,12,98, , , ,1,1,2,90, , , ,2,2,2,2,1,0.8515508608479451,-0.6136175509149353,2, , ,-0.4792930195053003,2
1,11,2,1,12,98, , , ,2, , , , , , ,2,2,2,2,1,0.8515508608479451,-0.6136175509149353,2, , ,-0.4792930195053003,2
1,12,1,1,98,95,1,2, ,1,1,6,90, , , ,4,2,2,1,1,0.8515508608479451,-0.6355336601192574,2, , ,-0.5130631810215502,2
1,12,2,1,13,12, , , ,1,3,4,5,90, , ,4,2,2,1,1,0.8515508608479451,-0.6355336601192574,2, , ,-0.5130631810215502,2
1,12,3,1,13,12, , , ,2, , , , , , ,4,2,2,1,1,0.8515508608479451,-0.6355336601192574,2, , ,-0.5130631810215502,2
1,12,4,1,13,12, , , ,2, , , , , , ,4,2,2,1,1,0.8515508608479451,-0.6355336601192574,2, , ,-0.5130631810215502,2
1,13,1,1,11,17, , , ,1,1,2,3,4,90,90,3,2,2,2,1,0.8515508608479451,-0.5149209185496553,2, , ,-0.32721305015434654,3
1,13,2,1,11,8, , , ,2, , , , , , ,3,2,2,2,1,0.8515508608479451,-0.5149209185496553,2, , ,-0.32721305015434654,3
1,13,3,1,12,7, , , ,2, , , , , , ,3,2,2,2,1,0.8515508608479451,-0.5149209185496553,2, , ,-0.32721305015434654,3
1,14,1,1,21,22, ,1,5,1,1,4,90, , , ,2,2,2,1,1,0.8515508608479451,-0.6480251712999001,2, , ,-0.5323111390518542,2
1,14,2,1,21,22, ,1,5,1,2,3,5,90, , ,2,2,2,1,1,0.8515508608479451,-0.6480251712999001,2, , ,-0.5323111390518542,2
1,15,1,2,12,12, , , ,1,1,2,90, , , ,5,2,2,1,1,0.8515508608479451,-0.23162384363040883,3, , ,0.1093146148573532,4
