HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,4,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.5023266225464644,-0.5774857523293537,2, , ,-0.18522731367107567,4
1,8,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.5023266225464644,-0.690232622529156,1, , ,-0.42407547862686146,2
1,11,1,1,21,4, ,2, ,1,1,90, , , , ,2,2,3,1,2,0.5023266225464644,-0.6506626809756497,2, , ,-0.34024869114518785,3
1,11,2,1,21,4, ,2, ,1,2,5,90, , , ,2,2,3,1,2,0.5023266225464644,-0.6506626809756497,2, , ,-0.34024869114518785,3
1,13,1,1,21,6, ,2, ,1,1,2,3,4,5,90,1,2,3,1,2,0.5023266225464644,-0.613615609861311,2, , ,-0.2617664686500945,3
1,19,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.5023266225464644,-0.5259661563198803,2, , ,-0.0760858275764335,4
1,21,1,1,12,95, , , ,1,2,5,90, , , ,1,2,3,1,2,0.5023266225464644,-0.6504233461455714,2, , ,-0.33974167321313425,3
2,15,1,1,11,4, , , ,1,1,90, , , , ,2,2,3,1,2,0.45106880391927434,-0.7640515260559192,1, , ,-0.580456845268527,1
2,15,2,1,11,4, , , ,1,2,90, , , , ,2,2,3,1,2,0.45106880391927434,-0.7640515260559192,1, , ,-0.580456845268527,1
2,17,1,1,13,24, , , ,1,1,2,3,90, , ,1,2,3,1,2,0.45106880391927434,-0.589701661539946,2, , ,-0.21110605862466786,3
2,20,1,1,13,4, , , ,2, , , , , , ,1,2,3,1,2,0.45106880391927434,-0.5495412336457496,2, , ,-0.12602835767058163,4
3,1,1,1,13,98, , , ,1,1,90, , , , ,2,2,3,1,2,0.7996219705841681,-0.6716581235510868,1, , ,-0.3847264041201996,2
3,1,2,1,13,98, , , ,1,3,90, , , , ,2,2,3,1,2,0.7996219705841681,-0.6716581235510868,1, , ,-0.3847264041201996,2
4,10,1,1,11,95, , , ,1,2,3,4,5,6,90,1,2,3,1,2,0.49207505882102653,-0.6423500474216666,2, , ,-0.32263882519680037,3
4,20,1,1,21,5, ,2, ,1,3,4,5,2,90,90,1,2,3,2,2,0.49207505882102653,-0.37610151791943,3, , ,0.24139432783964732,5
5,1,1,1,12,95, , , ,1,1,90, , , , ,1,2,3,1,2,1.0969173186218715,-0.6316384275986349,2, , ,-0.29994683619611906,3
5,3,1,1,12,95, , , ,1,1,90, , , , ,3,2,3,2,2,1.0969173186218715,0.6775277771358892,4, , ,2.473451175374758,5
5,3,2,1,12,95, , , ,1,2,6,90, , , ,3,2,3,2,2,1.0969173186218715,0.6775277771358892,4, , ,2.473451175374758,5
5,3,3,1,12,95, , , ,1,3,4,5,90, , ,3,2,3,2,2,1.0969173186218715,0.6775277771358892,4, , ,2.473451175374758,5
5,4,1,1,12,95, , , ,1,2,7,90, , , ,1,2,3,1,2,1.0969173186218715,-0.5399812232140232,2, , ,-0.10577599106803612,4
5,5,1,1,12,95, , , ,1,2,3,90, , , ,1,2,3,1,2,1.0969173186218715,-0.6347347322527801,2, , ,-0.30650619064627865,3
5,7,1,2,28,11, ,2, ,1,2,3,90, , , ,1,2,3,1,2,1.0969173186218715,-0.6896578353721485,1, , ,-0.42285782302854563,2
6,4,1,1,11,12, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.8273749240021611,1, , ,-0.7146040492789081,1
6,4,2,1,11,12, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.8273749240021611,1, , ,-0.7146040492789081,1
6,16,1,2,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.8074463793527823,1, , ,-0.6723865020307371,1
6,16,2,2,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.8074463793527823,1, , ,-0.6723865020307371,1
6,18,1,1,12,98, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.7370216845527703,1, , ,-0.5231955835533953,1
6,18,2,1,12,98, , , ,2, , , , , , ,2,2,3,1,2,0.5945906960754068,-0.7370216845527703,1, , ,-0.5231955835533953,1
6,21,1,1,11,12, , , ,1,3,90, , , , ,2,2,3,1,2,0.5945906960754068,-0.7925452273385605,1, , ,-0.6408192149919317,1
6,21,2,1,11,12, , , ,1,2,90, , , , ,2,2,3,1,2,0.5945906960754068,-0.7925452273385605,1, , ,-0.6408192149919317,1
7,5,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.7483641519569778,-0.612792397846094,2, , ,-0.2600225383852835,3
7,19,1,1,21,95, ,2, ,1,1,90, , , , ,1,2,3,1,2,0.7483641519569778,-0.5559249845101717,2, , ,-0.13955198965078722,4
7,25,1,1,12,5, , , ,1,1,4,90, , , ,1,2,3,1,2,0.7483641519569778,-0.6817995577102318,1, , ,-0.4062104855376184,2
7,26,1,1,12,2, , , ,1,3,4,5,6,90,90,1,2,3,1,2,0.7483641519569778,-0.6780759667739118,1, , ,-0.39832225892334583,2
7,27,1,1,12,98, , , ,1,1,2,3,4,90,90,1,2,3,1,2,0.7483641519569778,-0.6515135690644829,2, , ,-0.34205125167959893,3
7,28,1,1,12,95, , , ,1,1,4,90, , , ,2,2,3,1,2,0.7483641519569778,-0.6963326890673416,1, , ,-0.43699814065882603,2
7,28,2,1,12,95, , , ,1,2,5,6,90, , ,2,2,3,1,2,0.7483641519569778,-0.6963326890673416,1, , ,-0.43699814065882603,2
7,29,1,1,12,95, , , ,2, , , , , , ,1,2,3,1,2,0.7483641519569778,-0.557491520812547,2, , ,-0.14287061233624104,4
7,30,1,1,12,2, , , ,1,1,2,4,5,7,90,1,2,3,1,2,0.7483641519569778,-0.22767586090717779,3, , ,0.5558260787779137,5
8,10,1,1,13,95, , , ,1,2,6,7,90, , ,2,2,3,1,2,0.9123891715639867,-0.5881560897980331,2, , ,-0.20783184823009807,4
8,10,2,1,13,95, , , ,1,3,4,5,90, , ,2,2,3,1,2,0.9123891715639867,-0.5881560897980331,2, , ,-0.20783184823009807,4
8,17,1,1,13,98, , , ,1,1,2,3,4,5,90,1,2,3,1,2,0.9123891715639867,-0.6298476178935897,2, , ,-0.29615310240043086,3
8,19,1,1,13,98, , , ,1,1,90, , , , ,1,2,3,2,2,0.9123891715639867,0.06729169101664345,3, , ,1.1806989322207995,5
8,23,1,1,13,95, , , ,2, , , , , , ,2,2,3,1,2,0.9123891715639867,-0.6849798725840978,1, , ,-0.41294781110823814,2
