HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,ethnicity,religion,region,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,2,1,1,12,12, , , ,1,1,2,90, ,2,2,101,2,96,5,1,0.22976612925292025,-0.02698335691867937,4, , ,0.33482233145973994,4
1,2,2,1,12,12, , , ,1,3,4,90, ,2,2,101,2,96,5,1,0.22976612925292025,-0.02698335691867937,4, , ,0.33482233145973994,4
1,3,1,1,11,24, , , ,1,1,2,90, ,2,2,101,2,96,5,1,0.22976612925292025,-0.26455513089633786,3, , ,-0.029457596046850516,4
1,3,2,1,11,24, , , ,1,3,90, , ,2,2,101,2,96,5,1,0.22976612925292025,-0.26455513089633786,3, , ,-0.029457596046850516,4
1,4,1,1,12,24, , , ,1,2,4,90, ,1,2,101,3,96,1,1,0.22976612925292025,-0.5549106933466853,2, , ,-0.4746733785012708,2
1,6,1,1,12,95, , , ,1,1,3,90, ,2,2,101,3,96,5,1,0.22976612925292025,0.2698698713219786,4, , ,0.7900012891829484,5
1,6,2,1,12,95, , , ,1,2,90, , ,2,2,101,3,96,5,1,0.22976612925292025,0.2698698713219786,4, , ,0.7900012891829484,5
1,8,1,1,18,4, , , ,2, , , , ,3,2,101,2,96,1,1,0.22976612925292025,0.145213915269181,4, , ,0.5988604736143102,4
1,8,2,1,18,4, , , ,2, , , , ,3,2,101,2,96,1,1,0.22976612925292025,0.145213915269181,4, , ,0.5988604736143102,4
1,8,3,1,18,4, , , ,2, , , , ,3,2,101,2,96,1,1,0.22976612925292025,0.145213915269181,4, , ,0.5988604736143102,4
1,9,1,1,11,7, , , ,1,1,2,5,90,2,2,101,2,96,2,1,0.22976612925292025,1.2819885072920225,5, , ,2.3419301954086067,5
1,9,2,1,11,7, , , ,1,3,4,90, ,2,2,101,2,96,2,1,0.22976612925292025,1.2819885072920225,5, , ,2.3419301954086067,5
1,10,1,2,12,8, , , ,1,5,6,90, ,3,2,101,2,96,2,1,0.22976612925292025,0.8248317689573869,5, , ,1.6409503579833435,5
1,10,2,2,12,8, , , ,1,3,4,7,90,3,2,101,2,96,2,1,0.22976612925292025,0.8248317689573869,5, , ,1.6409503579833435,5
1,10,3,2,12,8, , , ,1,1,90, , ,3,2,101,2,96,2,1,0.22976612925292025,0.8248317689573869,5, , ,1.6409503579833435,5
1,11,1,1,18,13, , , ,1,1,2,90, ,3,2,101,4,96,2,1,0.22976612925292025,1.1156291571944268,5, , ,2.086843612609024,5
1,11,2,1,18,13, , , ,1,3,90, , ,3,2,101,4,96,2,1,0.22976612925292025,1.1156291571944268,5, , ,2.086843612609024,5
1,11,3,1,18,13, , , ,1,5,90, , ,3,2,101,4,96,2,1,0.22976612925292025,1.1156291571944268,5, , ,2.086843612609024,5
1,12,1,2,12,14, , , ,1,1,2,90, ,2,2,101,2,96,2,1,0.22976612925292025,0.24294372723612936,4, , ,0.7487141713936626,5
1,12,2,2,12,14, , , ,1,3,90, , ,2,2,101,2,96,2,1,0.22976612925292025,0.24294372723612936,4, , ,0.7487141713936626,5
1,13,1,1,18,0, , , ,2, , , , ,4,2,101,2,96,2,1,0.22976612925292025,-0.20618819335395497,3, , ,0.0600391628514537,4
1,13,2,1,18,4, , , ,1,2,6,90, ,4,2,101,2,96,2,1,0.22976612925292025,-0.20618819335395497,3, , ,0.0600391628514537,4
1,13,3,1,18,7, , , ,1,3,8,9,90,4,2,101,2,96,2,1,0.22976612925292025,-0.20618819335395497,3, , ,0.0600391628514537,4
1,13,4,1,18,7, , , ,1,5,7,90, ,4,2,101,2,96,2,1,0.22976612925292025,-0.20618819335395497,3, , ,0.0600391628514537,4
1,14,1,1,12,0, , , ,1,1,2,90, ,2,2,101,1,96,5,1,0.22976612925292025,-0.29991844321643973,3, , ,-0.08368181903712499,4
1,14,2,1,12,0, , , ,1,3,4,90, ,2,2,101,1,96,5,1,0.22976612925292025,-0.29991844321643973,3, , ,-0.08368181903712499,4
1,16,1,1,12,24, , , ,1,1,90, , ,1,2,101,1,96,2,1,0.22976612925292025,-0.810582770925471,1, , ,-0.8667073492313881,1
1,17,1,1,12,15, , , ,1,4,90, , ,3,2,101,2,96,7,1,0.22976612925292025,-0.4161459455650629,3, , ,-0.2618988918018809,3
1,17,2,1,12,15, , , ,1,1,2,90, ,3,2,101,2,96,7,1,0.22976612925292025,-0.4161459455650629,3, , ,-0.2618988918018809,3
1,17,3,1,12,95, , , ,2, , , , ,3,2,101,2,96,7,1,0.22976612925292025,-0.4161459455650629,3, , ,-0.2618988918018809,3
1,18,1,1,11,24, , , ,1,2,5,90, ,2,2,101,2,96,5,1,0.22976612925292025,-0.1850506536347903,3, , ,0.09245034246106967,4
1,18,2,1,11,24, , , ,1,3,4,90, ,2,2,101,2,96,5,1,0.22976612925292025,-0.1850506536347903,3, , ,0.09245034246106967,4
1,19,1,1,11,24, , , ,1,1,2,5,90,3,2,101,2,96,5,1,0.22976612925292025,0.008802210092196533,4, , ,0.38969401734330805,4
1,19,2,1,12,1, , , ,1,3,4,90, ,3,2,101,2,96,5,1,0.22976612925292025,0.008802210092196533,4, , ,0.38969401734330805,4
1,19,3,1,12,24, , , ,2, , , , ,3,2,101,2,96,5,1,0.22976612925292025,0.008802210092196533,4, , ,0.38969401734330805,4
1,20,1,1,12,5, , , ,1,1,2,90, ,2,2,101,3,96,5,1,0.22976612925292025,0.6794286896084281,5, , ,1.4179970065912928,5
1,20,2,1,11,5, , , ,1,3,5,90, ,2,2,101,3,96,5,1,0.22976612925292025,0.6794286896084281,5, , ,1.4179970065912928,5
1,21,1,2,12,12, , , ,1,2,90, , ,3,2,101,4,96,5,1,0.22976612925292025,0.9476592366688509,5, , ,1.8292874667425596,5
1,21,2,2,12,12, , , ,1,3,90, , ,3,2,101,4,96,5,1,0.22976612925292025,0.9476592366688509,5, , ,1.8292874667425596,5
1,21,3,2,31,27,1,1,99,1,1,90, , ,3,2,101,4,96,5,1,0.22976612925292025,0.9476592366688509,5, , ,1.8292874667425596,5
1,22,1,1,12,24, , , ,1,1,5,90, ,3,2,101,2,96,1,1,0.22976612925292025,-0.7520455744748389,1, , ,-0.7769495243751379,1
1,22,2,1,12,24, , , ,1,2,4,90, ,3,2,101,2,96,1,1,0.22976612925292025,-0.7520455744748389,1, , ,-0.7769495243751379,1
1,22,3,1,12,24, , , ,1,3,90, , ,3,2,101,2,96,1,1,0.22976612925292025,-0.7520455744748389,1, , ,-0.7769495243751379,1
1,23,1,1,12,95, , , ,1,3,4,90, ,1,2,101,3,96,1,1,0.22976612925292025,-0.2767560965319643,3, , ,-0.04816590807753133,4
1,24,1,1,11,5, , , ,1,2,5,90, ,1,2,101,2,96,5,1,0.22976612925292025,0.25677191414540357,4, , ,0.7699175780127154,5
1,25,1,1,12,24, , , ,1,1,2,90, ,4,2,101,2,96,5,1,0.22976612925292025,0.5211132862135724,4, , ,1.1752445840022436,5
1,25,2,1,12,24, , , ,1,3,4,90, ,4,2,101,2,96,5,1,0.22976612925292025,0.5211132862135724,4, , ,1.1752445840022436,5
1,25,3,1,12,24, , , ,1,5,90, , ,4,2,101,2,96,5,1,0.22976612925292025,0.5211132862135724,4, , ,1.1752445840022436,5
1,25,4,1,12,24, , , ,1,6,90, , ,4,2,101,2,96,5,1,0.22976612925292025,0.5211132862135724,4, , ,1.1752445840022436,5
2,1,1,1,12,98, , , ,1,1,90, , ,1,2,101,1,96,5,1,0.3734785041257784,-0.714568903360989,1, , ,-0.7194847893690954,2
2,2,1,1,12,13, , , ,1,4,6,90, ,2,2,101,2,96,5,1,0.3734785041257784,-0.28889053681005444,3, , ,-0.06677221366184466,4
2,2,2,1,12,24, , , ,2, , , , ,2,2,101,2,96,5,1,0.3734785041257784,-0.28889053681005444,3, , ,-0.06677221366184466,4
2,3,1,1,12,3, , , ,1,1,90, , ,1,2,101,1,2,5,1,0.3734785041257784,-0.7609095819322566,1, , ,-0.7905411221476478,1
2,5,1,1,12,8, , , ,1,1,90, , ,4,2,101,2,96,5,1,0.3734785041257784,-0.1998040105189808,3, , ,0.06982832938994961,4
2,5,2,2,12,8, , , ,1,2,90, , ,4,2,101,2,96,5,1,0.3734785041257784,-0.1998040105189808,3, , ,0.06982832938994961,4
2,5,3,2,12,8, , , ,1,3,90, , ,4,2,101,2,96,5,1,0.3734785041257784,-0.1998040105189808,3, , ,0.06982832938994961,4
2,5,4,2,12,8, , , ,2, , , , ,4,2,101,2,96,5,1,0.3734785041257784,-0.1998040105189808,3, , ,0.06982832938994961,4
2,6,1,1,12,6, , , ,1,3,4,90, ,2,2,101,2,96,2,1,0.3734785041257784,0.1016253761115403,4, , ,0.5320241250927187,4
2,6,2,1,12,6, , , ,1,1,2,5,90,2,2,101,2,96,2,1,0.3734785041257784,0.1016253761115403,4, , ,0.5320241250927187,4
2,7,1,1,11,12, , , ,1,1,2,6,90,6,2,101,2,96,5,1,0.3734785041257784,1.2008643129827477,5, , ,2.217538668893372,5
2,7,2,1,11,12, , , ,1,3,7,90, ,6,2,101,2,96,5,1,0.3734785041257784,1.2008643129827477,5, , ,2.217538668893372,5
2,7,3,1,12,12, , , ,1,4,5,90, ,6,2,101,2,96,5,1,0.3734785041257784,1.2008643129827477,5, , ,2.217538668893372,5
2,7,4,1,12,95, , , ,2, , , , ,6,2,101,2,96,5,1,0.3734785041257784,1.2008643129827477,5, , ,2.217538668893372,5
2,7,5,1,12,95, , , ,2, , , , ,6,2,101,2,96,5,1,0.3734785041257784,1.2008643129827477,5, , ,2.217538668893372,5
