HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,21,1,2,98,95,2,2, ,2, , , , ,2,1,0,4,0.37955810793577105,1.7569141461225573,5,1.7382375651157456,5, , 
1,21,2,2,98,95,2,2, ,2, , , , ,2,1,0,4,0.37955810793577105,1.7569141461225573,5,1.7382375651157456,5, , 
2,4,1,1,14,95, , , ,1,1,2,90, ,2,1,0,4,0.9699818313914149,1.6571859776218014,5,1.4351785811662094,5, , 
2,4,2,1,14,95, , , ,2, , , , ,2,1,0,4,0.9699818313914149,1.6571859776218014,5,1.4351785811662094,5, , 
2,7,1,1,98,1,1,2, ,2, , , , ,1,1,0,2,0.9699818313914149,0.5948231818876011,4,-1.7931830171775376,1, , 
2,8,1,1,11,4, , , ,1,1,3,90, ,1,1,0,4,0.9699818313914149,1.0964019064897588,5,-0.2689603132633299,2, , 
2,9,1,1,11,14, , , ,2, , , , ,1,1,0,4,0.9699818313914149,1.8165196708131583,5,1.9193698371916694,5, , 
2,10,1,1,98,4,2,1,4,2, , , , ,2,1,0,4,0.9699818313914149,1.3246448719761383,5,0.42463591189352595,4, , 
2,10,2,1,98,4,2,1,4,2, , , , ,2,1,0,4,0.9699818313914149,1.3246448719761383,5,0.42463591189352595,4, , 
2,11,1,1,11,1, , , ,1,1,2,3,90,1,1,0,3,0.9699818313914149,0.5418296490601854,4,-1.954222435187618,1, , 
2,13,1,2,98,13,1,2, ,2, , , , ,1,1,0,2,0.9699818313914149,0.926726961662812,4,-0.7845770858761574,1, , 
2,14,1,2,98,15,2,2, ,1,1,90, , ,4,1,0,3,0.9699818313914149,1.5355490587427454,5,1.065542182539683,5, , 
2,14,2,2,98,4,2,2, ,2, , , , ,4,1,0,3,0.9699818313914149,1.5355490587427454,5,1.065542182539683,5, , 
