HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,HH7a,HH7Aux,HH7Aux1,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,helevel,PSU,stratum,IncProb_hh_mean,stratum_SE,PSU_SE
1,2,1,1,19,36,4,4,1,0,0,0,90,1,2,60,1,1, ,1, ,0.3864852751497004,-0.7095714821068486,2,3,-1.05075389979817,1,2, , , ,3,1,1,0.132135,1,100102
1,2,2,1,13,36,4,4,2, , , , ,1,2,60,1,1, ,1, ,0.3864852751497004,-0.7095714821068486,2,3,-1.05075389979817,1,2, , , ,3,1,1,0.132135,1,100102
1,4,1,1,95,11,2, ,1,5,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,0.900727895688614,5,9,0.6318995775220627,4,8, , , ,3,1,1,0.132135,1,100104
1,6,1,1,95,98,4,4,1,1,2,3,90,1,1,60,1,1, ,1, ,0.3864852751497004,-0.40233097558592573,2,4,-0.7297084384387938,2,3, , , ,2,1,1,0.132135,1,100106
1,7,1,1,95,12,1, ,1,1,90, , ,1,1,60,1,1, ,1, ,0.3864852751497004,0.06862177255981583,3,6,-0.23759480401273161,3,5, , , ,0,1,1,0.132135,1,100107
1,8,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5264832938931614,5,10,1.2857714669730005,5,9, , , ,3,1,1,0.132135,1,100108
1,8,2,1,95,11,1, ,1,3,4,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5264832938931614,5,10,1.2857714669730005,5,9, , , ,3,1,1,0.132135,1,100108
1,8,3,1,95,12,1, ,1,5,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,1.5264832938931614,5,10,1.2857714669730005,5,9, , , ,3,1,1,0.132135,1,100108
1,9,1,1,95,98,4,4,1,1,2,90, ,1,3,60,1,1, ,1, ,0.3864852751497004,0.8167975839497417,5,9,0.5441981023508273,4,8, , , ,1,1,1,0.132135,1,100109
1,9,2,1,95,98,4,4,1,3,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,0.8167975839497417,5,9,0.5441981023508273,4,8, , , ,1,1,1,0.132135,1,100109
1,9,3,1,95,98,4,4,1,0,90, , ,1,3,60,1,1, ,1, ,0.3864852751497004,0.8167975839497417,5,9,0.5441981023508273,4,8, , , ,1,1,1,0.132135,1,100109
1,10,1,1,95,98,4,4,1,1,2,90, ,1,1,60,1,1, ,1, ,0.3864852751497004,0.043439252644411785,3,6,-0.26390882691284034,3,5, , , ,2,1,1,0.132135,1,100110
