HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN15_5,TN15_6,TN15_7,TN15_8,TN1,TN2,HH6,HH7,hhweight,helevel,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
1,9,1,1,95,18,4,4,1,1,2,90, , , , , ,1,2,1,11,1.4379616205890389,9,0.5190071822317626,4,8,-0.2568601112829058,2,4, , , ,1,111
1,9,2,1,95,98,4,4,1,3,5,4,90, , , , ,1,2,1,11,1.4379616205890389,9,0.5190071822317626,4,8,-0.2568601112829058,2,4, , , ,1,111
1,10,1,1,1,18,4,4,1,1,2,3,90, , , , ,1,1,1,11,1.4379616205890389,2,1.4386731663190075,5,9,0.4860041731171306,3,6, , , ,1,111
1,11,1,1,3,28,4,4,1,0,0,90, , , , , ,1,2,1,11,1.4379616205890389,1,1.524295627496381,5,9,0.5551660965237327,3,6, , , ,1,111
1,11,2,1,3,28,4,4,1,1,2,3,4,90, , , ,1,2,1,11,1.4379616205890389,1,1.524295627496381,5,9,0.5551660965237327,3,6, , , ,1,111
1,12,1,1,13,28,4,4,1,1,2,3,4,90, , , ,1,1,1,11,1.4379616205890389,2,0.9342969923085414,4,8,0.07859207779365217,3,5, , , ,1,111
1,14,1,1,1,18,4,96,1,1,2,90, , , , , ,1,1,1,11,1.4379616205890389,2,1.9203261126020992,5,10,0.8750614802924872,4,8, , , ,1,111
1,17,1,1,12,18,4,4,1,1,2,90, , , , , ,1,2,1,11,1.4379616205890389,2,2.5103623498891636,5,10,1.3516658722852695,5,9, , , ,1,111
1,17,2,1,12,98,4,4,1,3,4,90, , , , , ,1,2,1,11,1.4379616205890389,2,2.5103623498891636,5,10,1.3516658722852695,5,9, , , ,1,111
1,19,1,2,13,18,4,4,1,1,2,3,4,5,90, , ,1,1,1,11,1.4379616205890389,1,1.7535969643206837,5,9,0.7403852700490177,4,7, , , ,1,111
1,21,1,1,0,18,4,4,1,1,2,3,4,90, , , ,1,2,1,11,1.4379616205890389,1,1.0156985018748559,4,8,0.14434450878421312,3,5, , , ,1,111
1,21,2,1,12,18,4,4,1,5,90, , , , , , ,1,2,1,11,1.4379616205890389,1,1.0156985018748559,4,8,0.14434450878421312,3,5, , , ,1,111
1,22,1,1,95,22,8,98,2, , , , , , , , ,1,1,1,11,1.4379616205890389,2,1.912746794910503,5,10,0.868939252754849,4,8, , , ,1,111
1,24,1,1,4,23,4,4,1,1,2,5,90, , , , ,1,2,1,11,1.4379616205890389,2,2.1407171331034425,5,10,1.0530833062224898,4,8, , , ,1,111
1,24,2,1,5,23,4,4,1,3,4,90, , , , , ,1,2,1,11,1.4379616205890389,2,2.1407171331034425,5,10,1.0530833062224898,4,8, , , ,1,111
1,26,1,1,6,18,4,4,1,1,3,4,90, , , , ,1,1,1,11,1.4379616205890389,2,2.2188659349209985,5,10,1.116208348078351,5,9, , , ,1,111
2,2,1,2,3,22,4,4,1,1,5,90, , , , , ,1,1,1,11,2.3000943580243693,1,1.6336155672563855,5,9,0.6434697635350448,3,6, , , ,2,111
2,4,1,2,15,23,1, ,1,1,2,90, , , , , ,1,2,1,11,2.3000943580243693,2,1.8236224677993418,5,9,0.7969486815826671,4,7, , , ,2,111
2,4,2,2,15,23,1, ,1,3,90, , , , , , ,1,2,1,11,2.3000943580243693,2,1.8236224677993418,5,9,0.7969486815826671,4,7, , , ,2,111
2,8,1,2,12,22,4,4,1,3,7,8,9,90, , , ,1,3,1,11,2.3000943580243693,0,1.641871949181425,5,9,0.650138892715206,3,6, , , ,2,111
2,8,2,2,24,22,4,4,2, , , , , , , , ,1,3,1,11,2.3000943580243693,0,1.641871949181425,5,9,0.650138892715206,3,6, , , ,2,111
2,8,3,2,15,22,4,4,2, , , , , , , , ,1,3,1,11,2.3000943580243693,0,1.641871949181425,5,9,0.650138892715206,3,6, , , ,2,111
