HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,ethnicity,helevel,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
1,1,1,1,8,12,1, ,1,1,90, , ,1,1,10,2,1,96,2,0.4326071227614211,-0.3990295283090532,3,5, , , ,-0.24578057998445058,3,6,1,1012
1,3,1,1,10,15,2, ,2, , , , ,1,2,10,2,1,2,2,0.4326071227614211,-0.655508854883502,2,3, , , ,-0.6100978052322471,2,3,1,1012
1,3,2,1,6,15,3, ,1,1,2,3,90,1,2,10,2,1,2,2,0.4326071227614211,-0.655508854883502,2,3, , , ,-0.6100978052322471,2,3,1,1012
1,4,1,1,2,12,1, ,1,1,2,90, ,1,4,10,2,1,96,1,0.4326071227614211,-0.044360093769822445,4,7, , , ,0.25801123044059315,4,8,1,1012
1,4,2,1,2,12,1, ,1,4,5,90, ,1,4,10,2,1,96,1,0.4326071227614211,-0.044360093769822445,4,7, , , ,0.25801123044059315,4,8,1,1012
1,4,3,1,2,12,1, ,1,7,8,6,9,1,4,10,2,1,96,1,0.4326071227614211,-0.044360093769822445,4,7, , , ,0.25801123044059315,4,8,1,1012
1,4,4,1,2,14,2, ,1,3,10,90, ,1,4,10,2,1,96,1,0.4326071227614211,-0.044360093769822445,4,7, , , ,0.25801123044059315,4,8,1,1012
1,6,1,1,7,12,1, ,1,4,5,90, ,1,2,10,2,1,96,1,0.4326071227614211,-0.7880409785145968,1,2, , , ,-0.7983536626627795,1,2,1,1012
1,6,2,1,7,12,1, ,1,1,2,90, ,1,2,10,2,1,96,1,0.4326071227614211,-0.7880409785145968,1,2, , , ,-0.7983536626627795,1,2,1,1012
1,7,1,1,20,13,1, ,1,1,2,3,90,1,1,10,2,1,96,1,0.4326071227614211,0.037017700158572225,4,7, , , ,0.3736046877252447,4,8,1,1012
1,8,1,2,10,14,1, ,1,2,1,90, ,1,4,10,2,1,96,1,0.4326071227614211,0.05533737292581789,4,7, , , ,0.39962695017871863,4,8,1,1012
1,8,2,2,10,14,1, ,1,3,5,90, ,1,4,10,2,1,96,1,0.4326071227614211,0.05533737292581789,4,7, , , ,0.39962695017871863,4,8,1,1012
1,8,3,1,10,14,1, ,1,4,90, , ,1,4,10,2,1,96,1,0.4326071227614211,0.05533737292581789,4,7, , , ,0.39962695017871863,4,8,1,1012
1,8,4,2,10,14,1, ,1,6,7,90, ,1,4,10,2,1,96,1,0.4326071227614211,0.05533737292581789,4,7, , , ,0.39962695017871863,4,8,1,1012
1,9,1,1,13,13,1, ,1,4,90, , ,1,4,10,2,1,96,1,0.4326071227614211,0.25832438663072377,4,8, , , ,0.6879607764640963,5,9,1,1012
