HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH3,HH4,HH6,HH7,helevel,religion,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,psu,stratum
1,6,1,1,24,36,4,4,2, , , , ,1,1,23,20,1,0,3,2,0.4203290814584549,1.9399578936222674,5,10,1.3013057741587022,5,10, , , ,1,0
1,7,1,1,24,11,4,96,2, , , , ,1,2,22,20,1,0,3,1,0.4203290814584549,1.914689226872671,5,10,1.2628450941745373,5,10, , , ,1,0
1,7,2,1,24,14,4,96,2, , , , ,1,2,22,20,1,0,3,1,0.4203290814584549,1.914689226872671,5,10,1.2628450941745373,5,10, , , ,1,0
1,8,1,1,95,13,4,4,1,1,3,90, ,1,2,23,20,1,0,3,2,0.4203290814584549,2.4346413973949046,5,10,2.0542487022753493,5,10, , , ,1,0
1,8,2,1,95,13,4,4,1,4,90, , ,1,2,23,20,1,0,3,2,0.4203290814584549,2.4346413973949046,5,10,2.0542487022753493,5,10, , , ,1,0
1,10,1,1,7,36,4,4,2, , , , ,1,1,23,20,1,0,3,2,0.4203290814584549,2.1339378004942913,5,10,1.5965567739639135,5,10, , , ,1,0
1,14,1,1,24,26,4,4,2, , , , ,1,1,24,20,1,0,3,2,0.4203290814584549,2.0597995045369464,5,10,1.4837130967076813,5,10, , , ,1,0
1,19,1,1,1,98,4,4,1,6,90, , ,1,3,21,20,1,0,3,2,0.4203290814584549,2.175600986700939,5,10,1.6599710604276086,5,10, , , ,1,0
1,19,2,1,1,98,4,4,2, , , , ,1,3,21,20,1,0,3,2,0.4203290814584549,2.175600986700939,5,10,1.6599710604276086,5,10, , , ,1,0
1,19,3,1,3,19,4,4,1,5,90, , ,1,3,21,20,1,0,3,2,0.4203290814584549,2.175600986700939,5,10,1.6599710604276086,5,10, , , ,1,0
1,20,1,1,36,14,1, ,2, , , , ,1,5,24,20,1,0,3,2,0.4203290814584549,1.5978568688635875,5,10,0.7806040621972413,4,8, , , ,1,0
