Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1036801,MALARIA_CONF_CASES,REGION,EMR,,,YEAR,2017,,,,,,,,,1 686 025,1686025,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3177438,MALARIA_CONF_CASES,COUNTRY,LBR,AFR,Africa,YEAR,2022,,,,,,,,,696 684,696684,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5173864,MALARIA_CONF_CASES,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2023,,,,,,,,,418 437,418437,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5833062,MALARIA_CONF_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2016,,,,,,,,,43 380,43380,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
1690543,MALARIA_CONF_CASES,COUNTRY,MEX,AMR,Americas,YEAR,2021,,,,,,,,,275,275,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
8702791,MALARIA_CONF_CASES,COUNTRY,COL,AMR,Americas,YEAR,2019,,,,,,,,,82 721,82721,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
5679619,MALARIA_CONF_CASES,COUNTRY,ZAF,AFR,Africa,YEAR,2022,,,,,,,,,7280,7280,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5766383,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,Western Pacific,YEAR,2017,,,,,,,,,52 519,52519,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
5959978,MALARIA_CONF_CASES,COUNTRY,MYT,AFR,Africa,YEAR,2017,,,,,,,,,19,19,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
8130523,MALARIA_CONF_CASES,COUNTRY,VUT,WPR,Western Pacific,YEAR,2018,,,,,,,,,644,644,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3384360,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2017,,,,,,,,,551,551,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
7165370,MALARIA_CONF_CASES,COUNTRY,COG,AFR,Africa,YEAR,2017,,,,,,,,,127 939,127939,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
6379981,MALARIA_CONF_CASES,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,5382,5382,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3304346,MALARIA_CONF_CASES,COUNTRY,GAB,AFR,Africa,YEAR,2022,,,,,,,,,45 783,45783,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1783933,MALARIA_CONF_CASES,COUNTRY,MEX,AMR,Americas,YEAR,2023,,,,,,,,,342,342,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5386850,MALARIA_CONF_CASES,COUNTRY,AZE,EUR,Europe,YEAR,2015,,,,,,,,,1,1,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
8436899,MALARIA_CONF_CASES,COUNTRY,GUF,AMR,Americas,YEAR,2016,,,,,,,,,258,258,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6913394,MALARIA_CONF_CASES,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,999,999,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
5366959,MALARIA_CONF_CASES,COUNTRY,STP,AFR,Africa,YEAR,2015,,,,,,,,,2058,2058,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
7650868,MALARIA_CONF_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2020,,,,,,,,,9964,9964,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6886620,MALARIA_CONF_CASES,REGION,EUR,,,YEAR,2019,,,,,,,,,295,295,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
7411865,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,Western Pacific,YEAR,2016,,,,,,,,,54 432,54432,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
9181758,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,Africa,YEAR,2020,,,,,,,,,75 801,75801,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6013218,MALARIA_CONF_CASES,COUNTRY,MYS,WPR,Western Pacific,YEAR,2015,,,,,,,,,2311,2311,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
4913752,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,Western Pacific,YEAR,2021,,,,,,,,,84 139,84139,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
3818203,MALARIA_CONF_CASES,COUNTRY,BRA,AMR,Americas,YEAR,2021,,,,,,,,,163 585,163585,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
7844593,MALARIA_CONF_CASES,COUNTRY,AZE,EUR,Europe,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
8203790,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,Africa,YEAR,2018,,,,,,,,,87 448,87448,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
