Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4860177,MALARIA_EST_INCIDENCE,COUNTRY,GIN,AFR,Africa,YEAR,2022,,,,,,,,,310.90 [191.64-489.69],310.90497,191.63617,489.69058,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6606519,MALARIA_EST_INCIDENCE,COUNTRY,KEN,AFR,Africa,YEAR,2016,,,,,,,,,64.80 [45.70-89.21],64.79533,45.69992,89.20984,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3277568,MALARIA_EST_INCIDENCE,COUNTRY,KEN,AFR,Africa,YEAR,2007,,,,,,,,,78.54 [57.13-106.21],78.53995,57.12752,106.20508,,2024-12-10T17:44:48Z,2007,2007-01-01,2007-12-31
8396950,MALARIA_EST_INCIDENCE,COUNTRY,TKM,EUR,Europe,YEAR,2000,,,,,,,,,0.08 [0.08-0.08],0.08057,0.08057,0.08057,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
6926566,MALARIA_EST_INCIDENCE,COUNTRY,UZB,EUR,Europe,YEAR,2004,,,,,,,,,2.54 [2.54-2.54],2.53563,2.53563,2.53563,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
1950637,MALARIA_EST_INCIDENCE,COUNTRY,MDG,AFR,Africa,YEAR,2003,,,,,,,,,65.30 [1.69-149.23],65.29889,1.68869,149.23325,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
8875144,MALARIA_EST_INCIDENCE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,33.01 [24.59-43.19],33.00596,24.58902,43.18659,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
7278441,MALARIA_EST_INCIDENCE,COUNTRY,ZMB,AFR,Africa,YEAR,2007,,,,,,,,,193.14 [147.21-251.36],193.14243,147.20595,251.35558,,2024-12-10T17:44:48Z,2007,2007-01-01,2007-12-31
470673,MALARIA_EST_INCIDENCE,COUNTRY,MDG,AFR,Africa,YEAR,2002,,,,,,,,,51.20 [1.26-116.20],51.19769,1.26312,116.19771,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
9068155,MALARIA_EST_INCIDENCE,COUNTRY,MWI,AFR,Africa,YEAR,2000,,,,,,,,,451.86 [358.08-561.49],451.85615,358.07503,561.48887,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
2530031,MALARIA_EST_INCIDENCE,COUNTRY,VUT,WPR,Western Pacific,YEAR,2004,,,,,,,,,148.56 [103.52-200.07],148.55793,103.51901,200.06781,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
4407295,MALARIA_EST_INCIDENCE,REGION,AMR,,,YEAR,2000,,,,,,,,,13.50 [12.14-14.94],13.49585,12.14211,14.94106,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
2730636,MALARIA_EST_INCIDENCE,COUNTRY,CRI,AMR,Americas,YEAR,2019,,,,,,,,,0.05 [0.05-0.05],0.05429,0.05429,0.05429,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2903704,MALARIA_EST_INCIDENCE,COUNTRY,GAB,AFR,Africa,YEAR,2016,,,,,,,,,226.80 [118.79-393.00],226.79838,118.79312,393.00139,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4760122,MALARIA_EST_INCIDENCE,COUNTRY,STP,AFR,Africa,YEAR,2014,,,,,,,,,8.91,8.9141,,,,2024-12-10T17:44:48Z,2014,2014-01-01,2014-12-31
1623943,MALARIA_EST_INCIDENCE,COUNTRY,PNG,WPR,Western Pacific,YEAR,2020,,,,,,,,,149.77 [103.59-201.36],149.77162,103.58865,201.36264,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1790563,MALARIA_EST_INCIDENCE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,83.30 [35.54-361.17],83.29823,35.53825,361.16555,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
