Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1436852,MALARIA_EST_MORTALITY,COUNTRY,SLB,WPR,Western Pacific,YEAR,2009,,,,,,,,,27.68 [12.67-50.88],27.68252,12.67158,50.88126,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
8290330,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2008,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
6626501,MALARIA_EST_MORTALITY,COUNTRY,KEN,AFR,Africa,YEAR,2009,,,,,,,,,23.41 [22.88-23.98],23.40821,22.87863,23.9774,,2024-12-10T17:44:48Z,2009,2009-01-01,2009-12-31
8483528,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2023,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1743768,MALARIA_EST_MORTALITY,COUNTRY,GHA,AFR,Africa,YEAR,2002,,,,,,,,,86.51 [83.38-90.01],86.50521,83.38391,90.01243,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
8603642,MALARIA_EST_MORTALITY,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
5200472,MALARIA_EST_MORTALITY,COUNTRY,GHA,AFR,Africa,YEAR,2006,,,,,,,,,64.92 [62.74-67.32],64.92424,62.7367,67.32,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
3591175,MALARIA_EST_MORTALITY,COUNTRY,CHN,WPR,Western Pacific,YEAR,2004,,,,,,,,,0.01 [0.01-0.01],0.00569,0.00569,0.00569,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
8735357,MALARIA_EST_MORTALITY,COUNTRY,UZB,EUR,Europe,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
8835098,MALARIA_EST_MORTALITY,COUNTRY,CMR,AFR,Africa,YEAR,2020,,,,,,,,,51.59 [42.95-62.78],51.59371,42.94825,62.78014,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
2110394,MALARIA_EST_MORTALITY,COUNTRY,BEN,AFR,Africa,YEAR,2006,,,,,,,,,167.11 [156.93-178.05],167.10682,156.9265,178.04635,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
7338508,MALARIA_EST_MORTALITY,COUNTRY,AGO,AFR,Africa,YEAR,2023,,,,,,,,,44.00 [30.49-68.91],43.99739,30.4926,68.90637,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2443427,MALARIA_EST_MORTALITY,COUNTRY,SLE,AFR,Africa,YEAR,2008,,,,,,,,,225.12 [210.56-240.30],225.11664,210.56124,240.29971,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
6180071,MALARIA_EST_MORTALITY,COUNTRY,CIV,AFR,Africa,YEAR,2021,,,,,,,,,37.95 [32.63-44.30],37.94906,32.62512,44.29527,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
7937620,MALARIA_EST_MORTALITY,COUNTRY,KHM,WPR,Western Pacific,YEAR,2017,,,,,,,,,2.94 [1.46-4.59],2.93851,1.46051,4.59142,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
2843826,MALARIA_EST_MORTALITY,COUNTRY,PRY,AMR,Americas,YEAR,2016,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
