Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5033503,MALARIA_IMPORTED,COUNTRY,ZAF,AFR,Africa,YEAR,2020,,,,,,,,,3663,3663,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
3337562,MALARIA_IMPORTED,COUNTRY,GUY,AMR,Americas,YEAR,2021,,,,,,,,,64,64,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
3764570,MALARIA_IMPORTED,COUNTRY,ZAF,AFR,Africa,YEAR,2023,,,,,,,,,4599,4599,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
4124576,MALARIA_IMPORTED,REGION,SEAR,,,YEAR,2019,,,,,,,,,2080,2080,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3531151,MALARIA_IMPORTED,COUNTRY,HND,AMR,Americas,YEAR,2023,,,,,,,,,38,38,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2577015,MALARIA_IMPORTED,COUNTRY,PAN,AMR,Americas,YEAR,2015,,,,,,,,,16,16,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3257600,MALARIA_IMPORTED,REGION,AFR,,,YEAR,2018,,,,,,,,,15 863,15863,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7597565,MALARIA_IMPORTED,COUNTRY,MEX,AMR,Americas,YEAR,2022,,,,,,,,,77,77,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8728772,MALARIA_IMPORTED,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2020,,,,,,,,,7,7,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5133981,MALARIA_IMPORTED,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2019,,,,,,,,,6,6,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3551303,MALARIA_IMPORTED,COUNTRY,ZAF,AFR,Africa,YEAR,2018,,,,,,,,,5742,5742,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
4257748,MALARIA_IMPORTED,COUNTRY,KOR,WPR,Western Pacific,YEAR,2017,,,,,,,,,79,79,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
