Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5266524,MALARIA_INDIG,COUNTRY,GAB,AFR,Africa,YEAR,2022,,,,,,,,,45 783,45783,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
9308427,MALARIA_INDIG,COUNTRY,PAN,AMR,Americas,YEAR,2020,,,,,,,,,1948,1948,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
8037185,MALARIA_INDIG,COUNTRY,KOR,WPR,Western Pacific,YEAR,2015,,,,,,,,,627,627,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
8456865,MALARIA_INDIG,COUNTRY,HND,AMR,Americas,YEAR,2022,,,,,,,,,3534,3534,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8576958,MALARIA_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
8583617,MALARIA_INDIG,COUNTRY,TCD,AFR,Africa,YEAR,2018,,,,,,,,,1 364 706,1364706,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3698163,MALARIA_INDIG,COUNTRY,GHA,AFR,Africa,YEAR,2021,,,,,,,,,5 747 585,5747585,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2356577,MALARIA_INDIG,REGION,EMR,,,YEAR,2019,,,,,,,,,2 595 081,2595081,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
9174972,MALARIA_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2019,,,,,,,,,11 734 926,11734926,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2636771,MALARIA_INDIG,COUNTRY,AGO,AFR,Africa,YEAR,2020,,,,,,,,,7 343 696,7343696,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
8063776,MALARIA_INDIG,COUNTRY,ZAF,AFR,Africa,YEAR,2022,,,,,,,,,2043,2043,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
3270944,MALARIA_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2015,,,,,,,,,7022,7022,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6893228,MALARIA_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5226750,MALARIA_INDIG,COUNTRY,ZMB,AFR,Africa,YEAR,2020,,,,,,,,,8 121 215,8121215,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
910210,MALARIA_INDIG,COUNTRY,SEN,AFR,Africa,YEAR,2016,,,,,,,,,349 540,349540,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
2630144,MALARIA_INDIG,COUNTRY,COD,AFR,Africa,YEAR,2022,,,,,,,,,27 296 419,27296419,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7857801,MALARIA_INDIG,COUNTRY,ZAF,AFR,Africa,YEAR,2020,,,,,,,,,4463,4463,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
4460281,MALARIA_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2020,,,,,,,,,1819,1819,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
4813541,MALARIA_INDIG,COUNTRY,PNG,WPR,Western Pacific,YEAR,2020,,,,,,,,,750 254,750254,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1810665,MALARIA_INDIG,COUNTRY,PER,AMR,Americas,YEAR,2022,,,,,,,,,27 785,27785,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7957465,MALARIA_INDIG,COUNTRY,IND,SEAR,South-East Asia,YEAR,2022,,,,,,,,,176 522,176522,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1143373,MALARIA_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2018,,,,,,,,,37,37,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7345286,MALARIA_INDIG,COUNTRY,TJK,EUR,Europe,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2630194,MALARIA_INDIG,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,369 817,369817,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
1030224,MALARIA_INDIG,COUNTRY,SEN,AFR,Africa,YEAR,2019,,,,,,,,,354 663,354663,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
6186848,MALARIA_INDIG,COUNTRY,GUY,AMR,Americas,YEAR,2022,,,,,,,,,20 730,20730,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7970877,MALARIA_INDIG,COUNTRY,HND,AMR,Americas,YEAR,2021,,,,,,,,,1542,1542,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
2923947,MALARIA_INDIG,COUNTRY,ETH,AFR,Africa,YEAR,2020,,,,,,,,,1 743 755,1743755,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
