Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8788541,MALARIA_PF_INDIG,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,6369,6369,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
285111,MALARIA_PF_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2020,,,,,,,,,2 890 193,2890193,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
956903,MALARIA_PF_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2022,,,,,,,,,234,234,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7570853,MALARIA_PF_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2015,,,,,,,,,17,17,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
5526137,MALARIA_PF_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
2724010,MALARIA_PF_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
5753023,MALARIA_PF_INDIG,COUNTRY,TJK,EUR,Europe,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
5839857,MALARIA_PF_INDIG,COUNTRY,IND,SEAR,South-East Asia,YEAR,2023,,,,,,,,,134 629,134629,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
1517081,MALARIA_PF_INDIG,COUNTRY,NGA,AFR,Africa,YEAR,2016,,,,,,,,,13 598 282,13598282,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3344372,MALARIA_PF_INDIG,COUNTRY,TUR,EUR,Europe,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6806835,MALARIA_PF_INDIG,COUNTRY,MWI,AFR,Africa,YEAR,2015,,,,,,,,,3 661 238,3661238,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
