Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7897763,MALARIA_PRES_CASES,COUNTRY,VNM,WPR,Western Pacific,YEAR,2019,,,,,,,,,1222,1222,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2883930,MALARIA_PRES_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3751414,MALARIA_PRES_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
523869,MALARIA_PRES_CASES,COUNTRY,KEN,AFR,Africa,YEAR,2018,,,,,,,,,8 557 644,8557644,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5087014,MALARIA_PRES_CASES,COUNTRY,COG,AFR,Africa,YEAR,2022,,,,,,,,,216 863,216863,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8510117,MALARIA_PRES_CASES,COUNTRY,COD,AFR,Africa,YEAR,2023,,,,,,,,,1 972 415,1972415,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
8762090,MALARIA_PRES_CASES,COUNTRY,DOM,AMR,Americas,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5592721,MALARIA_PRES_CASES,COUNTRY,MYS,WPR,Western Pacific,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
3925000,MALARIA_PRES_CASES,COUNTRY,SEN,AFR,Africa,YEAR,2018,,,,,,,,,5801,5801,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
9695167,MALARIA_PRES_CASES,COUNTRY,MYS,WPR,Western Pacific,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3291027,MALARIA_PRES_CASES,COUNTRY,MYS,WPR,Western Pacific,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3311014,MALARIA_PRES_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,100 450,100450,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4184329,MALARIA_PRES_CASES,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2016,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4626887,MALARIA_PRES_CASES,COUNTRY,CMR,AFR,Africa,YEAR,2017,,,,,,,,,1 363 110,1363110,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3017294,MALARIA_PRES_CASES,COUNTRY,CRI,AMR,Americas,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6439962,MALARIA_PRES_CASES,COUNTRY,VUT,WPR,Western Pacific,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5532901,MALARIA_PRES_CASES,COUNTRY,SLB,WPR,Western Pacific,YEAR,2023,,,,,,,,,23 669,23669,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
7265169,MALARIA_PRES_CASES,COUNTRY,VUT,WPR,Western Pacific,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
2356652,MALARIA_PRES_CASES,COUNTRY,GHA,AFR,Africa,YEAR,2016,,,,,,,,,6 022 349,6022349,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
7657547,MALARIA_PRES_CASES,COUNTRY,VNM,WPR,Western Pacific,YEAR,2018,,,,,,,,,2057,2057,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
8376974,MALARIA_PRES_CASES,COUNTRY,PRY,AMR,Americas,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1190284,MALARIA_PRES_CASES,COUNTRY,GMB,AFR,Africa,YEAR,2017,,,,,,,,,5628,5628,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
1590613,MALARIA_PRES_CASES,COUNTRY,BLZ,AMR,Americas,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3564615,MALARIA_PRES_CASES,COUNTRY,BDI,AFR,Africa,YEAR,2023,,,,,,,,,14 000,14000,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
4680386,MALARIA_PRES_CASES,COUNTRY,ARM,EUR,Europe,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5953411,MALARIA_PRES_CASES,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
8017510,MALARIA_PRES_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,194 784,194784,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4827000,MALARIA_PRES_CASES,COUNTRY,RWA,AFR,Africa,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
3377804,MALARIA_PRES_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
3571306,MALARIA_PRES_CASES,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
2543634,MALARIA_PRES_CASES,COUNTRY,HTI,AMR,Americas,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
6340107,MALARIA_PRES_CASES,COUNTRY,NGA,AFR,Africa,YEAR,2022,,,,,,,,,1 918 061,1918061,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1370705,MALARIA_PRES_CASES,COUNTRY,BFA,AFR,Africa,YEAR,2016,,,,,,,,,20 407,20407,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
1423783,MALARIA_PRES_CASES,COUNTRY,MLI,AFR,Africa,YEAR,2015,,,,,,,,,1 089 068,1089068,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
9081716,MALARIA_PRES_CASES,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,1 816 930,1816930,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
