Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1450227,MALARIA_PV_INDIG,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,120 785,120785,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8610299,MALARIA_PV_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2023,,,,,,,,,591,591,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
6193337,MALARIA_PV_INDIG,COUNTRY,GTM,AMR,Americas,YEAR,2017,,,,,,,,,4121,4121,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
5380092,MALARIA_PV_INDIG,COUNTRY,DZA,AFR,Africa,YEAR,2018,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5532845,MALARIA_PV_INDIG,COUNTRY,KHM,WPR,Western Pacific,YEAR,2017,,,,,,,,,15 207,15207,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3878162,MALARIA_PV_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2016,,,,,,,,,69,69,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3524452,MALARIA_PV_INDIG,COUNTRY,DZA,AFR,Africa,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
3591249,MALARIA_PV_INDIG,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2023,,,,,,,,,1 761 637,1761637,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5779735,MALARIA_PV_INDIG,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2015,,,,,,,,,24,24,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
7764299,MALARIA_PV_INDIG,COUNTRY,GUF,AMR,Americas,YEAR,2022,,,,,,,,,9,9,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
3017300,MALARIA_PV_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2023,,,,,,,,,9151,9151,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
4840249,MALARIA_PV_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
6800147,MALARIA_PV_INDIG,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2016,,,,,,,,,433,433,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
1076640,MALARIA_PV_INDIG,COUNTRY,ERI,AFR,Africa,YEAR,2018,,,,,,,,,6108,6108,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
6340018,MALARIA_PV_INDIG,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2018,,,,,,,,,1672,1672,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
8895353,MALARIA_PV_INDIG,REGION,AFR,,,YEAR,2016,,,,,,,,,579 268,579268,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
7245175,MALARIA_PV_INDIG,COUNTRY,MYS,WPR,Western Pacific,YEAR,2023,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2510126,MALARIA_PV_INDIG,REGION,EUR,,,YEAR,2015,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
9408857,MALARIA_PV_INDIG,COUNTRY,ERI,AFR,Africa,YEAR,2022,,,,,,,,,8506,8506,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
7411864,MALARIA_PV_INDIG,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2017,,,,,,,,,4442,4442,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
5779807,MALARIA_PV_INDIG,COUNTRY,NIC,AMR,Americas,YEAR,2021,,,,,,,,,12 364,12364,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
9295216,MALARIA_PV_INDIG,REGION,EMR,,,YEAR,2017,,,,,,,,,521 525,521525,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
7485478,MALARIA_PV_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2022,,,,,,,,,9787,9787,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6920144,MALARIA_PV_INDIG,COUNTRY,KGZ,EUR,Europe,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
7265270,MALARIA_PV_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2021,,,,,,,,,9714,9714,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
