Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6653181,MALARIA_TOTAL_CASES,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,400 316,400316,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
5140438,MALARIA_TOTAL_CASES,COUNTRY,MWI,AFR,Africa,YEAR,2019,,,,,,,,,5 151 732,5151732,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3504290,MALARIA_TOTAL_CASES,COUNTRY,MDG,AFR,Africa,YEAR,2022,,,,,,,,,1 693 321,1693321,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
8663118,MALARIA_TOTAL_CASES,COUNTRY,CAF,AFR,Africa,YEAR,2017,,,,,,,,,1 296 277,1296277,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4520145,MALARIA_TOTAL_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,125 788,125788,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6939956,MALARIA_TOTAL_CASES,COUNTRY,MLI,AFR,Africa,YEAR,2019,,,,,,,,,3 607 237,3607237,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3804728,MALARIA_TOTAL_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,105 445,105445,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
9255117,MALARIA_TOTAL_CASES,COUNTRY,MOZ,AFR,Africa,YEAR,2017,,,,,,,,,9 981 277,9981277,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
2516740,MALARIA_TOTAL_CASES,COUNTRY,ZAF,AFR,Africa,YEAR,2015,,,,,,,,,4959,4959,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
2556863,MALARIA_TOTAL_CASES,COUNTRY,BRA,AMR,Americas,YEAR,2017,,,,,,,,,238 517,238517,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
9508535,MALARIA_TOTAL_CASES,COUNTRY,LAO,WPR,Western Pacific,YEAR,2022,,,,,,,,,2340,2340,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1183552,MALARIA_TOTAL_CASES,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,705,705,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3017278,MALARIA_TOTAL_CASES,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2023,,,,,,,,,63,63,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
6673241,MALARIA_TOTAL_CASES,COUNTRY,MYT,AFR,Africa,YEAR,2016,,,,,,,,,28,28,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
1770525,MALARIA_TOTAL_CASES,COUNTRY,VNM,WPR,Western Pacific,YEAR,2021,,,,,,,,,467,467,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
1957413,MALARIA_TOTAL_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,174 894,174894,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
3718221,MALARIA_TOTAL_CASES,COUNTRY,PAN,AMR,Americas,YEAR,2016,,,,,,,,,811,811,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
2057180,MALARIA_TOTAL_CASES,COUNTRY,SLV,AMR,Americas,YEAR,2016,,,,,,,,,14,14,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6006506,MALARIA_TOTAL_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2017,,,,,,,,,76 804,76804,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
983693,MALARIA_TOTAL_CASES,COUNTRY,MDG,AFR,Africa,YEAR,2023,,,,,,,,,2 861 319,2861319,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
4426992,MALARIA_TOTAL_CASES,COUNTRY,MDG,AFR,Africa,YEAR,2016,,,,,,,,,1 216 077,1216077,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4460319,MALARIA_TOTAL_CASES,REGION,SEAR,,,YEAR,2016,,,,,,,,,1 477 428,1477428,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
2817420,MALARIA_TOTAL_CASES,REGION,EMR,,,YEAR,2020,,,,,,,,,4 200 782,4200782,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
4866956,MALARIA_TOTAL_CASES,COUNTRY,BFA,AFR,Africa,YEAR,2020,,,,,,,,,11 567 698,11567698,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5306712,MALARIA_TOTAL_CASES,COUNTRY,BEN,AFR,Africa,YEAR,2022,,,,,,,,,2 653 438,2653438,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
1096704,MALARIA_TOTAL_CASES,COUNTRY,MLI,AFR,Africa,YEAR,2015,,,,,,,,,3 543 576,3543576,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
8024134,MALARIA_TOTAL_CASES,REGION,WPR,,,YEAR,2018,,,,,,,,,1 104 615,1104615,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3024009,MALARIA_TOTAL_CASES,COUNTRY,NER,AFR,Africa,YEAR,2020,,,,,,,,,5 235 815,5235815,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
3878236,MALARIA_TOTAL_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2023,,,,,,,,,1384,1384,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
2937351,MALARIA_TOTAL_CASES,COUNTRY,CRI,AMR,Americas,YEAR,2018,,,,,,,,,152,152,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
3217761,MALARIA_TOTAL_CASES,COUNTRY,AGO,AFR,Africa,YEAR,2016,,,,,,,,,4 301 146,4301146,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4927048,MALARIA_TOTAL_CASES,COUNTRY,BEN,AFR,Africa,YEAR,2023,,,,,,,,,2 069 294,2069294,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
7185244,MALARIA_TOTAL_CASES,COUNTRY,MRT,AFR,Africa,YEAR,2020,,,,,,,,,144 709,144709,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
9054937,MALARIA_TOTAL_CASES,COUNTRY,NAM,AFR,Africa,YEAR,2017,,,,,,,,,66 141,66141,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
9228542,MALARIA_TOTAL_CASES,COUNTRY,CPV,AFR,Africa,YEAR,2016,,,,,,,,,77,77,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
3317781,MALARIA_TOTAL_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2021,,,,,,,,,4382,4382,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
32771,MALARIA_TOTAL_CASES,COUNTRY,UGA,AFR,Africa,YEAR,2023,,,,,,,,,16 525 582,16525582,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
