2010,2011,2012,2013,2014,2015,2016,2017
63.11829,63.63965,59.649097,58.729702,53.763153,57.690342,55.94882,58.85188
69.8169,70.014755,64.53836,66.33407,56.391884,56.096024,56.372093,59.92977
72.057594,80.05973,71.99676,67.75385,61.429768,62.477787,57.387306,76.25538
65.039665,64.864334,62.622242,60.711594,54.02755,56.857956,54.531364,59.329502
70.285965,73.56473,66.38934,65.94965,59.27372,61.95436,56.84453,66.58917
69.40115,67.612686,63.730736,67.34476,57.560837,57.815456,54.933403,59.780224
70.79192,69.18064,65.412636,67.58195,57.41417,54.663445,52.882935,61.962406
62.052322,62.990673,62.251026,59.254654,53.825356,60.079224,54.245556,61.12815
63.143627,56.92203,75.86359,79.61514,67.87157,63.27738,62.211098,61.30935
67.14332,64.68369,63.989765,68.60074,56.897068,56.194973,55.314404,59.67316
65.344,62.15148,64.36971,64.68694,56.068157,53.258736,56.13156,56.872463
79.84236,85.12561,78.922775,76.19622,65.384796,71.15213,48.733017,79.162056
68.538025,69.88901,67.588554,66.613785,57.697464,62.860306,51.915993,66.041534
66.455124,66.211205,63.678787,63.497997,55.94812,56.51378,55.073444,61.45941
68.90019,67.495125,62.82782,66.24764,56.622482,55.9605,54.51944,59.888412
72.40027,76.24023,74.05965,70.88251,61.468716,64.286896,53.555496,71.37283
63.115047,59.792774,71.640625,73.4023,63.57564,64.91748,60.03874,61.600708
71.31279,69.91565,68.07552,67.77686,57.98256,54.296528,51.91432,64.305405
67.20321,66.09577,62.425774,65.262085,56.30008,57.04585,55.518375,59.589863
79.4904,82.831696,73.85151,78.10128,67.935356,67.17873,58.27627,72.335075
62.315826,63.26409,59.976788,59.15311,53.63183,57.434517,56.68314,59.21688
66.26726,67.2943,68.343216,65.43166,57.470055,59.621643,54.705315,64.19096
63.592957,62.898678,62.737637,61.881523,54.899014,60.68096,53.182274,60.64631
63.66824,63.040142,61.945145,63.19831,54.487972,56.229717,55.545235,59.60276
73.99672,75.79458,69.604836,72.92719,63.639236,64.1271,57.970875,66.758316
60.580986,56.04911,71.72242,71.847244,62.61513,62.7372,58.36421,60.915947
65.69085,59.961365,69.14168,70.23495,59.052475,51.622135,57.782097,56.53023
65.20465,65.54662,64.932274,65.24591,58.136433,60.264874,58.168583,61.614685
65.66753,64.443054,71.74683,75.75788,64.989624,62.756954,62.671165,63.344933
62.80014,53.68146,76.787796,79.0086,66.12335,54.984962,59.89115,58.79839
66.22476,67.93239,71.33425,67.75487,59.339355,61.33851,54.970627,66.83646
64.760315,68.334145,64.625626,61.519005,56.459515,59.918594,57.463394,65.29312
69.711975,69.662865,65.70614,67.809135,57.287834,58.675964,54.51144,61.9201
64.144554,64.44224,61.577843,61.57422,54.963196,57.242912,56.409847,60.148163
67.368774,67.41003,62.867523,64.4763,55.360382,56.06345,56.892673,58.792652
67.34801,64.8145,65.256805,67.60659,57.36867,60.508114,53.2618,60.547413
72.995186,76.53599,67.76154,68.21962,60.843025,62.99443,56.57971,68.141846
67.16374,73.32628,84.22488,78.46275,68.845955,71.169304,55.892418,80.045746
57.72954,49.285797,79.17904,78.72812,67.69291,61.126213,59.61752,62.603043
62.494747,62.718975,61.70256,60.82573,54.084442,55.159103,58.573723,58.627575
71.48155,67.31259,67.26315,73.5639,60.010944,58.716194,54.556984,59.936714
72.0693,75.15016,66.919464,67.415436,60.208923,62.628277,56.607796,66.88583
67.646,67.74776,64.85478,65.66431,56.38961,59.22561,54.20308,61.817696
72.79199,76.76608,71.73918,69.2361,60.15821,65.52486,51.85321,71.11107
64.6402,64.68951,60.9909,62.039875,55.07819,57.41735,56.4852,59.46006
62.239986,63.208054,59.929943,58.81866,53.69232,58.23164,56.2669,59.41637
70.382286,74.03189,71.98816,68.105156,59.899025,68.357346,48.67112,72.60689
65.57764,65.07395,63.14961,64.43167,57.351166,60.0339,57.59465,59.608852
66.49549,66.32101,68.76943,65.81151,56.350815,51.505997,55.725628,64.60082
61.257828,62.422466,64.27476,61.65111,54.704563,54.902832,60.249306,60.850395
69.19432,68.2899,66.19064,65.90718,57.070087,55.223984,53.296364,63.0947
63.900585,64.13527,60.865074,61.55091,54.692,56.907993,56.538696,59.62513
64.16028,64.06312,61.45506,61.369133,55.497032,59.047276,56.824524,59.18396
76.895226,78.79278,73.78974,75.382576,62.70944,65.29383,50.199253,71.377464
73.04596,76.16259,69.24282,70.817825,62.48805,63.670635,57.753796,68.23434
63.30236,61.298473,63.65791,63.41458,56.46416,57.07304,56.30757,58.432434
73.73226,71.15766,67.12326,73.893936,59.481567,57.369392,53.364433,60.844032
78.51171,81.73993,75.29033,75.84733,63.55984,66.02601,51.05309,73.35356
69.64505,70.03229,65.644226,65.696396,58.020107,58.86317,54.983967,63.339878
65.15067,65.95738,63.774258,62.80954,56.304253,58.526928,57.78327,61.269535
72.62434,70.71174,66.817184,68.85562,58.52089,55.46005,52.244114,62.581104
64.080605,64.27829,60.82162,61.22992,54.95564,58.702393,56.339813,59.389107
63.483208,63.71499,60.194553,59.737514,53.615414,55.475807,56.828392,58.242775
72.46338,76.96241,71.19411,67.9166,59.581005,64.6752,52.969032,70.578255
68.3422,69.64595,64.9567,64.47706,57.669945,59.784107,56.00798,63.521065
63.344032,63.040512,60.837246,59.907486,54.515415,57.83827,55.59369,58.75599
79.74711,85.50026,78.15163,75.04884,64.72261,69.61493,50.940247,78.20901
69.017685,66.81395,64.454605,69.58435,57.06622,55.865765,54.601837,59.78771
65.017265,65.17118,62.01175,61.821842,54.25902,56.278557,56.333057,58.772118
68.95476,66.422745,65.44829,68.485306,58.452057,61.262997,54.41939,60.09714
64.27843,64.435585,60.687943,61.63448,55.028522,58.054317,56.765182,59.206573
76.961334,77.06755,71.97569,72.587425,61.53304,56.11214,50.946384,69.06301
61.970753,60.289413,66.6489,66.2582,58.87649,62.168633,57.26934,60.6203
62.545715,63.31822,62.58706,61.221973,54.618454,56.07388,57.881004,60.598003
71.70789,70.45675,67.83231,68.19386,57.621647,54.57998,54.284252,60.641056
64.63089,64.22278,61.468758,60.98442,53.572865,54.175163,56.32178,57.812546
73.4379,70.80743,65.62275,70.32407,59.525944,58.536266,53.510624,60.22352
75.65756,76.6513,70.24407,73.58171,60.721832,60.244225,53.925102,65.99786
77.775375,78.994156,69.3749,72.56967,62.859608,62.338947,54.12283,67.321
65.33949,63.943165,63.439827,64.538765,55.95556,59.775806,53.938316,60.30995
61.09548,62.02342,62.42077,62.089355,53.963448,53.157818,61.25009,58.800293
66.822624,59.61732,82.94603,82.39377,68.16299,52.106262,59.15701,64.94586
68.78265,67.0868,63.92947,68.85158,56.663956,54.829086,55.785454,59.27158
69.35827,68.42524,63.95229,67.635216,56.543056,55.836338,56.160145,59.045715
