ISO3,region,admin_unit,PfPR_obs,PfPR_sim,incidence_obs,incidence_sim,mortality,biting_rate,p_sympt,ITN_coverage,population,pop_multiplier,treatment_seeking
ERI,Semenawi Keih Bahri,Eritrea,0.010050184341505099,0.01005762740122705,25.6410539231702,25.660257673347573,4.45187596662133,0.21048878021645637,0.71997343345413,0.574,1740304.95040715,0.8295618453683248,10
KEN,Uasin Gishu,Kenya,0.012513559406177299,0.012524414434290358,23.977795062781095,23.998950655598488,7.5498597304094,0.19651297452479582,0.6425739349928042,0.5366,1123296.5780029304,0.5354486763518241,10
KEN,Wajir,Kenya,0.0160628801529987,0.016069504126213923,32.1594275632218,32.17335886734014,2.95993647695793,0.21825633233111122,0.6525909903332313,0.5366,1014365.79326439,0.4835239704064769,10
SOM,Woqooyi Galbeed,Somalia,0.0184260603851403,0.018474200112185594,37.4142758613554,37.51783176989027,5.9551194889165,0.21699344540521992,0.6678906467972877,0.18239999999999998,1914437.9451475102,0.9125668890662874,10
KEN,Samburu,Kenya,0.020979741485648802,0.02098037678135425,40.1497795067381,40.14306845387885,3.91505474331629,0.3637758431755695,0.6210716996761687,0.5366,306455.853867054,0.1460801933582976,10
GMB,North Bank,Gambia,0.0231817953329399,0.02317133118947055,58.4727035794416,58.44796478235077,15.5925,0.4400018268977367,0.688546468388355,0.6153,241833.851459503,0.11527642672184543,10
SOM,Bari,Somalia,0.024022239255946598,0.02406587155085788,47.3357470103006,47.42496394102032,9.90344457607103,0.23259952845411086,0.6530814713046501,0.18239999999999998,1046016.04186332,0.49861088872383963,10
TZA,Kaskazini Unguja,Tanzania,0.0255244622299582,0.025520691219280387,47.8644353385507,47.85761409881519,25.4767,0.39713738523440323,0.6096817859067809,0.5513,247106.63621521002,0.11778983740377846,10
GMB,West Coast,Gambia,0.0289402067566044,0.02895171728289951,72.4472178221965,72.48289750620809,19.3831,0.26692584114873064,0.7052078143364426,0.6153,1018470.3862380998,0.4854805319395346,10
SEN,Tambacounda,Senegal,0.0323146897600603,0.03235655172500492,79.3261005937136,79.44137969163542,28.4998,0.282341931289854,0.6962297198397525,0.6981,768471.236091614,0.36631190216145343,10
TZA,Simiyu,Tanzania,0.034866211658629805,0.03495393877025375,62.57590483015001,62.760068704749955,18.8253,0.22984481092492326,0.6227171348928697,0.5513,2041638.6122817998,0.973200412021742,10
ETH,Benishangul Gumz,Ethiopia,0.0384917993533752,0.03851635883644039,92.0708499161732,92.12717508148309,11.4262,0.2691812616247203,0.6995727922592399,0.3109,1094134.61111069,0.5215478625524741,10
KEN,Homa Bay,Kenya,0.0429156556022511,0.042930955551961275,78.7846617331723,78.8157459595292,8.40754159608163,0.24618177216950335,0.6228798357556159,0.5366,1151422.27706909,0.5488555260043169,10
MRT,Assaba,Mauritania,0.0470556213986717,0.04706031482601537,113.887044769542,113.8740805098076,23.2174,0.4174495199946252,0.689512879367838,0.1558,348857.727803707,0.16629215493533941,10
GNB,Quinara,Guinea-Bissau,0.0528214050514309,0.05281930405420764,86.64125484528711,86.64967866773425,31.7569,0.45413531967835236,0.5698808116459483,0.2664,78141.6848615408,0.037248276676317124,10
GNB,Gabu,Guinea-Bissau,0.0618632343975636,0.06186214888514074,102.192159232191,102.18445853984687,21.717,0.4633899707439116,0.5752901068003103,0.2664,273863.037841797,0.13054397563890485,10
MDG,Betsiboka,Madagascar,0.0691133717340989,0.06911592018010702,109.657417109842,109.63441992116321,12.9548,0.3882774565300456,0.5656487155716382,0.6876000000000001,344262.53686141997,0.1641017370565581,10
MDG,Sava,Madagascar,0.0732624096854096,0.07327758403044402,110.160880091242,110.16613990288919,18.4802,0.2512091448622261,0.5606769237209509,0.6876000000000001,1067733.8425823501,0.5089632461297099,10
MLI,Bamako,Mali,0.0804805960670003,0.08044318415191686,142.265416305277,142.28281862319548,16.2201,0.2499870739160168,0.6070055759051228,0.7131000000000001,2722533.01953125,1.2977665294982674,10
AGO,Cunene,Angola,0.0900693219200741,0.09008415452096447,141.06029712957098,141.03165812641708,17.7731,0.2636816902781521,0.5802854367638994,0.428,1027062.36318588,0.4895761223419495,10
GHA,Ashanti,Ghana,0.0987137499286379,0.09866475318281571,136.710975731655,136.70725152293977,35.1223,0.23834967943273452,0.5372093499324304,0.7714,6384576.77082062,3.0433754076597803,10
TZA,Songwe,Tanzania,0.113825594908965,0.1138234211523829,163.29932605306698,163.25470695978362,20.4086,0.260419815614327,0.5542073263505479,0.5513,1234112.82671452,0.5882721379850709,10
NGA,Lagos,Nigeria,0.12377314777094099,0.12376681189519098,160.827412433377,160.7894197399499,85.4739,0.23565512237326322,0.5280531165638127,0.5364,6143615.6575489,2.928514994408109,10
MOZ,Gaza,Mozambique,0.135111509564691,0.13512427767152077,194.868935816455,194.90300538933917,30.9679,0.2648026471878533,0.5599678949410805,0.5102,1494237.71270442,0.7122674644349106,10
UGA,Central,Uganda,0.147354217764882,0.1473184403216281,197.295766212535,197.19177789162313,32.7406,0.245648268620512,0.5370823475735441,0.6029,11086459.4847851,5.284650708284114,10
TCD,Ville de N'Djamena,Chad,0.155631254750978,0.1556593009075635,235.159697051304,235.2224975801705,39.1404,0.3023131159631191,0.5838684304219539,0.2075,1053335.64233398,0.5020999676191096,10
SSD,Upper Nile,South Sudan,0.165679897919693,0.16568455612236505,207.614013875583,207.6235140305856,48.887,0.29243132137171907,0.52646060005592,0.3985,875654.3996315,0.4174035587804619,10
