param,PRCC_seitar,Sobol_S1,Sobol_ST
a,0.9365333995634004,0.43752169041020594,0.5633949951512354
b,0.762091299754378,0.09974616120578444,0.16453508844686854
c,0.7587594799898978,0.10793504472049884,0.1700972222477995
mu_M,-0.6536240795202849,0.0711713764061929,0.12531419094372206
sigma_M,0.133717806489594,0.00267855479176059,0.0034347152732203783
sigma_H,0.02874173372447565,1.7588871372995464e-07,2.087779978967403e-08
rho,-0.04977849201406339,0.00021606648191282204,0.0003318527856010759
delta_H,-0.014522296499749534,0.0002287956450117947,3.3926105369205596e-05
gamma_T,-0.020597443741184718,-0.00013227602036381032,9.895591940493697e-05
kappa,0.056949124307755734,0.0007013120398110101,0.00027437092382453013
kappa_A,0.5620765614595807,0.03608237224345744,0.0703157805600576
gamma_A,-0.4531898529768867,0.04005502677292482,0.0442680513728554
p_sympt,-0.38253703174584663,0.019260891300534932,0.02730849340761198
