iso,region,d_obs,d_pred,d_itn,years
AGO,Bengo,0.0737855743182501,-0.029649213281111197,0.08509999999999998,7
AGO,Benguela,0.1578362561468531,-0.030013447647894598,0.08509999999999998,7
AGO,Bie,-0.024185590305252996,-0.066860988966262,0.08509999999999998,7
AGO,Cabinda,0.08201025064497902,-0.05232159884303429,0.08509999999999998,7
AGO,Cunene,0.1211337552737172,-0.020153315274927697,0.08509999999999998,7
AGO,Huambo,0.2804352262655035,-0.014860484586582502,0.08509999999999998,7
AGO,Huila,0.1723300289381679,-0.020381687028697998,0.08509999999999998,7
AGO,Kuando Kubango,-0.0031098563803600154,-0.06334400787645081,0.08509999999999998,7
AGO,Kwanza Norte,0.11416969376637104,-0.068638895763352,0.08509999999999998,7
AGO,Kwanza Sul,0.09646494675450698,-0.0654446309476604,0.08509999999999998,7
AGO,Luanda,0.023493342746828294,-0.026340243210712197,0.08509999999999998,7
AGO,Lunda Norte,0.11571205894889602,-0.06592176519461099,0.08509999999999998,7
AGO,Lunda Sul,0.049275974577351,-0.0510446751508663,0.08509999999999998,7
AGO,Malanje,0.1666887825991111,-0.05994067492934542,0.08509999999999998,7
AGO,Moxico,-0.10936439628217398,-0.0727522077190953,0.08509999999999998,7
AGO,Namibe,0.046857325784933304,-0.011896947761757197,0.08509999999999998,7
AGO,Uige,0.20383945501307502,-0.05882862577059621,0.08509999999999998,7
AGO,Zaire,0.1360311839278539,-0.0600359554795917,0.08509999999999998,7
BDI,Bubanza,0.11407578803466381,-0.04809069396661911,0.013900000000000023,7
BDI,Bujumbura Mairie,0.1183990877200605,-0.025301404038500296,0.013900000000000023,7
BDI,Bujumbura Rural,0.11963038078664981,-0.022188023041090098,0.013900000000000023,7
BDI,Cankuzo,0.034770652822478876,-0.11563923625778472,0.013900000000000023,7
BDI,Cibitoke,0.046937482777023004,-0.086386493301965,0.013900000000000023,7
BDI,Gitega,0.08377239820761201,-0.0624420189208246,0.013900000000000023,7
BDI,Karuzi,0.12433904703079401,-0.0912281990882213,0.013900000000000023,7
BDI,Kayanza,0.1344064982878486,-0.04127191755253799,0.013900000000000023,7
BDI,Kirundo,-0.102428321573239,-0.08602810683781867,0.013900000000000023,7
BDI,Makamba,0.10093402258531602,-0.054344462553794104,0.013900000000000023,7
BDI,Muramvya,0.10755978838755412,-0.0215891226968508,0.013900000000000023,7
BDI,Muyinga,0.05572524390745698,-0.1221216534229401,0.013900000000000023,7
BDI,Mwaro,0.0537509323893372,-0.0153121401761975,0.013900000000000023,7
BDI,Ngozi,0.06399991043456998,-0.10139533426432881,0.013900000000000023,7
BDI,Rumonge,0.1335633368163291,-0.025590094042247002,0.013900000000000023,7
BDI,Rutana,0.04382051238075099,-0.0984338025154178,0.013900000000000023,7
BDI,Ruyigi,-0.02549951980380999,-0.11693219390187629,0.013900000000000023,7
BEN,Alibori,-0.064140351851449,-0.07568354782907849,-0.3429000000000001,7
BEN,Atacora,-0.11527102356504798,-0.10606320512543627,-0.3429000000000001,7
BEN,Atlantique,0.05427766421110908,-0.09668623941409249,-0.3429000000000001,7
BEN,Borgou,-0.024802116806585006,-0.07445591761403081,-0.3429000000000001,7
BEN,Collines,0.011269301783475016,-0.10660845371267569,-0.3429000000000001,7
BEN,Couffo,-0.165906358963051,-0.1037073100508279,-0.3429000000000001,7
BEN,Donga,-0.14010504447219707,-0.10422949919865954,-0.3429000000000001,7
BEN,Littoral,0.08427977837343689,-0.06603412267777689,-0.3429000000000001,7
BEN,Mono,-0.11051899083106498,-0.10644781927930075,-0.3429000000000001,7
BEN,Oueme,0.10543649075158318,-0.0782212407489708,-0.3429000000000001,7
BEN,Plateau,0.194360839469588,-0.0907005437322959,-0.3429000000000001,7
BEN,Zou,0.042853359037621,-0.07392416450831421,-0.3429000000000001,7
BFA,Boucle du Mouhoun,-0.33019600037992397,-0.10553194289796569,0.33150000000000013,7
BFA,Cascades,-0.1894998749881439,-0.11395758930880667,0.33150000000000013,7
BFA,Centre,0.048896398550499015,-0.0693053725318038,0.33150000000000013,7
BFA,Centre-Est,-0.133564546244834,-0.11839663101901107,0.33150000000000013,7
BFA,Centre-Nord,-0.15895687171843897,-0.1197667033309266,0.33150000000000013,7
BFA,Centre-Ouest,-0.15705396246356895,-0.1077231960250894,0.33150000000000013,7
BFA,Centre-Sud,-0.07213952046020711,-0.11701401983524642,0.33150000000000013,7
BFA,Est,-0.22198381678920798,-0.107087632956963,0.33150000000000013,7
BFA,Hauts-Bassins,-0.093811189897089,-0.11678645678230609,0.33150000000000013,7
BFA,Nord,-0.18990799590588797,-0.11379478700036183,0.33150000000000013,7
BFA,Plateau Central,-0.030687224237575028,-0.1156804206898192,0.33150000000000013,7
BFA,Sahel,-0.29224689432209894,-0.10673612642840119,0.33150000000000013,7
BFA,Sud-Ouest,-0.27725213902267504,-0.1056498996263115,0.33150000000000013,7
CAF,Bamingui-Bangoran,-0.03279904106169898,-0.149338350655025,0.1472,7
CAF,Bangui,-0.034675641972057025,-0.14256122125633128,0.1472,7
CAF,Basse-Kotto,-0.050599661900388004,-0.10526926925152807,0.1472,7
CAF,Haut-Mbomou,-0.06438094004077599,-0.12612415900561522,0.1472,7
CAF,Haute-Kotto,-0.05359869997279598,-0.15317970079879428,0.1472,7
CAF,Kemo,-0.07354161629991107,-0.12439381808271721,0.1472,7
CAF,Lobaye,0.017993424227778887,-0.12716737674272702,0.1472,7
CAF,Mambere-Kadei,0.06249185398636903,-0.15701679374206567,0.1472,7
CAF,Mbomou,-0.15160333799021802,-0.1037510429569165,0.1472,7
CAF,Nana-Gribizi,-0.07325087145979303,-0.1549986945028712,0.1472,7
CAF,Nana-Mambere,-0.04998091565913412,-0.15781950293263208,0.1472,7
CAF,Ombella M'Poko,-0.03406088939128504,-0.1128464628264681,0.1472,7
CAF,Ouaka,-0.03750548886444399,-0.12826730115501842,0.1472,7
CAF,Ouham,-0.04242751017326202,-0.15474974824904839,0.1472,7
CAF,Ouham Pende,-0.077990063815679,-0.1515608541861082,0.1472,7
CAF,Sangha-Mbaere,0.022711140736783986,-0.1564210548863269,0.1472,7
CAF,Vakaga,-0.02850785688068999,-0.1281159224163667,0.1472,7
CIV,Abidjan,0.03280289371658701,-0.0629806865069661,-0.14610000000000012,7
CIV,Bas-Sassandra,0.11063428900413497,-0.099321047443023,-0.14610000000000012,7
CIV,Comoe,0.04546882559603399,-0.10418890887225479,-0.14610000000000012,7
CIV,Denguele,0.08311213176310711,-0.10371061252680311,-0.14610000000000012,7
CIV,Goh-Djiboua,0.12457317633911702,-0.0683391723849803,-0.14610000000000012,7
CIV,Lacs,0.153525798469394,-0.08331332532799302,-0.14610000000000012,7
CIV,Lagunes,0.037891371692447995,-0.10100271295125199,-0.14610000000000012,7
CIV,Montagnes,0.012836415305274962,-0.09420013472245431,-0.14610000000000012,7
CIV,Sassandra-Marahoue,0.16564947095526497,-0.100101339625334,-0.14610000000000012,7
CIV,Savanes,0.026475908524055985,-0.09875237695527872,-0.14610000000000012,7
CIV,Valle Du Bandama,0.02802414680242002,-0.1028901480517494,-0.14610000000000012,7
CIV,Woroba,0.07149908170306096,-0.1040176336309267,-0.14610000000000012,7
CIV,Yamoussoukro,0.078546110319686,-0.0626083225674557,-0.14610000000000012,7
CIV,Zanzan,0.037166491863700024,-0.10682652076079449,-0.14610000000000012,7
CMR,Adamaoua,-0.08396886391535102,-0.1284981410264391,0.12360000000000015,7
CMR,Centre,-0.04797872104987,-0.1440919033786393,0.12360000000000015,7
CMR,Est,0.040210305869067986,-0.12207240056331431,0.12360000000000015,7
CMR,Extreme Nord,0.0883557569426009,-0.0858893535500676,0.12360000000000015,7
CMR,Littoral,-0.03741735262246401,-0.1276537501630542,0.12360000000000015,7
CMR,Nord,0.03189638295415101,-0.12608238406101718,0.12360000000000015,7
CMR,North West,-0.0013520153410380154,-0.09343603441687941,0.12360000000000015,7
CMR,Ouest,-0.037390594437908986,-0.11452116770903512,0.12360000000000015,7
CMR,South West,-0.11120036922991108,-0.1366341273194856,0.12360000000000015,7
CMR,Sud,0.12317894936740198,-0.1395375286120831,0.12360000000000015,7
COD,Bas-Uele,-0.029444658614020014,-0.10563485988690907,0.19920000000000004,7
COD,Equateur,0.163361503917201,-0.1400555253374381,0.19920000000000004,7
COD,Haut-Katanga,-0.075133474715494,-0.1457463091577001,0.19920000000000004,7
COD,Haut-Lomami,0.014712531130076978,-0.14683454135827922,0.19920000000000004,7
COD,Haut-Uele,-0.0027088293973390187,-0.10548908776972249,0.19920000000000004,7
COD,Ituri,-0.04988611843486107,-0.1179439479879674,0.19920000000000004,7
COD,Kasai,0.14918630548248002,-0.1416734240852875,0.19920000000000004,7
COD,Kasai Central,0.08996663965471197,-0.140740555737398,0.19920000000000004,7
COD,Kasai Oriental,-0.010058365647217016,-0.1250046604755111,0.19920000000000004,7
COD,Kinshasa,-0.01763087798690699,-0.097938481489489,0.19920000000000004,7
COD,Kongo Central,-0.041163299928273,-0.1386857129520682,0.19920000000000004,7
COD,Kwango,0.257798090679929,-0.0871713138825429,0.19920000000000004,7
COD,Kwilu,0.267786369648796,-0.08829226662636411,0.19920000000000004,7
COD,Lomami,-0.024892488749325925,-0.10900772085402027,0.19920000000000004,7
COD,Lualaba,-0.11664141679032702,-0.10507841515145727,0.19920000000000004,7
COD,Mai-Ndombe,0.07340304634462502,-0.147250243568494,0.19920000000000004,7
